G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2018-11-06,N,Michigan State,W,92,87,31,69,.449,10,23,.435,20,33,.606,11,37,21,10,7,11,28,26,59,.441,12,23,.522,23,35,.657,5,37,19,5,7,18,25,105.7,100.0,86.7,.478,.333,.543,50.0,67.7,11.5,19.4,.522,11.5,25.6,.290,.542,19.2,83.9,.390
2,2018-11-12,,Vermont,W,84,68,33,63,.524,12,19,.632,6,10,.600,7,37,19,7,2,13,18,23,56,.411,9,26,.346,13,17,.765,5,27,11,3,2,12,13,116.7,94.4,72.4,.159,.302,.620,57.8,57.6,9.7,6.7,.619,16.1,24.1,.095,.491,15.8,85.7,.232
3,2018-11-16,,Louisiana,W,89,76,32,65,.492,8,22,.364,17,26,.654,16,40,20,6,5,16,13,27,63,.429,12,36,.333,10,12,.833,6,27,16,10,0,14,20,115.6,98.7,77.0,.400,.338,.575,59.7,62.5,7.8,18.5,.554,17.1,43.2,.262,.524,16.9,80.0,.159
4,2018-11-21,N,Marquette,W,77,68,28,58,.483,5,10,.500,16,24,.667,8,33,10,6,5,8,15,25,60,.417,14,31,.452,4,5,.800,5,27,17,2,7,13,22,110.0,97.1,69.9,.414,.172,.555,55.0,35.7,8.6,17.2,.526,10.3,26.7,.276,.533,17.2,83.3,.067
5,2018-11-23,N,Tennessee,W (1 OT),87,81,30,60,.500,5,17,.294,22,34,.647,9,38,13,6,2,16,18,31,75,.413,7,27,.259,12,17,.706,12,39,19,5,4,14,25,103.6,96.4,74.8,.567,.283,.571,49.4,43.3,7.1,4.2,.542,17.4,25.0,.367,.460,14.4,70.7,.160
6,2018-12-01,,Stanford,W (1 OT),90,84,32,64,.500,7,16,.438,19,27,.704,11,37,12,10,0,11,20,28,63,.444,12,34,.353,16,19,.842,10,36,13,3,6,18,22,115.4,107.7,69.7,.422,.250,.586,50.7,37.5,12.8,0.0,.555,12.5,29.7,.297,.540,20.0,72.2,.254
7,2018-12-04,,Wofford,W,72,47,31,63,.492,3,23,.130,7,10,.700,6,34,11,9,5,7,11,17,65,.262,5,26,.192,8,10,.800,18,43,5,1,3,18,14,104.3,68.1,69.3,.159,.365,.531,44.2,35.5,13.0,12.8,.516,9.4,19.4,.111,.300,20.5,60.9,.123
8,2018-12-08,N,New Mexico State,W,63,60,25,58,.431,7,21,.333,6,12,.500,11,32,15,7,4,13,15,25,55,.455,7,26,.269,3,10,.300,9,32,20,6,4,14,15,96.9,92.3,65.2,.207,.362,.495,50.0,60.0,10.8,13.8,.491,16.9,32.4,.103,.518,19.0,70.0,.055
9,2018-12-15,,Villanova,W,74,71,23,46,.500,5,15,.333,23,30,.767,8,31,9,4,2,14,19,24,59,.407,8,28,.286,15,19,.789,10,25,8,5,2,9,21,110.4,106.0,66.6,.652,.326,.614,55.4,39.1,6.0,6.5,.554,18.9,34.8,.500,.475,11.7,69.7,.254
10,2018-12-18,,South Dakota,W,89,53,34,66,.515,9,23,.391,12,15,.800,10,42,19,11,5,12,16,22,58,.379,3,13,.231,6,13,.462,7,29,14,8,2,17,15,118.7,70.7,74.7,.227,.348,.609,59.2,55.9,14.7,11.1,.583,14.1,31.3,.182,.405,20.9,82.1,.103
