G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2018-11-06,,Randolph,W,84,56,25,63,.397,10,36,.278,24,30,.800,7,43,14,16,1,17,17,21,61,.344,8,25,.320,6,10,.600,4,36,11,6,3,26,24,95.5,63.6,87.5,.476,.571,.544,54.4,56.0,18.2,2.8,.476,18.0,17.9,.381,.410,28.3,90.0,.098
2,2018-11-09,@,Richmond,W,63,58,24,52,.462,7,25,.280,8,13,.615,4,38,10,7,4,20,18,23,60,.383,6,26,.231,6,16,.375,6,28,9,10,3,14,13,84.0,77.3,74.5,.250,.481,.541,57.6,41.7,9.3,11.8,.529,25.6,15.4,.154,.433,17.2,85.0,.100
3,2018-11-13,@,Maryland-Eastern Shore,W,66,63,18,39,.462,12,26,.462,18,22,.818,3,30,11,3,1,16,19,21,58,.362,10,32,.313,11,15,.733,8,26,16,6,1,9,20,103.1,98.4,64.3,.564,.667,.667,53.6,61.1,4.7,3.8,.615,24.4,14.3,.462,.448,12.1,77.1,.190
4,2018-11-16,,Delaware State,W,89,73,28,59,.475,15,35,.429,18,26,.692,12,37,20,8,1,10,14,25,56,.446,12,32,.375,11,13,.846,5,25,16,4,4,14,19,127.1,104.3,70.3,.441,.593,.624,59.7,71.4,11.4,4.2,.602,12.3,37.5,.305,.554,18.4,83.3,.196
5,2018-11-19,@,Charlotte,L,39,42,16,45,.356,4,19,.211,3,5,.600,6,33,6,5,2,20,16,11,42,.262,6,22,.273,14,19,.737,5,29,8,6,4,14,12,63.9,68.9,60.7,.111,.422,.412,53.2,37.5,8.2,10.0,.400,29.7,20.0,.067,.333,21.5,84.4,.333
6,2018-11-23,N,Fairfield,W,67,65,23,46,.500,8,24,.333,13,15,.867,7,33,10,3,3,19,15,24,58,.414,7,25,.280,10,14,.714,7,19,12,8,1,8,16,103.1,100.0,65.4,.326,.522,.631,63.5,43.5,4.6,9.1,.587,26.3,36.8,.283,.474,11.0,78.8,.172
7,2018-11-24,N,Denver,L,62,64,24,53,.453,7,24,.292,7,7,1.000,6,29,4,9,2,12,16,25,51,.490,10,24,.417,4,8,.500,6,26,14,6,1,15,13,98.4,101.6,63.1,.132,.453,.550,52.7,16.7,14.3,7.4,.519,17.6,23.1,.132,.588,21.5,79.3,.078
8,2018-11-25,@,Seattle,L,50,70,18,56,.321,6,26,.231,8,13,.615,11,37,8,6,2,13,20,23,59,.390,11,31,.355,13,18,.722,10,40,17,6,5,8,19,76.9,107.7,64.9,.232,.464,.402,48.1,44.4,9.2,7.1,.375,17.3,26.8,.143,.483,10.6,72.2,.220
9,2018-12-01,,VMI,W,65,45,22,58,.379,7,26,.269,14,20,.700,10,45,12,5,3,11,13,17,63,.270,6,33,.182,5,12,.417,8,35,11,4,2,9,18,94.2,65.2,69.1,.345,.448,.481,56.3,54.5,7.2,10.0,.440,14.0,27.0,.241,.317,11.6,81.4,.079
10,2018-12-07,,Frostburg State,W (1 OT),68,65,24,74,.324,7,30,.233,13,21,.619,15,42,9,8,2,15,14,24,64,.375,10,28,.357,7,12,.583,10,45,13,5,5,19,21,84.0,80.2,72.3,.284,.405,.405,48.3,37.5,9.9,5.6,.372,15.2,30.0,.176,.453,21.4,73.0,.109
11,2018-12-09,@,Duquesne,L,71,80,26,54,.481,12,24,.500,7,13,.538,7,29,15,5,3,20,21,25,60,.417,10,35,.286,20,23,.870,13,32,17,8,6,13,16,98.6,111.1,72.1,.241,.444,.590,47.5,57.7,6.9,12.0,.593,24.9,26.9,.130,.500,15.5,62.9,.333
12,2018-12-13,,Averett,W,81,57,26,60,.433,13,33,.394,16,25,.640,15,37,17,7,4,10,18,21,51,.412,7,22,.318,8,12,.667,8,22,13,4,2,14,19,124.6,87.7,64.8,.417,.550,.563,62.7,65.4,10.8,13.8,.542,12.2,51.7,.267,.480,19.8,73.3,.157
13,2018-12-17,@,Cornell,L,64,70,23,59,.390,7,25,.280,11,15,.733,10,39,8,11,6,21,22,22,56,.393,16,32,.500,10,15,.667,4,30,19,4,3,19,17,82.1,89.7,77.6,.254,.424,.484,56.5,34.8,14.1,25.0,.449,24.1,27.8,.186,.536,23.1,87.9,.179
14,2018-12-21,,Stetson,W,77,63,25,50,.500,17,32,.531,10,16,.625,7,28,18,5,0,11,14,22,56,.393,12,26,.462,7,8,.875,9,24,12,5,3,14,17,122.2,100.0,63.2,.320,.640,.668,53.8,72.0,7.9,0.0,.670,16.0,31.8,.200,.500,19.0,70.0,.125
15,2018-12-29,@,Citadel,W,110,94,36,64,.563,16,32,.500,22,25,.880,9,34,23,9,2,16,23,31,73,.425,13,45,.289,19,25,.760,12,32,17,9,4,14,17,129.4,110.6,84.9,.391,.500,.725,51.5,63.9,10.6,7.1,.688,17.4,31.0,.344,.514,14.2,67.6,.260
16,2019-01-05,@,Radford,L,64,71,23,57,.404,10,28,.357,8,12,.667,6,29,11,5,1,12,30,19,47,.404,4,22,.182,29,38,.763,7,35,11,6,5,11,17,92.8,102.9,68.9,.211,.491,.510,45.3,47.8,7.2,4.0,.491,16.1,17.6,.140,.447,14.5,76.7,.617
17,2019-01-10,,UNC Asheville,W,67,62,18,47,.383,9,25,.360,22,27,.815,10,33,12,8,3,13,15,23,57,.404,7,34,.206,9,10,.900,8,30,10,6,4,12,22,104.7,96.9,64.3,.574,.532,.560,52.4,66.7,12.5,13.0,.479,17.9,31.3,.468,.465,16.3,74.2,.158
18,2019-01-12,,Charleston Southern,L,91,101,28,56,.500,14,28,.500,21,25,.840,5,25,15,8,2,13,23,33,64,.516,14,31,.452,21,26,.808,9,31,16,7,5,11,19,118.2,131.2,77.1,.446,.500,.670,44.6,53.6,10.4,6.1,.625,16.1,18.5,.375,.625,12.6,69.0,.328
19,2019-01-16,@,Winthrop,W,75,61,28,61,.459,8,26,.308,11,16,.688,5,34,11,9,7,12,21,18,64,.281,9,36,.250,16,18,.889,13,43,11,5,5,15,15,100.0,81.3,75.1,.262,.426,.547,44.2,39.3,12.0,25.0,.525,14.9,14.3,.180,.352,17.1,69.0,.250
20,2019-01-19,@,Presbyterian,L,64,71,20,56,.357,9,35,.257,15,23,.652,7,34,9,4,1,8,17,23,57,.404,8,29,.276,17,24,.708,9,38,11,2,0,8,18,94.1,104.4,67.7,.411,.625,.478,47.2,45.0,5.9,3.6,.438,10.7,19.4,.268,.474,10.5,75.0,.298
21,2019-01-21,,Radford,L,59,72,19,47,.404,7,23,.304,14,15,.933,5,27,9,4,5,16,17,29,60,.483,8,24,.333,6,8,.750,8,29,8,4,4,11,17,89.4,109.1,66.0,.319,.489,.545,48.2,47.4,6.1,13.9,.479,22.8,19.2,.298,.550,14.7,73.3,.100
22,2019-01-24,,High Point,W,55,51,18,54,.333,7,31,.226,12,19,.632,7,36,8,2,4,10,19,18,62,.290,4,22,.182,11,20,.550,13,43,6,6,2,8,17,83.3,77.3,66.3,.352,.574,.436,45.6,44.4,3.0,10.0,.398,13.7,18.9,.222,.323,10.1,69.0,.177
23,2019-01-26,@,USC Upstate,L,63,80,20,59,.339,4,27,.148,19,23,.826,11,35,6,4,2,18,14,28,61,.459,12,28,.429,12,14,.857,9,32,19,8,5,12,20,85.1,108.1,73.8,.390,.458,.450,52.2,30.0,5.4,6.1,.373,20.5,32.4,.322,.557,15.1,72.7,.197
