G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2018-11-06,,Tennessee Tech,W,76,61,31,74,.419,6,24,.250,8,11,.727,12,34,13,14,5,14,25,19,52,.365,4,14,.286,19,29,.655,12,41,10,5,6,26,18,93.8,75.3,92.5,.149,.324,.480,45.3,41.9,17.3,13.2,.459,15.0,29.3,.108,.404,28.3,64.7,.365
2,2018-11-13,@,LSU,L,76,85,26,64,.406,10,30,.333,14,20,.700,10,27,12,5,3,14,17,34,63,.540,5,18,.278,12,16,.750,13,35,15,10,6,14,19,101.3,113.3,74.6,.313,.469,.517,43.5,46.2,6.7,6.7,.484,16.0,31.3,.219,.579,16.5,56.7,.190
3,2018-11-17,,Yale,W (2 OT),109,102,33,72,.458,6,23,.261,37,56,.661,15,42,15,12,4,16,22,34,70,.486,12,29,.414,22,29,.759,7,35,14,8,3,24,40,109.0,102.0,80.2,.778,.319,.553,54.5,45.5,12.0,9.8,.500,14.0,34.9,.514,.571,22.3,79.4,.314
4,2018-11-22,N,Oklahoma State,L,64,84,24,66,.364,5,17,.294,11,19,.579,7,23,13,12,0,15,20,28,49,.571,8,21,.381,20,26,.769,6,39,14,9,10,20,16,81.0,106.3,79.2,.288,.258,.427,37.1,54.2,15.2,0.0,.402,16.7,17.5,.167,.653,24.6,72.7,.408
5,2018-11-23,N,Canisius,W,71,63,30,63,.476,1,14,.071,10,16,.625,19,48,14,2,7,20,20,24,60,.400,5,21,.238,10,18,.556,7,25,11,9,2,10,20,98.6,87.5,71.6,.254,.222,.503,65.8,46.7,2.8,17.9,.484,22.1,51.4,.159,.442,12.7,80.6,.167
6,2018-11-25,N,College of Charleston,L,75,78,28,57,.491,11,24,.458,8,14,.571,8,37,15,5,1,18,23,25,60,.417,11,27,.407,17,21,.810,6,27,12,8,2,11,17,101.4,105.4,74.3,.246,.421,.589,57.8,53.6,6.8,3.0,.588,22.0,27.6,.140,.508,13.6,82.9,.283
7,2018-12-01,N,Texas Tech,L,67,78,23,66,.348,3,15,.200,18,28,.643,16,31,13,10,2,17,26,26,53,.491,4,13,.308,22,30,.733,10,33,18,8,11,17,22,87.0,101.3,77.3,.424,.227,.422,48.4,56.5,13.0,5.0,.371,17.7,41.0,.273,.528,20.2,60.0,.415
8,2018-12-04,,South Dakota State,W,88,80,33,65,.508,8,25,.320,14,20,.700,11,35,17,9,6,17,19,27,60,.450,15,33,.455,11,16,.688,10,30,14,9,2,23,21,108.6,98.8,80.6,.308,.385,.591,53.8,51.5,11.1,22.2,.569,18.6,35.5,.215,.575,25.4,70.6,.183
9,2018-12-08,,Alabama-Birmingham,W,94,76,30,56,.536,11,24,.458,23,30,.767,6,27,18,7,7,11,18,26,62,.419,9,22,.409,15,26,.577,13,36,13,5,1,17,25,122.1,98.7,76.8,.536,.429,.669,42.9,60.0,9.1,17.5,.634,13.5,20.7,.411,.492,18.6,61.8,.242
10,2018-12-15,,Tennessee,L,92,102,33,77,.429,10,29,.345,16,22,.727,18,34,21,10,2,9,35,27,52,.519,9,24,.375,39,46,.848,10,37,21,4,9,17,22,115.0,127.5,79.7,.286,.377,.526,47.9,63.6,12.5,7.1,.494,9.3,40.0,.208,.606,18.7,61.5,.750
11,2018-12-19,,Little Rock,W,99,89,34,68,.500,9,24,.375,22,30,.733,16,47,22,9,4,21,27,30,60,.500,11,26,.423,18,34,.529,4,21,20,12,3,15,26,113.8,102.3,87.2,.441,.353,.602,69.1,64.7,10.3,11.8,.566,20.3,48.5,.324,.592,16.5,88.6,.300
12,2018-12-22,,Tennessee State,W,99,41,30,50,.600,5,12,.417,34,45,.756,7,43,22,10,7,25,24,10,62,.161,6,35,.171,15,27,.556,12,28,6,12,1,23,32,112.5,46.6,87.6,.900,.240,.694,60.6,73.3,11.4,25.9,.650,25.9,30.4,.680,.210,23.5,75.0,.242
13,2018-12-29,,Florida A&M,W,96,65,33,56,.589,13,25,.520,17,23,.739,7,28,22,13,1,13,15,25,50,.500,8,17,.471,7,8,.875,3,21,16,7,2,21,23,133.3,90.3,72.4,.411,.446,.717,57.1,66.7,18.1,3.0,.705,16.3,28.0,.304,.580,28.1,87.5,.140
14,2019-01-03,,Wichita State,W,85,74,28,56,.500,4,14,.286,25,31,.806,4,30,12,12,2,11,16,29,66,.439,10,33,.303,6,6,1.000,6,26,21,5,6,14,22,110.4,96.1,77.3,.554,.250,.601,53.6,42.9,15.6,6.1,.536,13.5,16.7,.446,.515,16.9,81.3,.091
15,2019-01-06,@,Houston,L,77,90,25,52,.481,8,23,.348,19,24,.792,7,29,13,3,1,17,19,33,73,.452,12,34,.353,12,16,.750,18,38,20,14,4,10,21,105.5,123.3,73.0,.462,.442,.607,43.3,52.0,4.1,2.6,.558,21.1,25.9,.365,.534,11.0,55.0,.164
16,2019-01-10,,East Carolina,W,78,72,25,52,.481,8,23,.348,20,30,.667,6,30,17,8,7,13,13,28,70,.400,4,22,.182,12,15,.800,15,39,15,10,4,15,22,104.0,96.0,75.2,.577,.442,.589,43.5,68.0,10.7,14.6,.558,16.4,20.0,.385,.429,16.3,61.5,.171
17,2019-01-13,@,Tulane,W,83,79,29,64,.453,6,21,.286,19,26,.731,8,33,12,7,4,9,22,27,69,.391,3,22,.136,22,26,.846,16,43,16,4,4,11,16,107.8,102.6,76.9,.406,.328,.544,43.4,41.4,9.1,8.5,.500,10.5,22.9,.297,.413,11.9,61.0,.319
18,2019-01-19,,SMU,W,83,61,33,73,.452,11,34,.324,6,8,.750,11,38,24,10,2,12,17,21,58,.362,10,33,.303,9,16,.563,9,33,13,5,4,21,17,106.4,78.2,77.7,.110,.466,.540,53.5,72.7,12.8,8.0,.527,13.5,31.4,.082,.448,24.2,75.0,.155
19,2019-01-24,@,Temple,L,76,85,27,68,.397,1,23,.043,21,30,.700,13,42,12,9,2,17,21,25,56,.446,10,27,.370,25,34,.735,5,29,17,11,2,14,24,90.5,101.2,83.7,.441,.338,.462,59.2,44.4,10.7,6.9,.404,17.1,35.1,.309,.536,16.3,85.3,.446
20,2019-01-27,,UCF,W,77,57,29,65,.446,8,24,.333,11,14,.786,16,41,16,7,6,16,15,22,58,.379,6,26,.231,7,14,.500,10,24,12,9,7,15,17,108.5,80.3,70.7,.215,.369,.537,63.1,55.2,9.9,18.8,.508,18.3,53.3,.169,.431,18.8,71.4,.121
21,2019-01-30,@,Tulsa,L,79,95,28,66,.424,6,24,.250,17,26,.654,15,35,12,9,1,17,29,30,55,.545,9,20,.450,26,33,.788,6,32,24,11,5,14,21,98.8,118.8,79.5,.394,.364,.504,52.2,42.9,11.3,2.9,.470,17.8,36.6,.258,.627,16.5,76.9,.473
22,2019-02-02,@,South Florida,L,78,84,25,69,.362,12,26,.462,16,24,.667,13,30,14,13,4,20,32,22,40,.550,8,17,.471,32,44,.727,4,30,14,11,7,29,25,89.7,96.6,86.7,.348,.377,.485,50.0,56.0,14.9,17.4,.449,19.9,33.3,.232,.650,32.3,81.0,.800
23,2019-02-07,,Cincinnati,L,64,69,25,56,.446,10,29,.345,4,8,.500,7,30,15,5,8,13,21,23,58,.397,11,29,.379,12,22,.545,14,37,17,6,3,9,15,98.5,106.2,64.6,.143,.518,.535,44.8,60.0,7.7,27.6,.536,17.9,23.3,.071,.491,11.6,62.2,.207
24,2019-02-10,,UConn,W,78,71,27,56,.482,8,21,.381,16,18,.889,8,25,18,6,3,16,17,25,62,.403,8,25,.320,13,20,.650,16,36,13,5,5,16,21,108.3,98.6,72.0,.321,.375,.604,41.0,66.7,8.3,8.1,.554,19.9,28.6,.286,.468,18.3,51.5,.210
25,2019-02-13,@,East Carolina,W,79,69,28,50,.560,6,17,.353,17,25,.680,4,27,16,5,3,12,16,25,63,.397,4,20,.200,15,17,.882,9,31,17,6,3,12,20,109.7,95.8,72.0,.500,.340,.638,46.6,57.1,6.9,7.0,.620,16.2,15.4,.340,.429,14.4,71.9,.238
26,2019-02-16,@,UCF,L,72,79,27,61,.443,5,20,.250,13,16,.813,7,29,12,5,4,14,26,24,58,.414,6,19,.316,25,30,.833,8,37,14,7,5,9,20,97.3,106.8,74.4,.262,.328,.525,43.9,44.4,6.8,10.3,.484,16.9,19.4,.213,.466,11.1,73.3,.431
27,2019-02-20,,Tulane,W,102,76,38,79,.481,11,29,.379,15,23,.652,19,52,21,13,5,11,17,27,71,.380,6,28,.214,16,19,.842,10,34,18,6,8,15,15,122.9,91.6,83.5,.291,.367,.567,60.5,55.3,15.7,11.6,.551,10.9,44.2,.190,.423,15.8,76.7,.225
28,2019-02-23,@,Wichita State,W,88,85,28,61,.459,8,21,.381,24,33,.727,7,36,11,3,4,9,17,32,70,.457,10,26,.385,11,17,.647,11,37,22,5,3,9,24,114.3,110.4,77.4,.541,.344,.574,49.3,39.3,3.9,9.1,.525,10.5,21.2,.393,.529,10.3,72.5,.157
29,2019-02-26,,Temple,W,81,73,28,56,.500,7,19,.368,18,25,.720,10,37,14,6,4,17,17,26,70,.371,7,27,.259,14,21,.667,17,36,13,10,4,13,20,108.0,97.3,75.4,.446,.339,.597,50.7,50.0,8.0,9.3,.563,20.0,34.5,.321,.421,14.0,61.4,.200
30,2019-03-02,@,Cincinnati,L,69,71,27,56,.482,8,20,.400,7,10,.700,7,30,16,2,4,15,24,22,57,.386,4,19,.211,23,36,.639,15,36,11,9,4,12,15,98.6,101.4,69.9,.179,.357,.568,45.5,59.3,2.9,10.5,.554,19.8,25.0,.125,.421,13.9,60.5,.404
31,2019-03-09,,Tulsa,W,66,63,24,62,.387,4,24,.167,14,24,.583,12,37,12,7,8,16,18,21,62,.339,7,20,.350,14,17,.824,10,37,10,10,4,13,22,88.0,84.0,75.2,.387,.387,.450,50.0,50.0,9.3,19.0,.419,17.9,30.8,.226,.395,15.6,71.4,.226
32,2019-03-14,,Tulane,W,83,68,27,58,.466,11,27,.407,18,22,.818,9,40,23,4,6,15,16,27,69,.391,6,23,.261,8,13,.615,9,30,17,7,1,10,18,110.7,90.7,75.3,.379,.466,.606,57.1,85.2,5.3,13.0,.560,18.0,30.0,.310,.435,11.7,77.5,.116
33,2019-03-15,N,UCF,W,79,55,26,57,.456,8,27,.296,19,29,.655,13,37,16,9,2,12,19,19,53,.358,6,20,.300,11,19,.579,7,28,7,6,6,16,21,112.9,78.6,70.4,.509,.474,.558,56.9,61.5,12.9,6.1,.526,14.5,38.2,.333,.415,20.5,77.4,.208
34,2019-03-16,N,Houston,L,58,61,16,68,.235,4,23,.174,22,26,.846,17,43,4,5,5,9,21,21,57,.368,5,19,.263,14,27,.519,14,46,8,4,9,12,22,82.9,87.1,70.1,.382,.338,.361,48.3,25.0,7.1,13.2,.265,10.1,34.7,.324,.412,14.7,65.0,.246
35,2019-03-19,,San Diego,W,74,60,28,58,.483,4,15,.267,14,17,.824,6,28,14,13,7,13,13,22,60,.367,10,24,.417,6,7,.857,11,33,13,7,3,22,17,100.0,81.1,73.7,.293,.259,.560,45.9,50.0,17.6,19.4,.517,16.4,21.4,.241,.450,25.8,66.7,.100
36,2019-03-22,@,Creighton,L,67,79,27,61,.443,4,17,.235,9,12,.750,6,28,12,9,3,15,22,31,61,.508,6,22,.273,11,19,.579,9,36,17,8,4,15,19,88.2,103.9,75.9,.197,.279,.502,43.8,44.4,11.8,7.7,.475,18.4,18.2,.148,.557,17.6,71.0,.180
