G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2018-11-09,@,Texas-Rio Grande Valley,W,91,76,29,58,.500,11,23,.478,22,31,.710,8,39,16,8,7,15,22,29,69,.420,9,19,.474,9,17,.529,7,30,16,10,3,15,25,111.0,92.7,82.4,.534,.397,.626,56.5,55.2,9.8,14.0,.595,17.1,25.8,.379,.486,16.3,81.6,.130
2,2018-11-12,@,UTSA,W,87,67,35,69,.507,8,19,.421,9,11,.818,9,40,13,8,5,14,13,26,73,.356,9,29,.310,6,7,.857,12,36,13,5,3,20,16,106.1,81.7,81.8,.159,.275,.586,52.6,37.1,9.8,11.4,.565,15.9,27.3,.130,.418,20.8,72.1,.082
3,2018-11-18,,Wofford,W,75,64,25,58,.431,6,18,.333,19,30,.633,7,36,11,5,0,7,15,24,64,.375,10,32,.313,6,13,.462,9,34,12,4,2,7,24,107.1,91.4,70.2,.517,.310,.519,51.4,44.0,7.1,0.0,.483,8.8,21.9,.328,.453,9.1,76.3,.094
4,2018-11-21,N,Florida,W,65,60,25,64,.391,4,18,.222,11,15,.733,14,45,13,6,8,14,13,23,59,.390,11,28,.393,3,11,.273,5,30,15,9,6,10,14,92.9,85.7,70.2,.234,.281,.457,60.0,52.0,8.6,25.8,.422,16.4,35.9,.172,.483,13.5,86.1,.051
5,2018-11-22,N,Wisconsin,L,58,78,24,51,.471,5,13,.385,5,11,.455,8,26,7,5,7,15,14,28,59,.475,14,22,.636,8,11,.727,7,28,16,8,3,7,12,90.6,121.9,63.7,.216,.255,.516,48.1,29.2,7.8,18.9,.520,21.1,27.6,.098,.593,9.8,72.0,.136
6,2018-11-23,N,Dayton,W,65,54,21,50,.420,6,18,.333,17,21,.810,5,32,15,4,4,8,18,19,60,.317,6,24,.250,10,15,.667,8,30,12,6,2,8,17,100.0,83.1,65.1,.420,.360,.542,51.6,71.4,6.2,11.1,.480,11.8,18.5,.340,.367,10.6,77.1,.167
7,2018-11-27,,North Texas,W,73,57,25,53,.472,6,17,.353,17,33,.515,5,37,12,8,4,16,15,19,69,.275,6,26,.231,13,17,.765,13,37,8,8,1,17,26,91.3,71.3,80.4,.623,.321,.531,50.0,48.0,10.0,9.3,.528,18.9,17.2,.321,.319,18.1,71.1,.188
8,2018-12-04,N,Notre Dame,W,85,80,32,68,.471,15,29,.517,6,8,.750,7,39,19,3,4,11,18,31,74,.419,7,25,.280,11,19,.579,12,41,13,7,3,3,13,113.3,106.7,74.9,.118,.426,.592,48.8,59.4,4.0,8.2,.581,13.3,19.4,.088,.466,3.5,72.7,.149
9,2018-12-08,,Wichita State,W,80,48,26,59,.441,10,25,.400,18,22,.818,13,47,10,7,2,18,15,15,62,.242,5,27,.185,13,15,.867,11,31,5,6,2,15,17,108.1,64.9,73.8,.373,.424,.576,60.3,38.5,9.5,5.7,.525,20.6,39.4,.305,.282,17.8,75.6,.210
10,2018-12-15,,USC,W,81,70,30,61,.492,6,18,.333,15,25,.600,7,41,14,7,2,16,20,23,66,.348,6,20,.300,18,25,.720,13,37,11,5,2,18,24,98.8,85.4,82.4,.410,.295,.556,52.6,46.7,8.5,4.3,.541,18.0,22.6,.246,.394,18.8,72.3,.273
11,2018-12-18,,Creighton,W,83,70,30,58,.517,5,17,.294,18,28,.643,8,37,13,2,5,14,19,29,63,.460,7,30,.233,5,14,.357,5,31,10,4,1,17,21,105.1,88.6,79.5,.483,.293,.582,54.4,43.3,2.5,15.2,.560,16.4,23.5,.310,.516,19.6,85.3,.079
12,2018-12-21,@,Northwestern,W (1 OT),76,69,32,75,.427,5,21,.238,7,10,.700,13,43,19,6,3,12,16,28,66,.424,8,23,.348,5,9,.556,7,32,20,7,10,10,13,100.0,90.8,67.6,.133,.280,.476,57.3,59.4,7.9,7.0,.460,13.1,34.2,.093,.485,12.5,81.1,.076
13,2019-01-02,@,Kansas,L,63,70,25,62,.403,5,22,.227,8,13,.615,10,38,9,5,2,16,17,26,63,.413,4,21,.190,14,22,.636,12,41,10,11,6,14,17,84.0,93.3,74.8,.210,.355,.462,48.1,36.0,6.7,4.8,.444,19.0,25.6,.129,.444,16.0,70.0,.222
14,2019-01-05,,Oklahoma State,W,74,64,21,58,.362,7,28,.250,25,36,.694,12,42,12,4,2,12,20,22,64,.344,6,26,.231,14,21,.667,9,37,10,3,1,9,25,98.7,85.3,74.5,.621,.483,.493,53.2,57.1,5.3,5.3,.422,13.8,30.0,.431,.391,10.8,76.9,.219
15,2019-01-08,@,Texas Tech,L,59,66,20,62,.323,9,29,.310,10,14,.714,12,33,11,7,2,14,18,22,49,.449,5,19,.263,17,17,1.000,3,28,11,8,8,12,14,86.8,97.1,68.4,.226,.468,.430,54.1,55.0,10.3,6.7,.395,16.9,32.4,.161,.500,17.4,87.5,.347
16,2019-01-12,,TCU,W,76,74,27,55,.491,5,15,.333,17,25,.680,4,34,14,8,9,9,10,25,72,.347,12,27,.444,12,16,.750,14,38,15,5,2,12,19,101.3,98.7,74.7,.455,.273,.568,47.2,51.9,10.7,20.0,.536,11.9,14.3,.309,.431,13.1,68.2,.167
17,2019-01-16,,Kansas State,L,61,74,22,47,.468,5,18,.278,12,23,.522,8,26,12,6,1,16,16,29,58,.500,10,22,.455,6,7,.857,7,28,15,8,0,10,14,93.8,113.8,65.1,.489,.383,.527,48.1,54.5,9.2,2.8,.521,21.6,27.6,.255,.586,14.0,72.0,.103
18,2019-01-19,@,Texas,L,72,75,27,61,.443,7,17,.412,11,13,.846,8,31,8,5,3,6,18,25,55,.455,5,22,.227,20,25,.800,9,35,8,2,6,6,13,110.8,115.4,64.5,.213,.279,.536,47.0,29.6,7.7,9.1,.500,8.2,23.5,.180,.500,8.2,71.9,.364
19,2019-01-23,@,Oklahoma State,W,70,61,26,52,.500,6,18,.333,12,16,.750,5,27,17,8,2,6,11,22,52,.423,12,27,.444,5,7,.714,3,26,15,4,4,12,14,112.9,98.4,62.5,.308,.346,.587,50.9,65.4,12.9,8.0,.558,9.1,17.9,.231,.538,17.8,88.0,.096
