G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2018-11-06,,UC-Riverside,W,72,59,30,59,.508,6,15,.400,6,11,.545,5,30,18,6,4,7,9,22,57,.386,8,24,.333,7,8,.875,4,28,10,5,1,11,15,107.5,88.1,66.3,.186,.254,.561,51.7,60.0,9.0,12.1,.559,9.8,17.2,.102,.456,15.3,86.2,.123
2,2018-11-10,,Wyoming,W,83,64,31,63,.492,5,18,.278,16,21,.762,15,44,17,6,6,12,22,24,57,.421,7,23,.304,9,20,.450,7,24,14,5,1,12,22,116.9,90.1,70.7,.333,.286,.569,64.7,54.8,8.5,17.6,.532,14.1,46.9,.254,.482,15.3,80.6,.158
3,2018-11-16,N,Old Dominion,W,61,56,21,51,.412,5,19,.263,14,22,.636,13,38,11,5,4,14,15,21,58,.362,7,25,.280,7,14,.500,10,32,9,4,3,11,19,95.3,87.5,64.1,.431,.373,.496,54.3,52.4,7.8,12.1,.461,18.6,37.1,.275,.422,14.5,71.4,.121
4,2018-11-18,N,Missouri,L,63,69,24,60,.400,6,24,.250,9,14,.643,13,36,11,5,3,15,24,21,55,.382,5,17,.294,22,28,.786,9,27,10,5,3,8,22,92.6,101.5,68.0,.233,.400,.473,57.1,45.8,7.4,7.9,.450,18.4,41.9,.150,.427,10.5,71.9,.400
5,2018-11-19,N,Penn,W,74,58,29,57,.509,7,19,.368,9,14,.643,8,37,11,8,5,12,14,21,59,.356,8,27,.296,8,17,.471,9,29,10,4,2,12,12,107.2,84.1,68.9,.246,.333,.581,56.1,37.9,11.6,15.6,.570,15.9,28.6,.158,.424,15.2,76.3,.136
6,2018-11-25,@,Long Beach State,W,75,72,30,70,.429,5,21,.238,10,13,.769,14,38,16,6,6,9,20,25,65,.385,4,16,.250,18,25,.720,15,38,13,6,4,12,16,102.7,98.6,72.5,.186,.300,.492,50.0,53.3,8.2,12.2,.464,10.6,37.8,.143,.415,13.5,61.5,.277
7,2018-12-01,,Missouri State,W,101,77,39,64,.609,16,28,.571,7,12,.583,8,29,29,8,7,9,12,29,59,.492,12,26,.462,7,10,.700,6,25,17,3,2,13,13,142.3,108.5,70.7,.188,.438,.725,53.7,74.4,11.3,21.2,.734,11.4,29.6,.109,.593,16.9,77.8,.119
8,2018-12-09,@,Saint Louis,L,61,65,21,53,.396,6,22,.273,13,17,.765,10,35,15,8,2,16,25,21,50,.420,8,12,.667,15,32,.469,12,30,12,10,4,15,19,89.7,95.6,67.6,.321,.415,.499,53.8,71.4,11.8,5.3,.453,20.8,35.7,.245,.500,18.7,67.6,.300
9,2018-12-15,N,Texas A&M,L,64,67,21,61,.344,8,27,.296,14,19,.737,17,36,12,4,8,18,17,23,54,.426,7,17,.412,14,17,.824,10,30,16,7,5,15,20,92.8,97.1,69.1,.311,.443,.457,54.5,57.1,5.8,21.6,.410,20.4,45.9,.230,.491,19.5,65.5,.259
10,2018-12-17,,Pepperdine,W,82,67,26,48,.542,8,19,.421,22,26,.846,7,35,18,10,10,19,17,22,60,.367,7,23,.304,16,21,.762,8,20,13,9,0,13,20,110.8,90.5,73.7,.542,.396,.679,63.6,69.2,13.5,27.0,.625,23.9,36.8,.458,.425,15.7,77.8,.267
11,2018-12-21,,Kent State,L,63,66,25,57,.439,3,17,.176,10,11,.909,8,29,13,5,8,9,15,22,55,.400,10,21,.476,12,14,.857,11,34,11,5,0,11,18,101.6,106.5,62.4,.193,.298,.506,46.0,52.0,8.1,23.5,.465,12.6,25.8,.175,.491,15.1,65.6,.218
12,2018-12-29,,Central Connecticut,W,80,59,25,51,.490,5,19,.263,25,29,.862,13,45,13,5,6,17,16,21,64,.328,3,13,.231,14,19,.737,9,23,7,9,0,9,23,112.7,83.1,70.9,.569,.373,.618,66.2,52.0,7.0,11.8,.539,20.8,48.1,.490,.352,11.0,78.0,.219
13,2019-01-05,@,Oregon,W,77,72,26,51,.510,6,19,.316,19,21,.905,5,35,17,4,5,18,16,26,69,.377,9,27,.333,11,16,.688,10,28,11,11,2,10,22,102.7,96.0,75.3,.412,.373,.631,55.6,65.4,5.3,11.9,.569,22.8,21.7,.373,.442,11.5,75.0,.159
14,2019-01-10,,USC,W (1 OT),79,74,27,56,.482,9,22,.409,16,23,.696,7,36,17,3,8,12,13,28,66,.424,9,25,.360,9,13,.692,6,29,13,6,5,8,19,108.2,101.4,64.9,.411,.393,.590,55.4,63.0,4.1,19.5,.563,15.2,23.3,.286,.492,10.0,82.9,.136
15,2019-01-13,,UCLA,W,79,66,29,61,.475,7,25,.280,14,18,.778,4,30,21,7,8,11,16,24,63,.381,8,25,.320,10,21,.476,9,35,12,7,3,13,20,102.6,85.7,76.8,.295,.410,.568,46.2,72.4,9.1,21.1,.533,13.7,13.3,.230,.444,15.1,74.3,.159
16,2019-01-17,@,Arizona State,L,67,70,22,56,.393,10,29,.345,13,20,.650,5,28,17,7,2,9,19,25,57,.439,10,25,.400,10,22,.455,11,38,15,3,2,11,21,98.5,102.9,68.5,.357,.518,.511,42.4,77.3,10.3,6.3,.482,12.1,15.6,.232,.526,14.0,67.6,.175
17,2019-01-19,@,Arizona,L,71,82,25,49,.510,4,17,.235,17,23,.739,8,27,12,5,7,15,22,27,67,.403,13,27,.481,15,19,.789,17,35,17,9,2,11,19,104.4,120.6,68.8,.469,.347,.592,43.5,48.0,7.4,17.5,.551,20.0,30.8,.347,.500,12.6,52.8,.224
18,2019-01-24,,Washington State,W,90,77,34,65,.523,10,27,.370,12,16,.750,14,36,23,7,5,9,12,28,56,.500,12,28,.429,9,10,.900,3,21,15,6,3,12,18,130.4,111.6,68.7,.246,.415,.620,63.2,67.6,10.1,17.9,.600,11.0,43.8,.185,.607,16.5,88.0,.161
19,2019-01-26,,Washington,L,69,79,22,50,.440,7,19,.368,18,26,.692,11,30,13,5,2,15,20,28,48,.583,7,19,.368,16,25,.640,6,24,15,10,4,12,25,104.5,119.7,66.1,.520,.380,.553,55.6,59.1,7.6,6.9,.510,19.4,37.9,.360,.656,16.7,76.0,.333
20,2019-01-31,@,Colorado,W,76,74,27,56,.482,7,20,.350,15,25,.600,6,28,11,6,3,9,18,26,52,.500,6,20,.300,16,26,.615,6,29,15,0,0,11,20,108.6,105.7,70.1,.446,.357,.560,49.1,40.7,8.6,9.4,.545,11.7,20.7,.268,.558,14.6,78.6,.308
21,2019-02-02,@,Utah,W,81,72,25,51,.490,5,16,.313,26,32,.813,10,31,10,8,10,13,21,25,58,.431,6,22,.273,16,25,.640,13,30,10,6,1,11,23,117.4,104.3,68.5,.627,.314,.612,50.8,40.0,11.6,27.8,.539,16.4,37.0,.510,.483,13.6,61.8,.276
22,2019-02-07,,Stanford,L,60,83,23,60,.383,1,12,.083,13,19,.684,6,24,13,5,5,8,22,28,52,.538,8,15,.533,19,22,.864,7,38,16,4,5,13,22,85.7,118.6,69.7,.317,.200,.435,38.7,56.5,7.1,13.5,.392,10.4,16.2,.217,.615,17.2,72.0,.365
23,2019-02-09,,California,W,79,71,25,46,.543,6,17,.353,23,28,.821,6,28,11,8,4,14,10,28,57,.491,5,16,.313,10,12,.833,4,20,13,12,5,12,22,114.5,102.9,69.0,.609,.370,.666,58.3,44.0,11.6,9.8,.609,19.1,27.3,.500,.535,16.1,84.6,.175
24,2019-02-16,,Oregon,W,72,57,25,51,.490,8,24,.333,14,23,.609,4,27,16,5,5,8,15,20,45,.444,9,23,.391,8,15,.533,5,30,15,4,3,15,18,112.5,89.1,64.0,.451,.471,.581,47.4,64.0,7.8,22.7,.569,11.4,13.8,.275,.544,22.3,82.1,.178
25,2019-02-21,@,UCLA,L,67,68,30,59,.508,6,20,.300,1,3,.333,5,32,21,4,6,11,18,22,52,.423,6,15,.400,18,28,.643,9,32,13,5,2,11,8,100.0,101.5,66.9,.051,.339,.554,50.0,70.0,6.0,16.2,.559,15.4,17.9,.017,.481,14.4,75.0,.346
26,2019-02-23,@,USC,W,67,62,23,55,.418,6,20,.300,15,19,.789,9,34,15,5,3,13,14,27,61,.443,8,27,.296,0,6,.000,9,32,14,6,4,10,19,101.5,93.9,66.4,.345,.364,.523,51.5,65.2,7.6,8.8,.473,16.9,28.1,.273,.508,13.5,73.5,.000
27,2019-02-28,,Arizona,L,72,74,20,43,.465,7,18,.389,25,31,.806,2,13,11,8,7,7,18,27,54,.500,8,17,.471,12,15,.800,8,30,10,3,1,13,24,112.5,115.6,64.4,.721,.419,.624,30.2,55.0,12.5,18.9,.547,10.8,8.3,.581,.574,17.5,57.9,.222
28,2019-03-03,,Arizona State,L,71,74,22,56,.393,6,22,.273,21,27,.778,12,39,14,4,7,13,20,25,53,.472,8,20,.400,16,25,.640,6,27,12,7,3,7,24,104.4,108.8,67.9,.482,.393,.516,59.1,63.6,5.9,21.2,.446,15.9,36.4,.375,.547,9.7,81.8,.302
29,2019-03-06,@,Washington,L (1 OT),76,81,26,56,.464,8,18,.444,16,21,.762,13,29,16,5,2,14,19,27,50,.540,10,21,.476,17,26,.654,8,28,11,10,8,11,17,115.2,122.7,58.8,.375,.321,.576,50.9,61.5,7.6,6.9,.536,17.5,39.4,.286,.640,15.0,66.7,.340
30,2019-03-09,@,Washington State,W,85,77,29,60,.483,7,22,.318,20,28,.714,11,36,18,7,2,9,15,27,60,.450,12,28,.429,11,13,.846,9,30,15,4,3,15,21,118.1,106.9,71.7,.467,.367,.580,54.5,62.1,9.7,6.3,.542,10.9,34.4,.333,.550,18.5,73.5,.183
31,2019-03-14,N,Colorado,L,58,73,18,53,.340,3,18,.167,19,24,.792,6,26,5,6,4,9,22,22,51,.431,6,16,.375,23,27,.852,10,37,14,3,3,9,20,89.2,112.3,65.1,.453,.340,.450,41.3,27.8,9.2,11.4,.368,12.3,18.2,.358,.490,12.4,66.7,.451
