G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2018-11-06,@,UC-Davis,W,76,42,32,61,.525,6,22,.273,6,12,.500,10,41,18,10,3,12,20,14,51,.275,3,19,.158,11,12,.917,5,28,7,7,3,18,16,110.1,60.9,69.2,.197,.361,.570,59.4,56.3,14.5,9.4,.574,15.2,30.3,.098,.304,24.1,86.1,.216
2,2018-11-10,,Maine,W,93,50,30,55,.545,14,29,.483,19,23,.826,13,39,21,9,5,13,13,21,54,.389,3,20,.150,5,7,.714,6,18,12,6,2,13,16,143.1,76.9,65.1,.418,.527,.705,68.4,70.0,13.8,14.7,.673,16.5,52.0,.345,.417,18.5,81.3,.093
3,2018-11-12,,Sonoma State,W,88,54,33,69,.478,12,33,.364,10,17,.588,34,51,20,5,2,11,10,20,56,.357,5,16,.313,9,13,.692,20,24,10,4,1,12,14,163.0,100.0,54.1,.246,.478,.571,68.0,60.6,9.3,5.0,.565,12.5,89.5,.145,.402,16.2,45.9,.161
4,2018-11-18,N,LIU-Brooklyn,W,84,52,34,62,.548,5,19,.263,11,19,.579,9,43,15,7,5,13,17,18,64,.281,7,30,.233,9,16,.563,7,26,8,5,2,10,16,112.0,69.3,74.8,.306,.306,.591,62.3,44.1,9.3,14.7,.589,15.5,32.1,.177,.336,12.3,82.9,.141
5,2018-11-21,,Harvard,W,61,57,20,62,.323,2,18,.111,19,28,.679,11,40,6,9,3,12,17,22,62,.355,4,21,.190,9,12,.750,8,39,6,5,6,13,20,81.3,76.0,74.5,.452,.290,.405,50.6,30.0,12.0,7.3,.339,13.7,26.2,.306,.387,16.1,78.4,.145
6,2018-11-24,,Dartmouth,W,84,65,33,67,.493,11,25,.440,7,11,.636,7,38,14,8,3,7,12,25,61,.410,11,27,.407,4,7,.571,4,30,17,5,4,11,14,116.7,90.3,71.8,.164,.373,.582,55.9,42.4,11.1,8.8,.575,8.8,21.2,.104,.500,14.6,88.6,.066
7,2018-11-30,N,Stephen F. Austin,W,76,58,30,55,.545,9,27,.333,7,12,.583,4,29,21,4,2,12,12,24,58,.414,4,16,.250,6,10,.600,7,29,8,5,2,14,20,110.1,84.1,69.2,.218,.491,.626,50.0,70.0,5.8,4.8,.627,16.5,15.4,.127,.448,18.2,78.1,.103
8,2018-12-01,N,Buffalo,L,81,85,32,63,.508,4,20,.200,13,21,.619,7,36,10,6,2,11,21,33,67,.493,8,25,.320,11,20,.550,8,33,13,6,4,12,19,102.5,107.6,78.7,.333,.317,.555,52.2,31.3,7.6,4.8,.540,13.1,21.9,.206,.552,13.6,78.4,.164
9,2018-12-05,@,California,W,79,60,29,59,.492,10,27,.370,11,17,.647,12,38,16,5,2,10,19,19,49,.388,7,23,.304,15,21,.714,7,27,12,3,5,12,17,121.5,92.3,64.5,.288,.458,.589,58.5,55.2,7.7,7.7,.576,13.0,37.5,.186,.459,16.9,78.8,.306
10,2018-12-13,,Eastern Washington,W,85,63,31,60,.517,11,25,.440,12,17,.706,11,40,19,8,4,9,14,25,60,.417,7,23,.304,6,9,.667,6,28,7,3,1,11,17,125.0,92.6,67.7,.283,.417,.624,58.8,61.3,11.8,10.8,.608,11.7,33.3,.200,.475,14.6,82.9,.100
