G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2018-11-07,,Howard Payne,W,81,34,29,67,.433,5,23,.217,18,29,.621,13,45,11,13,6,13,16,13,57,.228,5,24,.208,3,5,.600,8,35,9,3,2,29,28,100.0,42.0,81.0,.433,.343,.501,56.3,37.9,16.0,18.2,.470,13.9,32.5,.269,.272,32.8,80.0,.053
2,2018-11-09,,Our Lady of the Lake,W,113,83,42,78,.538,8,23,.348,21,28,.750,19,50,19,11,4,12,22,27,57,.474,10,24,.417,19,28,.679,2,18,10,7,3,17,23,132.9,97.6,84.8,.359,.295,.619,73.5,45.2,12.9,12.1,.590,11.6,54.3,.269,.561,19.5,93.9,.333
3,2018-11-12,,Texas-Rio Grande Valley,L,69,76,23,54,.426,7,16,.438,16,20,.800,11,35,11,1,8,12,23,26,63,.413,6,18,.333,18,22,.818,12,33,13,4,3,7,18,104.5,115.2,66.5,.370,.296,.543,51.5,47.8,1.5,17.8,.491,15.9,34.4,.296,.460,8.7,66.7,.286
4,2018-11-16,@,Texas-Arlington,W,73,67,30,63,.476,5,15,.333,8,13,.615,13,37,18,6,2,10,17,23,61,.377,6,32,.188,15,21,.714,11,31,9,4,5,12,17,105.8,97.1,69.1,.206,.238,.528,54.4,60.0,8.7,6.9,.516,12.6,39.4,.127,.426,14.5,68.6,.246
5,2018-11-17,N,UC-Davis,L (1 OT),54,57,21,59,.356,5,21,.238,7,12,.583,8,33,6,8,3,16,18,18,56,.321,8,27,.296,13,16,.813,8,37,9,7,3,17,16,74.0,78.1,64.6,.203,.356,.417,47.1,28.6,11.0,10.3,.398,19.8,21.6,.119,.393,21.1,75.8,.232
6,2018-11-21,,St. Mary's (TX),W,61,58,22,56,.393,6,22,.273,11,19,.579,8,32,11,5,3,7,7,23,57,.404,9,24,.375,3,4,.750,7,32,15,4,3,11,20,96.8,92.1,63.5,.339,.393,.469,50.0,50.0,7.9,9.1,.446,9.7,24.2,.196,.482,15.7,77.4,.053
7,2018-11-26,@,Texas-Rio Grande Valley,L,59,68,23,52,.442,4,17,.235,9,14,.643,8,30,13,4,1,17,22,22,51,.431,6,17,.353,18,21,.857,6,28,16,7,6,14,18,86.8,100.0,68.3,.269,.327,.503,51.7,56.5,5.9,2.9,.481,22.5,26.7,.173,.490,18.7,78.6,.353
8,2018-12-02,@,Tennessee,L,51,79,19,59,.322,9,25,.360,4,6,.667,8,29,10,6,1,14,19,26,49,.531,7,17,.412,20,25,.800,4,34,20,10,6,13,7,73.9,114.5,68.9,.102,.424,.412,46.0,52.6,8.7,3.1,.398,18.5,21.1,.068,.602,17.6,84.0,.408
9,2018-12-05,,Texas State,L,55,61,22,57,.386,3,15,.200,8,16,.500,10,30,9,7,5,13,24,18,45,.400,1,17,.059,24,29,.828,7,33,15,6,5,16,19,80.9,89.7,67.7,.281,.263,.426,47.6,40.9,10.3,17.9,.412,16.8,27.8,.140,.411,21.4,74.1,.533
10,2018-12-18,,Huston-Tillotson,W,81,63,31,67,.463,14,29,.483,5,8,.625,8,39,22,5,1,7,19,20,54,.370,8,26,.308,15,24,.625,5,35,8,3,3,9,10,115.7,90.0,69.6,.119,.433,.572,52.7,71.0,7.1,3.6,.567,9.0,21.1,.075,.444,12.1,86.1,.278
11,2018-12-20,,UTSA,L,50,64,15,52,.288,4,22,.182,16,25,.640,15,42,7,6,4,23,19,24,56,.429,7,23,.304,9,14,.643,8,31,9,10,4,17,22,69.4,88.9,71.8,.481,.423,.391,57.5,46.7,8.3,12.1,.327,26.5,39.5,.308,.491,21.3,77.1,.161
12,2018-12-22,@,Louisiana Tech,L,68,73,24,59,.407,8,27,.296,12,15,.800,10,39,21,5,5,14,24,20,54,.370,9,22,.409,24,33,.727,8,31,13,7,5,10,15,95.8,102.8,70.9,.254,.458,.514,55.7,87.5,7.0,15.6,.475,17.5,30.3,.203,.454,12.6,78.4,.444
13,2018-12-29,@,Oklahoma State,L,59,69,21,62,.339,9,25,.360,8,12,.667,10,26,15,7,2,9,15,23,49,.469,8,22,.364,15,23,.652,7,33,14,5,6,15,13,88.1,103.0,67.3,.194,.403,.436,44.1,71.4,10.4,7.4,.411,11.7,27.8,.129,.551,20.0,69.6,.306
14,2019-01-02,,Central Arkansas,W,87,75,28,62,.452,4,17,.235,27,35,.771,12,41,18,9,1,11,11,25,59,.424,15,31,.484,10,12,.833,3,28,19,6,6,18,24,110.1,94.9,78.7,.565,.274,.553,59.4,64.3,11.4,3.6,.484,12.3,32.4,.435,.551,21.8,90.6,.169
15,2019-01-05,@,Lamar,L,55,61,21,60,.350,6,20,.300,7,10,.700,7,28,12,7,1,17,28,18,42,.429,4,14,.286,21,36,.583,9,35,11,8,6,17,18,77.5,85.9,70.9,.167,.333,.425,44.4,57.1,9.9,3.6,.400,20.8,21.2,.117,.476,22.3,70.0,.500
16,2019-01-09,@,Northwestern State,W,62,61,21,60,.350,8,19,.421,12,19,.632,19,38,10,7,7,15,13,25,55,.455,8,22,.364,3,5,.600,9,27,11,7,6,14,20,96.9,95.3,63.7,.317,.317,.449,58.5,47.6,10.9,21.2,.417,17.9,51.4,.200,.527,19.6,67.9,.055
17,2019-01-16,@,Sam Houston State,L,50,72,19,56,.339,5,21,.238,7,9,.778,6,31,10,4,1,16,15,26,59,.441,11,28,.393,9,10,.900,7,34,20,11,3,12,15,71.4,102.9,69.5,.161,.375,.415,47.7,52.6,5.7,3.2,.384,21.0,18.2,.125,.534,15.8,78.1,.153
18,2019-01-19,,New Orleans,W,76,61,29,54,.537,6,19,.316,12,17,.706,6,29,20,8,4,15,19,20,49,.408,1,10,.100,20,25,.800,7,25,7,8,1,21,20,104.1,83.6,73.0,.315,.352,.612,53.7,69.0,11.0,10.3,.593,19.5,25.0,.222,.418,25.6,76.7,.408
19,2019-01-23,,Nicholls State,W,75,73,25,61,.410,9,24,.375,16,19,.842,9,35,13,3,2,9,16,22,51,.431,14,25,.560,15,18,.833,3,29,15,4,4,9,19,110.3,107.4,67.8,.311,.393,.536,54.7,52.0,4.4,7.7,.484,11.4,25.7,.262,.569,13.1,89.7,.294
20,2019-01-30,@,Abilene Christian,L,71,78,25,46,.543,2,10,.200,19,24,.792,5,28,9,8,4,19,18,25,59,.424,12,24,.500,16,21,.762,14,32,17,12,3,14,22,101.4,111.4,70.2,.522,.217,.618,46.7,36.0,11.4,11.4,.565,24.9,21.7,.413,.525,16.9,62.2,.271
21,2019-02-02,@,Houston Baptist,L,72,73,28,60,.467,5,16,.313,11,16,.688,9,33,16,9,3,19,29,25,49,.510,2,10,.200,21,36,.583,8,32,14,7,4,19,21,93.5,94.8,77.4,.267,.267,.533,50.8,57.1,11.7,7.7,.508,21.9,27.3,.183,.531,22.3,75.0,.429
22,2019-02-06,,Southeastern Louisiana,L,58,64,20,46,.435,3,12,.250,15,21,.714,11,31,11,3,2,12,22,19,46,.413,8,24,.333,18,22,.818,4,22,9,3,1,11,21,96.7,106.7,60.2,.457,.261,.518,58.5,55.0,5.0,9.1,.467,17.7,37.9,.326,.500,16.3,83.3,.391
23,2019-02-09,,Incarnate Word,W,70,61,23,39,.590,8,15,.533,16,20,.800,5,20,14,8,3,13,20,18,38,.474,7,12,.583,18,25,.720,7,21,10,9,0,15,19,122.8,107.0,57.2,.513,.385,.722,48.8,60.9,14.0,11.5,.692,21.1,26.3,.410,.566,23.1,68.2,.474
24,2019-02-13,,Sam Houston State,L,69,70,27,52,.519,9,17,.529,6,9,.667,5,26,17,3,2,8,15,24,52,.462,11,27,.407,11,14,.786,4,22,12,4,1,6,10,115.0,116.7,60.0,.173,.327,.613,54.2,63.0,5.0,8.0,.606,12.4,21.7,.115,.567,9.3,84.0,.212
25,2019-02-16,@,New Orleans,L,58,68,21,51,.412,2,14,.143,14,21,.667,11,31,9,5,2,19,22,21,47,.447,6,11,.545,20,24,.833,4,26,12,6,6,14,20,84.1,98.6,68.7,.412,.275,.476,54.4,42.9,7.2,5.6,.431,23.8,33.3,.275,.511,19.3,83.3,.426
26,2019-02-20,@,Stephen F. Austin,W,65,55,26,57,.456,9,25,.360,4,10,.400,12,40,15,7,2,16,21,17,51,.333,5,22,.227,16,25,.640,10,30,9,3,2,15,12,97.0,82.1,66.8,.175,.439,.526,57.1,57.7,10.4,6.9,.535,20.6,37.5,.070,.382,19.3,73.7,.314
27,2019-02-23,,Lamar,L,58,63,19,44,.432,6,16,.375,14,19,.737,7,26,12,7,4,19,18,21,52,.404,8,20,.400,13,20,.650,8,26,7,9,3,13,18,87.9,95.5,65.8,.432,.364,.547,50.0,63.2,10.6,12.5,.500,26.4,28.0,.318,.481,17.4,70.4,.250
28,2019-02-27,,Abilene Christian,L,64,73,26,56,.464,6,19,.316,6,14,.429,11,34,13,3,3,15,20,22,54,.407,8,25,.320,21,31,.677,10,31,15,11,0,7,16,97.0,110.6,66.2,.250,.339,.511,52.3,50.0,4.5,10.3,.518,19.3,34.4,.107,.481,9.2,69.7,.389
29,2019-03-02,@,Incarnate Word,W (1 OT),74,72,23,49,.469,7,15,.467,21,27,.778,8,24,11,9,0,15,20,23,49,.469,7,17,.412,19,20,.950,7,25,17,6,4,19,23,105.7,102.9,61.9,.551,.306,.598,49.0,47.8,12.9,0.0,.541,19.5,30.8,.429,.541,24.5,69.6,.388
30,2019-03-06,@,McNeese State,W,59,50,21,54,.389,8,20,.400,9,11,.818,9,39,14,6,2,12,14,16,55,.291,5,27,.185,13,13,1.000,8,29,10,4,4,8,10,95.2,80.6,61.7,.204,.370,.498,57.4,66.7,9.7,7.1,.463,16.8,30.0,.167,.336,11.6,78.9,.236
31,2019-03-09,,Houston Baptist,W,76,69,30,51,.588,5,14,.357,11,17,.647,5,33,18,4,1,16,21,23,70,.329,9,28,.321,14,22,.636,17,31,13,8,1,9,17,107.0,97.2,71.3,.333,.275,.643,51.6,60.0,5.6,2.4,.637,21.3,26.3,.216,.393,10.1,62.2,.200
32,2019-03-13,N,Central Arkansas,L,53,73,20,60,.333,7,28,.250,6,6,1.000,8,29,8,3,1,11,23,21,48,.438,8,21,.381,23,29,.793,7,35,11,7,1,9,11,81.5,112.3,64.8,.100,.467,.422,45.3,40.0,4.6,3.7,.392,14.9,22.2,.100,.521,12.7,75.0,.479
