G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2018-11-06,,Gardner-Webb,W,69,57,25,59,.424,7,23,.304,12,18,.667,10,32,14,10,7,18,18,20,52,.385,5,16,.313,12,20,.600,6,25,12,6,5,20,17,90.8,75.0,75.5,.305,.390,.511,56.1,56.0,13.2,19.4,.483,21.0,34.5,.203,.433,24.5,78.6,.231
2,2018-11-09,,Hampton,W,69,57,23,54,.426,5,20,.250,18,31,.581,4,37,14,8,4,16,25,18,62,.290,3,17,.176,18,24,.750,12,41,7,2,3,17,26,86.3,71.3,79.6,.574,.370,.502,47.4,60.9,10.0,8.9,.472,18.9,12.1,.333,.315,18.8,73.3,.290
3,2018-11-12,,Bowling Green State,W,72,61,21,58,.362,8,29,.276,22,28,.786,11,30,13,11,6,15,25,19,54,.352,6,18,.333,17,27,.630,15,43,8,6,1,25,26,94.7,80.3,76.1,.483,.500,.505,41.1,61.9,14.5,16.7,.431,17.4,28.2,.379,.407,27.2,55.9,.315
4,2018-11-19,N,Temple,W,57,51,22,48,.458,6,20,.300,7,13,.538,7,32,11,6,3,19,20,20,62,.323,4,28,.143,7,15,.467,11,33,8,13,1,13,17,82.6,73.9,68.7,.271,.417,.526,49.2,50.0,8.7,8.8,.521,26.0,24.1,.146,.355,15.8,69.4,.113
5,2018-11-20,N,St. John's (NY),L (1 OT),86,87,26,62,.419,13,34,.382,21,27,.778,9,43,16,5,4,22,25,31,73,.425,6,22,.273,19,24,.792,9,31,16,14,1,9,21,100.0,101.2,76.5,.435,.548,.575,58.1,61.5,5.8,7.8,.524,22.7,29.0,.339,.466,9.6,79.1,.260
6,2018-11-24,,Hofstra,W (1 OT),69,67,30,72,.417,6,30,.200,3,6,.500,14,39,15,14,5,13,20,22,60,.367,6,21,.286,17,20,.850,7,35,9,5,3,19,14,88.5,85.9,69.0,.083,.417,.461,52.7,50.0,17.9,12.8,.458,14.8,33.3,.042,.417,21.5,78.1,.283
7,2018-11-28,@,Old Dominion,L,52,62,17,49,.347,6,20,.300,12,17,.706,5,29,8,1,2,14,20,21,60,.350,4,18,.222,16,23,.696,12,37,8,5,7,8,16,77.6,92.5,66.5,.347,.408,.456,43.9,47.1,1.5,4.8,.408,19.7,16.7,.245,.383,10.1,66.7,.267
8,2018-12-01,,Iona,W,88,59,28,66,.424,11,30,.367,21,36,.583,15,41,16,14,7,8,23,19,51,.373,4,19,.211,17,23,.739,6,32,7,3,3,21,27,114.3,76.6,76.5,.545,.455,.529,56.2,57.1,18.2,21.9,.508,8.8,36.6,.318,.412,25.3,81.3,.333
9,2018-12-05,@,Texas,W,54,53,16,57,.281,6,25,.240,16,21,.762,16,35,6,7,6,14,17,22,53,.415,4,17,.235,5,8,.625,7,33,12,5,4,17,21,81.8,80.3,65.9,.368,.439,.403,51.5,37.5,10.6,16.7,.333,17.3,38.1,.281,.453,23.0,73.1,.094
10,2018-12-09,@,Virginia,L,49,57,18,61,.295,6,29,.207,7,11,.636,12,31,7,2,4,7,21,13,44,.295,5,18,.278,26,30,.867,11,36,9,4,2,12,18,81.7,95.0,60.2,.180,.475,.370,46.3,38.9,3.3,15.4,.344,9.6,32.4,.115,.352,17.1,63.3,.591
11,2018-12-15,,College of Charleston,L,79,83,27,64,.422,6,27,.222,19,30,.633,11,29,13,12,5,16,24,26,51,.510,6,16,.375,25,33,.758,5,33,10,10,0,22,24,95.2,100.0,83.5,.469,.422,.505,46.8,48.1,14.5,14.3,.469,17.0,28.2,.297,.569,24.8,78.3,.490
12,2018-12-22,,Wichita State,W,70,54,28,56,.500,5,25,.200,9,12,.750,8,29,16,10,3,9,16,21,59,.356,6,26,.231,6,10,.600,14,35,10,3,1,16,18,109.4,84.4,64.2,.214,.446,.567,45.3,57.1,15.6,9.1,.545,12.7,27.6,.161,.407,20.1,60.0,.102
13,2018-12-30,,Rider,W,90,79,33,62,.532,14,29,.483,10,14,.714,9,34,24,8,1,12,18,30,63,.476,10,24,.417,9,17,.529,10,32,20,10,1,14,17,123.3,108.2,73.4,.226,.468,.655,51.5,72.7,11.0,2.6,.645,14.9,29.0,.161,.556,16.5,71.4,.143
14,2019-01-05,@,Fordham,W,76,51,30,45,.667,7,16,.438,9,10,.900,2,26,17,8,1,19,20,17,52,.327,6,21,.286,11,17,.647,10,22,11,6,1,17,11,113.4,76.1,66.9,.222,.356,.764,54.2,56.7,11.9,3.2,.744,27.6,14.3,.200,.385,22.1,70.6,.212
15,2019-01-09,,La Salle,W,69,63,20,53,.377,5,17,.294,24,34,.706,12,39,13,6,9,18,19,21,59,.356,5,20,.250,16,20,.800,11,38,10,10,2,19,27,90.8,82.9,75.8,.642,.321,.499,50.6,65.0,7.9,23.1,.425,20.7,30.8,.453,.398,21.7,71.1,.271
16,2019-01-12,@,Davidson,L,57,64,19,51,.373,4,24,.167,15,20,.750,5,32,6,5,4,13,19,21,55,.382,7,20,.350,15,19,.789,6,29,11,3,1,9,15,83.8,94.1,67.8,.392,.471,.471,52.5,31.6,7.4,11.4,.412,17.7,17.9,.294,.445,12.3,81.8,.273
17,2019-01-16,,Dayton,W,76,71,27,59,.458,9,19,.474,13,22,.591,12,38,12,5,4,9,19,26,55,.473,4,16,.250,15,23,.652,7,30,16,3,3,12,21,110.1,102.9,68.7,.373,.322,.547,55.9,44.4,7.2,10.3,.534,11.5,34.3,.220,.509,15.4,78.8,.273
18,2019-01-19,,UMass,W,68,50,19,42,.452,6,13,.462,24,32,.750,7,34,12,7,7,19,21,17,58,.293,5,21,.238,11,17,.647,12,29,10,8,4,18,29,95.8,70.4,70.6,.762,.310,.594,54.0,63.2,9.9,18.9,.524,24.9,29.2,.571,.336,21.4,69.2,.190
19,2019-01-23,@,Rhode Island,L,65,71,22,51,.431,2,12,.167,19,25,.760,8,32,7,8,9,18,22,25,61,.410,1,9,.111,20,26,.769,13,36,9,6,4,13,20,89.0,97.3,73.1,.490,.235,.517,47.1,31.8,11.0,17.3,.451,22.3,25.8,.373,.418,15.1,64.9,.328
20,2019-01-26,@,Duquesne,W,80,74,27,56,.482,3,13,.231,23,32,.719,13,42,14,10,4,13,20,25,57,.439,10,27,.370,14,25,.560,8,26,16,6,8,17,25,106.7,98.7,74.5,.571,.232,.562,61.8,51.9,13.3,13.3,.509,15.4,41.9,.411,.526,19.8,78.4,.246
21,2019-02-02,,George Mason,W,79,63,26,55,.473,11,32,.344,16,23,.696,3,31,21,7,6,11,18,25,58,.431,2,19,.105,11,19,.579,6,35,10,8,0,14,23,106.8,85.1,74.5,.418,.582,.599,47.0,80.8,9.5,15.4,.573,14.3,9.4,.291,.448,17.3,82.4,.190
22,2019-02-06,@,George Washington,W,60,50,23,54,.426,3,20,.150,11,18,.611,13,38,12,6,2,14,20,15,44,.341,3,14,.214,17,22,.773,6,28,10,6,1,16,18,93.8,78.1,64.0,.333,.370,.480,57.6,52.2,9.4,6.7,.454,18.3,37.1,.204,.375,22.7,80.6,.386
23,2019-02-09,@,St. Bonaventure,W,85,55,31,61,.508,6,22,.273,17,23,.739,12,47,13,9,6,16,22,17,64,.266,1,18,.056,20,27,.741,14,33,5,6,3,13,19,111.8,72.4,75.9,.377,.361,.591,58.8,41.9,11.8,13.0,.557,18.2,38.7,.279,.273,14.5,71.4,.313
24,2019-02-13,,Richmond,W,81,60,27,47,.574,10,22,.455,17,23,.739,7,28,19,9,5,15,23,20,43,.465,6,14,.429,14,27,.519,7,19,12,11,1,15,20,124.6,92.3,64.9,.489,.468,.699,59.6,70.4,13.8,17.2,.681,20.6,36.8,.362,.535,21.2,75.0,.326
25,2019-02-16,@,Dayton,W,69,68,27,57,.474,8,23,.348,7,9,.778,13,34,15,6,4,14,17,25,50,.500,7,15,.467,11,18,.611,5,22,16,5,2,14,13,106.2,104.6,64.9,.158,.404,.563,60.7,55.6,9.2,11.4,.544,18.6,43.3,.123,.570,19.3,80.8,.220
26,2019-02-19,,Rhode Island,W,76,42,31,62,.500,11,27,.407,3,4,.750,7,30,23,10,1,6,19,13,43,.302,2,11,.182,14,18,.778,9,30,8,3,2,19,15,122.6,67.7,62.2,.065,.435,.595,50.0,74.2,16.1,3.1,.589,8.6,25.0,.048,.326,26.9,71.9,.326
27,2019-02-23,,George Washington,W,85,57,28,60,.467,9,23,.391,20,25,.800,9,36,18,9,4,9,15,21,54,.389,6,14,.429,9,10,.900,6,29,11,3,4,15,18,121.4,81.4,69.8,.417,.383,.591,55.4,64.3,12.9,10.0,.542,11.1,28.1,.333,.444,20.3,81.8,.167
28,2019-02-26,,Saint Louis,W,71,65,23,51,.451,7,25,.280,18,25,.720,8,22,13,7,5,12,20,23,50,.460,4,15,.267,15,25,.600,10,31,14,9,3,16,26,106.0,97.0,67.4,.490,.490,.565,41.5,56.5,10.4,14.3,.520,16.0,27.6,.353,.500,20.5,58.3,.300
29,2019-03-02,@,Richmond,W,69,66,27,54,.500,5,20,.250,10,16,.625,9,34,13,10,3,15,17,24,50,.480,10,20,.500,8,19,.421,6,27,18,11,1,15,18,101.5,97.1,67.8,.296,.370,.560,55.7,48.1,14.7,10.0,.546,19.6,30.0,.185,.580,20.3,80.6,.160
30,2019-03-05,@,George Mason,W,71,36,30,68,.441,6,26,.231,5,7,.714,13,38,10,12,5,12,21,12,49,.245,2,18,.111,10,19,.526,10,31,4,6,1,21,14,101.4,51.4,69.7,.103,.382,.498,55.1,33.3,17.1,16.1,.485,14.4,38.2,.074,.265,26.6,71.4,.204
31,2019-03-08,,St. Joseph's,W,75,63,27,59,.458,11,30,.367,10,15,.667,7,35,21,7,1,10,12,23,59,.390,8,25,.320,9,10,.900,6,30,10,6,4,10,15,110.3,92.6,68.4,.254,.508,.567,53.8,77.8,10.3,2.9,.551,13.1,22.6,.169,.458,13.6,82.4,.153
32,2019-03-15,N,Rhode Island,L,70,75,23,58,.397,7,20,.350,17,25,.680,13,35,12,6,8,12,18,26,60,.433,5,13,.385,18,21,.857,12,34,9,4,4,12,17,101.4,108.7,69.4,.431,.345,.501,50.7,52.2,8.7,17.0,.457,14.7,37.1,.293,.475,14.6,64.7,.300
33,2019-03-22,N,UCF,L,58,73,19,61,.311,6,26,.231,14,17,.824,11,29,6,8,3,12,16,28,57,.491,9,14,.643,8,11,.727,8,39,12,6,6,13,14,84.1,105.8,68.7,.279,.426,.420,42.6,31.6,11.6,7.0,.361,14.8,26.2,.230,.570,17.3,69.2,.140
