,year,arena,location,team,opponent,team_points,opponent_points
0,2010,Marriott Center,Away,BRADLEY,brigham-young,60,70
1,2010,Carver Arena,Home,BRADLEY,idaho-state,74,69
2,2010,Carver Arena,Home,BRADLEY,wofford,56,54
3,2010,Carver Arena,Home,BRADLEY,Presbyterian,71,58
4,2010,Orleans Arena,Neutral,BRADLEY,oklahoma-state,57,68
5,2010,Orleans Arena,Neutral,BRADLEY,illinois,72,68
6,2010,Convocation Center,Away,BRADLEY,northern-illinois,63,49
7,2010,Carver Arena,Home,BRADLEY,western-carolina,67,75
8,2010,Carver Arena,Home,BRADLEY,loyola-il,65,68
9,2010,James H. Hilton Coliseum,Away,BRADLEY,iowa-state,68,87
10,2010,Knapp Center,Away,BRADLEY,drake,67,59
11,2010,Carver Arena,Home,BRADLEY,southern-illinois,81,86
12,2010,Charles Koch Arena,Away,BRADLEY,wichita-state,69,81
13,2010,Carver Arena,Home,BRADLEY,indiana-state,91,85
14,2010,JQH Arena,Away,BRADLEY,missouri-state,69,88
15,2010,McLeod Center,Away,BRADLEY,northern-iowa,50,52
16,2010,Carver Arena,Home,BRADLEY,missouri-state,74,56
17,2010,The SIU Arena,Away,BRADLEY,southern-illinois,57,55
18,2010,Carver Arena,Home,BRADLEY,evansville,74,64
19,2010,Carver Arena,Home,BRADLEY,creighton,68,73
20,2010,Redbird Arena,Away,BRADLEY,illinois-state,47,66
21,2010,Carver Arena,Home,BRADLEY,drake,67,65
22,2010,Roberts Stadium,Away,BRADLEY,evansville,83,63
23,2010,Carver Arena,Home,BRADLEY,illinois-state,61,62
24,2010,Carver Arena,Home,BRADLEY,northern-iowa,68,59
25,2010,Hulman Center,Away,BRADLEY,indiana-state,69,75
26,2010,Carver Arena,Home,BRADLEY,drexel,76,60
27,2010,Carver Arena,Home,BRADLEY,wichita-state,75,73
28,2010,Qwest Center OMAHA,Away,BRADLEY,creighton,71,82
29,2010,Scottrade Center,Neutral,BRADLEY,creighton,81,62
30,2010,Scottrade Center,Neutral,BRADLEY,northern-iowa,40,57
