,year,arena,location,team,opponent,team_points,opponent_points
0,2010,McArthur Court,Neutral,CALIFORNIA-DAVIS,colorado-state,73,91
1,2010,McArthur Court,Away,CALIFORNIA-DAVIS,oregon,64,95
2,2010,McArthur Court,Neutral,CALIFORNIA-DAVIS,Winston-Salem,99,79
3,2010,The Pavilion,Home,CALIFORNIA-DAVIS,UC-Santa Cruz,88,59
4,2010,The Pavilion,Home,CALIFORNIA-DAVIS,north-dakota-state,62,63
5,2010,Worthen Arena,Away,CALIFORNIA-DAVIS,ball-state,60,58
6,2010,The Pavilion,Home,CALIFORNIA-DAVIS,sacramento-state,57,59
7,2010,The Pavilion,Home,CALIFORNIA-DAVIS,Seattle,78,88
8,2010,Maples Pavilion,Away,CALIFORNIA-DAVIS,stanford,69,85
9,2010,Save Mart Center,Away,CALIFORNIA-DAVIS,fresno-state,57,68
10,2010,Clune Arena,Away,CALIFORNIA-DAVIS,air-force,57,69
11,2010,The Pavilion,Home,CALIFORNIA-DAVIS,Whittier,89,53
12,2010,The Pavilion,Home,CALIFORNIA-DAVIS,cal-state-fullerton,67,63
13,2010,The Pavilion,Home,CALIFORNIA-DAVIS,cal-state-northridge,85,73
14,2010,The Thunderdome,Away,CALIFORNIA-DAVIS,california-santa-barbara,47,68
15,2010,Robert A. Mott Gymnasium,Away,CALIFORNIA-DAVIS,cal-poly,69,72
16,2010,The Pavilion,Home,CALIFORNIA-DAVIS,california-irvine,79,77
17,2010,A.G. Spanos Center,Away,CALIFORNIA-DAVIS,pacific,61,77
18,2010,UCR Student Rec Center,Away,CALIFORNIA-DAVIS,california-riverside,60,50
19,2010,The Walter Pyramid,Away,CALIFORNIA-DAVIS,long-beach-state,58,80
20,2010,The Pavilion,Home,CALIFORNIA-DAVIS,cal-poly,83,63
21,2010,The Pavilion,Home,CALIFORNIA-DAVIS,california-santa-barbara,77,81
22,2010,The Pavilion,Home,CALIFORNIA-DAVIS,pacific,62,59
23,2010,Bren Events Center,Away,CALIFORNIA-DAVIS,california-irvine,67,69
24,2010,KeyArena,Away,CALIFORNIA-DAVIS,Seattle,56,81
25,2010,Taco Bell Arena,Away,CALIFORNIA-DAVIS,boise-state,82,74
26,2010,The Pavilion,Home,CALIFORNIA-DAVIS,long-beach-state,65,68
27,2010,The Pavilion,Home,CALIFORNIA-DAVIS,california-riverside,66,43
28,2010,The Matadome,Away,CALIFORNIA-DAVIS,cal-state-northridge,66,70
29,2010,Titan Gym,Away,CALIFORNIA-DAVIS,cal-state-fullerton,92,86
30,2010,Honda Center,Neutral,CALIFORNIA-DAVIS,cal-state-fullerton,68,65
31,2010,Honda Center,Neutral,CALIFORNIA-DAVIS,california-santa-barbara,62,76
