,year,arena,location,team,opponent,team_points,opponent_points
0,2010,Emil and Patricia Jones Convocation Center,Home,CHICAGO-STATE,Concordia (IL),81,61
1,2010,James H. Hilton Coliseum,Away,CHICAGO-STATE,iowa-state,50,72
2,2010,Emil and Patricia Jones Convocation Center,Home,CHICAGO-STATE,Trinity International (IL),102,84
3,2010,Emil and Patricia Jones Convocation Center,Home,CHICAGO-STATE,Saint Xavier (IL),82,66
4,2010,Emil and Patricia Jones Convocation Center,Home,CHICAGO-STATE,eastern-illinois,68,82
5,2010,Rose Arena,Away,CHICAGO-STATE,central-michigan,40,78
6,2010,Bob Devaney Sports Center,Away,CHICAGO-STATE,nebraska,39,74
7,2010,Stan Sheriff Center,Away,CHICAGO-STATE,hawaii,58,83
8,2010,Emil and Patricia Jones Convocation Center,Home,CHICAGO-STATE,Olivet Nazarene,68,75
9,2010,Donald W. Reynolds Center,Away,CHICAGO-STATE,tulsa,49,86
10,2010,Orleans Arena,Neutral,CHICAGO-STATE,eastern-washington,62,53
11,2010,Orleans Arena,Neutral,CHICAGO-STATE,wagner,78,63
12,2010,Pete Hanna Center,Away,CHICAGO-STATE,samford,46,63
13,2010,F. G. Clark Activity Center,Away,CHICAGO-STATE,southern,60,67
14,2010,Convocation Center,Away,CHICAGO-STATE,eastern-michigan,47,59
15,2010,Emil and Patricia Jones Convocation Center,Home,CHICAGO-STATE,northern-illinois,93,99
16,2010,McKay Events Center,Away,CHICAGO-STATE,utah-valley,43,48
17,2010,Frank and Lucille Sharp Gymnasium,Away,CHICAGO-STATE,Houston Baptist,56,66
18,2010,UTPA Fieldhouse,Away,CHICAGO-STATE,texas-pan-american,42,63
19,2010,McBrayer Arena,Away,CHICAGO-STATE,eastern-kentucky,50,74
20,2010,Prudential Center,Away,CHICAGO-STATE,njit,37,66
21,2010,Emil and Patricia Jones Convocation Center,Home,CHICAGO-STATE,utah-valley,43,41
22,2010,Emil and Patricia Jones Convocation Center,Home,CHICAGO-STATE,Houston Baptist,83,85
23,2010,Emil and Patricia Jones Convocation Center,Home,CHICAGO-STATE,texas-pan-american,76,69
24,2010,Calihan Hall,Away,CHICAGO-STATE,detroit-mercy,72,92
25,2010,DakotaDome,Away,CHICAGO-STATE,South Dakota,74,79
26,2010,Betty Engelstad Sioux Center,Away,CHICAGO-STATE,North Dakota,60,74
27,2010,Emil and Patricia Jones Convocation Center,Home,CHICAGO-STATE,North Dakota,71,61
28,2010,Emil and Patricia Jones Convocation Center,Home,CHICAGO-STATE,South Dakota,73,77
29,2010,Welsh-Ryan Arena,Away,CHICAGO-STATE,northwestern,49,72
30,2010,Emil and Patricia Jones Convocation Center,Home,CHICAGO-STATE,njit,81,77
31,2010,McKay Events Center,Neutral,CHICAGO-STATE,Houston Baptist,77,80
