,year,arena,location,team,opponent,team_points,opponent_points
0,2010,UIC Pavilion,Home,ILLINOIS-CHICAGO,Illinois-Springfield,72,59
1,2010,Rose Arena,Away,ILLINOIS-CHICAGO,central-michigan,48,67
2,2010,UIC Pavilion,Home,ILLINOIS-CHICAGO,illinois-state,65,69
3,2010,The SIU Arena,Away,ILLINOIS-CHICAGO,southern-illinois,64,74
4,2010,U.S. Cellular Arena,Away,ILLINOIS-CHICAGO,milwaukee,52,57
5,2010,Resch Center,Away,ILLINOIS-CHICAGO,green-bay,59,85
6,2010,Allstate Arena,Away,ILLINOIS-CHICAGO,depaul,56,77
7,2010,UIC Pavilion,Home,ILLINOIS-CHICAGO,oregon-state,63,61
8,2010,UIC Pavilion,Home,ILLINOIS-CHICAGO,northern-illinois,69,49
9,2010,James A. Rhodes Arena,Away,ILLINOIS-CHICAGO,akron,65,77
10,2010,Kohl Center,Away,ILLINOIS-CHICAGO,wisconsin,43,79
11,2010,UIC Pavilion,Home,ILLINOIS-CHICAGO,toledo,66,52
12,2010,UIC Pavilion,Home,ILLINOIS-CHICAGO,detroit-mercy,60,56
13,2010,UIC Pavilion,Home,ILLINOIS-CHICAGO,wright-state,47,64
14,2010,Beeghly Center,Away,ILLINOIS-CHICAGO,youngstown-state,67,76
15,2010,Henry J. Goodman Arena,Away,ILLINOIS-CHICAGO,cleveland-state,63,70
16,2010,UIC Pavilion,Home,ILLINOIS-CHICAGO,loyola-il,50,55
17,2010,UIC Pavilion,Home,ILLINOIS-CHICAGO,valparaiso,58,64
18,2010,UIC Pavilion,Home,ILLINOIS-CHICAGO,butler,55,84
19,2010,Ervin J. Nutter Center,Away,ILLINOIS-CHICAGO,wright-state,43,79
20,2010,Calihan Hall,Away,ILLINOIS-CHICAGO,detroit-mercy,73,76
21,2010,UIC Pavilion,Home,ILLINOIS-CHICAGO,cleveland-state,63,74
22,2010,UIC Pavilion,Home,ILLINOIS-CHICAGO,youngstown-state,74,68
23,2010,Athletics-Recreation Center,Away,ILLINOIS-CHICAGO,valparaiso,82,83
24,2010,Joseph J. Gentile Center,Away,ILLINOIS-CHICAGO,loyola-il,63,80
25,2010,Hinkle Fieldhouse,Away,ILLINOIS-CHICAGO,butler,55,73
26,2010,Roberts Stadium,Away,ILLINOIS-CHICAGO,evansville,82,80
27,2010,UIC Pavilion,Home,ILLINOIS-CHICAGO,green-bay,78,71
28,2010,UIC Pavilion,Home,ILLINOIS-CHICAGO,milwaukee,74,78
29,2010,U.S. Cellular Arena,Away,ILLINOIS-CHICAGO,milwaukee,67,73
