,year,arena,location,team,opponent,team_points,opponent_points
0,2010,Draddy Gymnasium,Home,MANHATTAN,njit,70,58
1,2010,Jadwin Gymnasium,Away,MANHATTAN,princeton,54,61
2,2010,Draddy Gymnasium,Home,MANHATTAN,william-mary,70,75
3,2010,Draddy Gymnasium,Home,MANHATTAN,florida-atlantic,73,66
4,2010,Bender Arena,Away,MANHATTAN,american,69,62
5,2010,Draddy Gymnasium,Home,MANHATTAN,fordham,68,44
6,2010,Gallagher Center,Away,MANHATTAN,niagara,64,88
7,2010,Koessler Athletic Center,Away,MANHATTAN,canisius,71,57
8,2010,Mack Sports Complex,Away,MANHATTAN,hofstra,39,44
9,2010,Hill Field House,Away,MANHATTAN,morgan-state,74,83
10,2010,Wellness Center,Away,MANHATTAN,long-island-university,71,61
11,2010,Memorial Gymnasium,Away,MANHATTAN,vanderbilt,48,86
12,2010,McCann Recreation Center,Away,MANHATTAN,marist,66,72
13,2010,Draddy Gymnasium,Home,MANHATTAN,rider,64,65
14,2010,Draddy Gymnasium,Home,MANHATTAN,saint-peters,76,53
15,2010,Arena at Harbor Yard,Away,MANHATTAN,fairfield,85,88
16,2010,Draddy Gymnasium,Home,MANHATTAN,canisius,61,63
17,2010,Times Union Center,Away,MANHATTAN,siena,68,83
18,2010,Draddy Gymnasium,Home,MANHATTAN,iona,53,56
19,2010,Draddy Gymnasium,Home,MANHATTAN,siena,58,66
20,2010,Alumni Gymnasium,Away,MANHATTAN,rider,71,74
21,2010,Yanitelli Center,Away,MANHATTAN,saint-peters,44,72
22,2010,Draddy Gymnasium,Home,MANHATTAN,marist,72,47
23,2010,Draddy Gymnasium,Home,MANHATTAN,loyola-md,56,62
24,2010,Hynes Athletics Center,Away,MANHATTAN,iona,66,60
25,2010,Draddy Gymnasium,Home,MANHATTAN,fairfield,56,74
26,2010,Draddy Gymnasium,Home,MANHATTAN,towson,78,62
27,2010,Draddy Gymnasium,Home,MANHATTAN,niagara,72,74
28,2010,Reitz Arena,Away,MANHATTAN,loyola-md,59,71
29,2010,Times Union Center,Neutral,MANHATTAN,loyola-md,94,79
30,2010,Times Union Center,Away,MANHATTAN,siena,61,78
