,year,arena,location,team,opponent,team_points,opponent_points
0,2010,Bradley Center,Home,MARQUETTE,centenary-la,85,62
1,2010,Bradley Center,Home,MARQUETTE,maryland-eastern-shore,86,60
2,2010,Bradley Center,Home,MARQUETTE,grambling,87,41
3,2010,Bradley Center,Home,MARQUETTE,South Dakota,93,68
4,2010,The Milk House,Neutral,MARQUETTE,xavier,71,61
5,2010,The Milk House,Neutral,MARQUETTE,michigan,79,65
6,2010,The Milk House,Neutral,MARQUETTE,florida-state,56,57
7,2010,Bradley Center,Home,MARQUETTE,north-carolina-state,73,77
8,2010,Bradley Center,Home,MARQUETTE,milwaukee,71,51
9,2010,Kohl Center,Away,MARQUETTE,wisconsin,63,72
10,2010,Bradley Center,Home,MARQUETTE,north-florida,78,51
11,2010,Bradley Center,Home,MARQUETTE,Presbyterian,102,62
12,2010,WVU Coliseum,Away,MARQUETTE,west-virginia,62,63
13,2010,Bradley Center,Home,MARQUETTE,villanova,72,74
14,2010,Bradley Center,Home,MARQUETTE,georgetown,62,59
15,2010,Wells Fargo Center,Away,MARQUETTE,villanova,76,78
16,2010,Bradley Center,Home,MARQUETTE,providence,93,63
17,2010,Allstate Arena,Away,MARQUETTE,depaul,50,51
18,2010,Carrier Dome,Away,MARQUETTE,syracuse,71,76
19,2010,Bradley Center,Home,MARQUETTE,rutgers,82,59
20,2010,Harry A. Gampel Pavilion,Away,MARQUETTE,connecticut,70,68
21,2010,Bradley Center,Home,MARQUETTE,depaul,80,69
22,2010,Dunkin' Donuts Center,Away,MARQUETTE,providence,82,79
23,2010,Bradley Center,Home,MARQUETTE,south-florida,63,52
24,2010,Bradley Center,Home,MARQUETTE,pittsburgh,51,58
25,2010,Fifth Third Arena,Away,MARQUETTE,cincinnati,79,76
26,2010,Madison Square Garden (IV),Away,MARQUETTE,st-johns-ny,63,61
27,2010,Prudential Center,Away,MARQUETTE,seton-hall,84,83
28,2010,Bradley Center,Home,MARQUETTE,louisville,69,48
29,2010,Bradley Center,Home,MARQUETTE,notre-dame,60,63
30,2010,Madison Square Garden (IV),Away,MARQUETTE,st-johns-ny,57,55
31,2010,Madison Square Garden (IV),Neutral,MARQUETTE,villanova,80,76
32,2010,Madison Square Garden (IV),Neutral,MARQUETTE,georgetown,57,80
33,2010,HP Pavillion,Neutral,MARQUETTE,washington,78,80
