,year,arena,location,team,opponent,team_points,opponent_points
0,2010,RAC Arena,Home,MARYLAND-BALTIMORE-COUNTY,morgan-state,57,72
1,2010,RAC Arena,Home,MARYLAND-BALTIMORE-COUNTY,loyola-md,66,69
2,2010,Charles E. Smith Center,Away,MARYLAND-BALTIMORE-COUNTY,george-washington,51,94
3,2010,RAC Arena,Home,MARYLAND-BALTIMORE-COUNTY,coppin-state,66,77
4,2010,JMU Convocation Center,Away,MARYLAND-BALTIMORE-COUNTY,james-madison,51,53
5,2010,Towson Center,Away,MARYLAND-BALTIMORE-COUNTY,towson,77,82
6,2010,John F. Savage Hall,Away,MARYLAND-BALTIMORE-COUNTY,toledo,67,76
7,2010,Bryce Jordan Center,Away,MARYLAND-BALTIMORE-COUNTY,penn-state,42,58
8,2010,RAC Arena,Home,MARYLAND-BALTIMORE-COUNTY,rider,67,79
9,2010,Bender Arena,Away,MARYLAND-BALTIMORE-COUNTY,american,59,57
10,2010,Cassell Coliseum,Away,MARYLAND-BALTIMORE-COUNTY,virginia-tech,34,71
11,2010,Detrick Gymnasium,Away,MARYLAND-BALTIMORE-COUNTY,central-connecticut-state,86,89
12,2010,Roy L. Patrick Gymnasium,Away,MARYLAND-BALTIMORE-COUNTY,vermont,58,73
13,2010,RAC Arena,Home,MARYLAND-BALTIMORE-COUNTY,pennsylvania,71,82
14,2010,Agganis Arena,Away,MARYLAND-BALTIMORE-COUNTY,boston-university,63,75
15,2010,RAC Arena,Home,MARYLAND-BALTIMORE-COUNTY,hartford,68,74
16,2010,SEFCU Arena,Away,MARYLAND-BALTIMORE-COUNTY,albany-ny,69,76
17,2010,Pritchard Gymnasium,Away,MARYLAND-BALTIMORE-COUNTY,stony-brook,69,81
18,2010,RAC Arena,Home,MARYLAND-BALTIMORE-COUNTY,new-hampshire,58,62
19,2010,RAC Arena,Home,MARYLAND-BALTIMORE-COUNTY,boston-university,61,79
20,2010,RAC Arena,Home,MARYLAND-BALTIMORE-COUNTY,binghamton,63,80
21,2010,Alfond Arena,Away,MARYLAND-BALTIMORE-COUNTY,maine,56,55
22,2010,RAC Arena,Home,MARYLAND-BALTIMORE-COUNTY,vermont,60,79
23,2010,RAC Arena,Home,MARYLAND-BALTIMORE-COUNTY,maine,63,84
24,2010,Chase Arena at Reich Family Pavilion,Away,MARYLAND-BALTIMORE-COUNTY,hartford,78,70
25,2010,RAC Arena,Home,MARYLAND-BALTIMORE-COUNTY,albany-ny,62,75
26,2010,RAC Arena,Home,MARYLAND-BALTIMORE-COUNTY,stony-brook,72,86
27,2010,Events Center,Away,MARYLAND-BALTIMORE-COUNTY,binghamton,61,81
28,2010,Lundholm Gymnasium,Away,MARYLAND-BALTIMORE-COUNTY,new-hampshire,79,50
29,2010,Chase Arena at Reich Family Pavilion,Neutral,MARYLAND-BALTIMORE-COUNTY,vermont,59,76
