,year,arena,location,team,opponent,team_points,opponent_points
0,2010,Crisler Arena,Home,MICHIGAN,Northern Michigan,97,50
1,2010,Crisler Arena,Home,MICHIGAN,Houston Baptist,77,55
2,2010,The Milk House,Neutral,MICHIGAN,creighton,83,76
3,2010,The Milk House,Neutral,MICHIGAN,marquette,65,79
4,2010,The Milk House,Neutral,MICHIGAN,alabama,66,68
5,2010,Crisler Arena,Home,MICHIGAN,boston-college,58,62
6,2010,Crisler Arena,Home,MICHIGAN,arkansas-pine-bluff,67,53
7,2010,Jon M. Huntsman Center,Away,MICHIGAN,utah,52,68
8,2010,Crisler Arena,Home,MICHIGAN,detroit-mercy,75,64
9,2010,Allen Fieldhouse,Away,MICHIGAN,kansas,64,75
10,2010,Crisler Arena,Home,MICHIGAN,coppin-state,76,46
11,2010,Assembly Hall,Away,MICHIGAN,indiana,65,71
12,2010,Crisler Arena,Home,MICHIGAN,ohio-state,73,64
13,2010,Bryce Jordan Center,Away,MICHIGAN,penn-state,64,55
14,2010,Crisler Arena,Home,MICHIGAN,northwestern,62,68
15,2010,Crisler Arena,Home,MICHIGAN,indiana,69,45
16,2010,Crisler Arena,Home,MICHIGAN,connecticut,68,63
17,2010,Kohl Center,Away,MICHIGAN,wisconsin,48,54
18,2010,Mackey Arena,Away,MICHIGAN,purdue,59,69
19,2010,Crisler Arena,Home,MICHIGAN,michigan-state,56,57
20,2010,Crisler Arena,Home,MICHIGAN,iowa,60,46
21,2010,Welsh-Ryan Arena,Away,MICHIGAN,northwestern,52,67
22,2010,Crisler Arena,Home,MICHIGAN,wisconsin,44,62
23,2010,Williams Arena,Away,MICHIGAN,minnesota,71,63
24,2010,Carver-Hawkeye Arena,Away,MICHIGAN,iowa,80,78
25,2010,Crisler Arena,Home,MICHIGAN,penn-state,51,55
26,2010,Crisler Arena,Home,MICHIGAN,illinois,44,51
27,2010,Value City Arena,Away,MICHIGAN,ohio-state,55,66
28,2010,Crisler Arena,Home,MICHIGAN,minnesota,83,55
29,2010,Breslin Events Center,Away,MICHIGAN,michigan-state,48,64
30,2010,Conseco Fieldhouse,Neutral,MICHIGAN,iowa,59,52
31,2010,Conseco Fieldhouse,Neutral,MICHIGAN,ohio-state,68,69
