,year,arena,location,team,opponent,team_points,opponent_points
0,2010,Prather Coliseum,Home,NORTHWESTERN-STATE,East Texas Baptist,77,54
1,2010,United Spirit Arena,Away,NORTHWESTERN-STATE,texas-tech,75,94
2,2010,Prather Coliseum,Home,NORTHWESTERN-STATE,Houston Baptist,92,61
3,2010,Assembly Hall,Away,NORTHWESTERN-STATE,indiana,72,90
4,2010,Gold Dome,Away,NORTHWESTERN-STATE,centenary-la,83,80
5,2010,Thomas Assembly Center,Away,NORTHWESTERN-STATE,louisiana-tech,70,98
6,2010,Prather Coliseum,Home,NORTHWESTERN-STATE,Louisiana State-Shreveport,83,73
7,2010,Maravich Assembly Center,Away,NORTHWESTERN-STATE,louisiana-state,62,73
8,2010,Prather Coliseum,Home,NORTHWESTERN-STATE,grambling,62,63
9,2010,Prather Coliseum,Home,NORTHWESTERN-STATE,Missouri Valley,77,68
10,2010,Stan Sheriff Center,Away,NORTHWESTERN-STATE,hawaii,62,81
11,2010,Reed Arena,Away,NORTHWESTERN-STATE,texas-am,63,89
12,2010,Prather Coliseum,Home,NORTHWESTERN-STATE,Southern-New Orleans,89,95
13,2010,David Stopher Gymnasium,Away,NORTHWESTERN-STATE,nicholls-state,72,79
14,2010,Prather Coliseum,Home,NORTHWESTERN-STATE,southeastern-louisiana,64,70
15,2010,American Bank Center,Away,NORTHWESTERN-STATE,texas-am-corpus-christi,83,98
16,2010,Prather Coliseum,Home,NORTHWESTERN-STATE,nicholls-state,99,98
17,2010,Prather Coliseum,Home,NORTHWESTERN-STATE,stephen-f-austin,56,66
18,2010,Jeff Farris Center,Away,NORTHWESTERN-STATE,Central Arkansas,74,68
19,2010,Prather Coliseum,Home,NORTHWESTERN-STATE,mcneese-state,85,92
20,2010,Texas Hall,Away,NORTHWESTERN-STATE,texas-arlington,80,81
21,2010,William Johnson Coliseum,Away,NORTHWESTERN-STATE,stephen-f-austin,59,69
22,2010,Prather Coliseum,Home,NORTHWESTERN-STATE,Central Arkansas,82,76
23,2010,Burton Coliseum,Away,NORTHWESTERN-STATE,mcneese-state,82,72
24,2010,Prather Coliseum,Home,NORTHWESTERN-STATE,lamar,82,79
25,2010,Convocation Center,Away,NORTHWESTERN-STATE,texas-san-antonio,74,88
26,2010,Prather Coliseum,Home,NORTHWESTERN-STATE,texas-state,75,89
27,2010,Prather Coliseum,Home,NORTHWESTERN-STATE,sam-houston-state,75,103
28,2010,University Center,Away,NORTHWESTERN-STATE,southeastern-louisiana,77,86
