,year,arena,location,team,opponent,team_points,opponent_points
0,2010,Carrier Dome,Home,SYRACUSE,albany-ny,75,43
1,2010,Carrier Dome,Home,SYRACUSE,robert-morris,100,60
2,2010,Madison Square Garden (IV),Neutral,SYRACUSE,california,95,73
3,2010,Madison Square Garden (IV),Neutral,SYRACUSE,north-carolina,87,71
4,2010,Carrier Dome,Home,SYRACUSE,cornell,88,73
5,2010,Carrier Dome,Home,SYRACUSE,columbia,85,60
6,2010,Carrier Dome,Home,SYRACUSE,colgate,92,58
7,2010,Carrier Dome,Home,SYRACUSE,maine,101,55
8,2010,St. Pete Times Forum,Neutral,SYRACUSE,florida,85,73
9,2010,Carrier Dome,Home,SYRACUSE,st-francis-ny,75,51
10,2010,Carrier Dome,Home,SYRACUSE,st-bonaventure,85,72
11,2010,Carrier Dome,Home,SYRACUSE,oakland,92,60
12,2010,Prudential Center,Away,SYRACUSE,seton-hall,80,73
13,2010,Carrier Dome,Home,SYRACUSE,pittsburgh,72,82
14,2010,Carrier Dome,Home,SYRACUSE,memphis,74,57
15,2010,Carrier Dome,Home,SYRACUSE,south-florida,82,65
16,2010,Louis Brown Athletic Center,Away,SYRACUSE,rutgers,81,65
17,2010,WVU Coliseum,Away,SYRACUSE,west-virginia,72,71
18,2010,Purcell Pavilion at the Joyce Center,Away,SYRACUSE,notre-dame,84,71
19,2010,Carrier Dome,Home,SYRACUSE,marquette,76,71
20,2010,Carrier Dome,Home,SYRACUSE,georgetown,73,56
21,2010,Allstate Arena,Away,SYRACUSE,depaul,59,57
22,2010,Carrier Dome,Home,SYRACUSE,providence,85,68
23,2010,Fifth Third Arena,Away,SYRACUSE,cincinnati,71,54
24,2010,Carrier Dome,Home,SYRACUSE,connecticut,72,67
25,2010,Carrier Dome,Home,SYRACUSE,louisville,60,66
26,2010,Verizon Center,Away,SYRACUSE,georgetown,75,71
27,2010,Dunkin' Donuts Center,Away,SYRACUSE,providence,99,85
28,2010,Carrier Dome,Home,SYRACUSE,villanova,95,77
29,2010,Carrier Dome,Home,SYRACUSE,st-johns-ny,85,66
30,2010,Freedom Hall,Away,SYRACUSE,louisville,68,78
31,2010,Madison Square Garden (IV),Neutral,SYRACUSE,georgetown,84,91
32,2010,,Neutral,SYRACUSE,vermont,79,56
33,2010,HSBC Arena,Neutral,SYRACUSE,gonzaga,87,65
34,2010,,Neutral,SYRACUSE,butler,59,63
