,year,arena,location,team,opponent,team_points,opponent_points
0,2010,Frank Erwin Center,Home,TEXAS,california-irvine,89,42
1,2010,Frank Erwin Center,Home,TEXAS,western-carolina,73,41
2,2010,Sprint Center,Neutral,TEXAS,iowa,85,60
3,2010,Sprint Center,Neutral,TEXAS,pittsburgh,78,62
4,2010,Tudor Fieldhouse,Away,TEXAS,rice,77,59
5,2010,Frank Erwin Center,Home,TEXAS,southern-california,69,50
6,2010,Frank Erwin Center,Home,TEXAS,long-beach-state,107,74
7,2010,Frank Erwin Center,Home,TEXAS,texas-state,87,54
8,2010,Frank Erwin Center,Home,TEXAS,texas-pan-american,104,42
9,2010,Cowboy's Stadium,Neutral,TEXAS,north-carolina,103,90
10,2010,Frank Erwin Center,Home,TEXAS,michigan-state,79,68
11,2010,Frank Erwin Center,Home,TEXAS,gardner-webb,95,63
12,2010,Frank Erwin Center,Home,TEXAS,texas-am-corpus-christi,76,70
13,2010,Bud Walton Arena,Away,TEXAS,arkansas,96,85
14,2010,Frank Erwin Center,Home,TEXAS,colorado,103,86
15,2010,James H. Hilton Coliseum,Away,TEXAS,iowa-state,90,83
16,2010,Frank Erwin Center,Home,TEXAS,texas-am,72,67
17,2010,Bramlage Coliseum,Away,TEXAS,kansas-state,62,71
18,2010,Harry A. Gampel Pavilion,Away,TEXAS,connecticut,74,88
19,2010,Frank Erwin Center,Home,TEXAS,texas-tech,95,83
20,2010,Frank Erwin Center,Home,TEXAS,baylor,77,80
21,2010,Gallagher-Iba Arena,Away,TEXAS,oklahoma-state,72,60
22,2010,Lloyd Noble Center,Away,TEXAS,oklahoma,71,80
23,2010,Frank Erwin Center,Home,TEXAS,kansas,68,80
24,2010,Frank Erwin Center,Home,TEXAS,nebraska,91,51
25,2010,Mizzou Arena,Away,TEXAS,missouri,77,82
26,2010,United Spirit Arena,Away,TEXAS,texas-tech,71,67
27,2010,Frank Erwin Center,Home,TEXAS,oklahoma-state,69,59
28,2010,Reed Arena,Away,TEXAS,texas-am,58,74
29,2010,Frank Erwin Center,Home,TEXAS,oklahoma,87,76
30,2010,Ferrell Center,Away,TEXAS,baylor,77,92
31,2010,Sprint Center,Neutral,TEXAS,iowa-state,82,75
32,2010,Sprint Center,Neutral,TEXAS,baylor,67,86
33,2010,New Orleans Arena,Neutral,TEXAS,wake-forest,80,81
