,year,arena,location,team,opponent,team_points,opponent_points
0,2010,WVU Coliseum,Home,WEST-VIRGINIA,loyola-md,83,60
1,2010,Charleston Civic Center,Neutral,WEST-VIRGINIA,citadel,69,50
2,2010,Anaheim Convention Center,Neutral,WEST-VIRGINIA,long-beach-state,85,62
3,2010,Anaheim Convention Center,Neutral,WEST-VIRGINIA,texas-am,73,66
4,2010,Anaheim Convention Center,Neutral,WEST-VIRGINIA,portland,84,66
5,2010,WVU Coliseum,Home,WEST-VIRGINIA,duquesne,68,39
6,2010,WVU Coliseum,Home,WEST-VIRGINIA,coppin-state,69,43
7,2010,Henry J. Goodman Arena,Away,WEST-VIRGINIA,cleveland-state,80,78
8,2010,WVU Coliseum,Home,WEST-VIRGINIA,mississippi,76,66
9,2010,Prudential Center,Away,WEST-VIRGINIA,seton-hall,90,84
10,2010,WVU Coliseum,Home,WEST-VIRGINIA,marquette,63,62
11,2010,Mackey Arena,Away,WEST-VIRGINIA,purdue,62,77
12,2010,WVU Coliseum,Home,WEST-VIRGINIA,rutgers,86,52
13,2010,Purcell Pavilion at the Joyce Center,Away,WEST-VIRGINIA,notre-dame,68,70
14,2010,Sun Dome,Away,WEST-VIRGINIA,south-florida,69,50
15,2010,WVU Coliseum,Home,WEST-VIRGINIA,syracuse,71,72
16,2010,Charleston Civic Center,Neutral,WEST-VIRGINIA,marshall,68,60
17,2010,WVU Coliseum,Home,WEST-VIRGINIA,ohio-state,71,65
18,2010,Allstate Arena,Away,WEST-VIRGINIA,depaul,62,46
19,2010,WVU Coliseum,Home,WEST-VIRGINIA,louisville,77,74
20,2010,WVU Coliseum,Home,WEST-VIRGINIA,pittsburgh,70,51
21,2010,Madison Square Garden (IV),Away,WEST-VIRGINIA,st-johns-ny,79,60
22,2010,WVU Coliseum,Home,WEST-VIRGINIA,villanova,75,82
23,2010,Petersen Events Center,Away,WEST-VIRGINIA,pittsburgh,95,98
24,2010,Dunkin' Donuts Center,Away,WEST-VIRGINIA,providence,88,74
25,2010,WVU Coliseum,Home,WEST-VIRGINIA,seton-hall,75,63
26,2010,XL Center,Away,WEST-VIRGINIA,connecticut,62,73
27,2010,WVU Coliseum,Home,WEST-VIRGINIA,cincinnati,74,68
28,2010,WVU Coliseum,Home,WEST-VIRGINIA,georgetown,81,68
29,2010,Wells Fargo Center,Away,WEST-VIRGINIA,villanova,68,66
30,2010,Madison Square Garden (IV),Neutral,WEST-VIRGINIA,cincinnati,54,51
31,2010,Madison Square Garden (IV),Neutral,WEST-VIRGINIA,notre-dame,53,51
32,2010,Madison Square Garden (IV),Neutral,WEST-VIRGINIA,georgetown,60,58
33,2010,HSBC Arena,Neutral,WEST-VIRGINIA,morgan-state,77,50
34,2010,HSBC Arena,Neutral,WEST-VIRGINIA,missouri,68,59
35,2010,Carrier Dome,Neutral,WEST-VIRGINIA,washington,69,56
36,2010,Carrier Dome,Neutral,WEST-VIRGINIA,kentucky,73,66
37,2010,,Neutral,WEST-VIRGINIA,duke,57,78
