,year,arena,location,team,opponent,team_points,opponent_points
0,2010,Charles Koch Arena,Home,WICHITA-STATE,fairleigh-dickinson,80,64
1,2010,Charles Koch Arena,Home,WICHITA-STATE,Arkansas-Monticello,79,50
2,2010,Sprint Center,Neutral,WICHITA-STATE,pittsburgh,55,68
3,2010,Sprint Center,Neutral,WICHITA-STATE,iowa,74,57
4,2010,Henry J. Goodman Arena,Away,WICHITA-STATE,cleveland-state,69,54
5,2010,Charles Koch Arena,Home,WICHITA-STATE,alcorn-state,87,52
6,2010,Charles Koch Arena,Home,WICHITA-STATE,texas-southern,74,43
7,2010,Charles Koch Arena,Home,WICHITA-STATE,South Carolina Upstate,72,45
8,2010,Municipal Auditorium,Away,WICHITA-STATE,missouri-kansas-city,73,52
9,2010,Charles Koch Arena,Home,WICHITA-STATE,texas-christian,80,68
10,2010,Charles Koch Arena,Home,WICHITA-STATE,texas-tech,85,83
11,2010,Charles Koch Arena,Home,WICHITA-STATE,north-dakota-state,69,57
12,2010,Redbird Arena,Away,WICHITA-STATE,illinois-state,57,72
13,2010,Charles Koch Arena,Home,WICHITA-STATE,drake,61,38
14,2010,Charles Koch Arena,Home,WICHITA-STATE,bradley,81,69
15,2010,JQH Arena,Away,WICHITA-STATE,missouri-state,65,62
16,2010,Charles Koch Arena,Home,WICHITA-STATE,creighton,70,58
17,2010,Hulman Center,Away,WICHITA-STATE,indiana-state,84,73
18,2010,Qwest Center OMAHA,Away,WICHITA-STATE,creighton,56,57
19,2010,Charles Koch Arena,Home,WICHITA-STATE,northern-iowa,60,51
20,2010,Knapp Center,Away,WICHITA-STATE,drake,64,78
21,2010,Charles Koch Arena,Home,WICHITA-STATE,illinois-state,74,66
22,2010,The SIU Arena,Away,WICHITA-STATE,southern-illinois,55,54
23,2010,McLeod Center,Away,WICHITA-STATE,northern-iowa,56,59
24,2010,Charles Koch Arena,Home,WICHITA-STATE,indiana-state,76,70
25,2010,Roberts Stadium,Away,WICHITA-STATE,evansville,62,65
26,2010,Charles Koch Arena,Home,WICHITA-STATE,missouri-state,66,64
27,2010,Charles Koch Arena,Home,WICHITA-STATE,evansville,76,70
28,2010,Dee Glen Smith Spectrum,Away,WICHITA-STATE,utah-state,58,68
29,2010,Carver Arena,Away,WICHITA-STATE,bradley,73,75
30,2010,Charles Koch Arena,Home,WICHITA-STATE,southern-illinois,76,55
31,2010,Scottrade Center,Neutral,WICHITA-STATE,missouri-state,73,63
32,2010,Scottrade Center,Neutral,WICHITA-STATE,illinois-state,65,61
33,2010,Scottrade Center,Neutral,WICHITA-STATE,northern-iowa,52,67
34,2010,Charles Koch Arena,Home,WICHITA-STATE,nevada,70,74
