,year,arena,location,team,opponent,team_points,opponent_points
0,2011,Rose Hill Gym,Away,BROWN,fordham,69,65
1,2011,Thomas M. Ryan Center,Away,BROWN,rhode-island,67,92
2,2011,Pizzitola Sports Center,Home,BROWN,sacred-heart,81,67
3,2011,Pizzitola Sports Center,Home,BROWN,st-francis-ny,67,63
4,2011,Lundholm Gymnasium,Away,BROWN,new-hampshire,66,70
5,2011,Chase Arena at Reich Family Pavilion,Away,BROWN,hartford,46,58
6,2011,Alfond Arena,Away,BROWN,maine,62,54
7,2011,Dunkin' Donuts Center,Away,BROWN,providence,64,91
8,2011,Pizzitola Sports Center,Home,BROWN,army,86,88
9,2011,Detrick Gymnasium,Away,BROWN,central-connecticut-state,51,67
10,2011,Pizzitola Sports Center,Home,BROWN,bryant,84,71
11,2011,Bender Arena,Away,BROWN,american,67,77
12,2011,Pizzitola Sports Center,Home,BROWN,Lyndon State,88,55
13,2011,Pizzitola Sports Center,Home,BROWN,yale,64,69
14,2011,Pizzitola Sports Center,Home,BROWN,quinnipiac,87,78
15,2011,John J. Lee Ampitheater,Away,BROWN,yale,51,59
16,2011,Jadwin Gymnasium,Away,BROWN,princeton,60,78
17,2011,The Palestra,Away,BROWN,pennsylvania,78,80
18,2011,Pizzitola Sports Center,Home,BROWN,columbia,87,79
19,2011,Pizzitola Sports Center,Home,BROWN,cornell,79,91
20,2011,Leede Arena,Away,BROWN,dartmouth,75,66
21,2011,Lavietes Pavilion,Away,BROWN,harvard,78,85
22,2011,Pizzitola Sports Center,Home,BROWN,pennsylvania,62,70
23,2011,Pizzitola Sports Center,Home,BROWN,princeton,75,65
24,2011,Pizzitola Sports Center,Home,BROWN,harvard,68,74
25,2011,Pizzitola Sports Center,Home,BROWN,dartmouth,100,76
26,2011,Newman Arena,Away,BROWN,cornell,66,75
27,2011,Levien Gym,Away,BROWN,columbia,74,91
