,year,arena,location,team,opponent,team_points,opponent_points
0,2011,Leavey Center,Away,CAL-STATE-BAKERSFIELD,santa-clara,77,82
1,2011,Hornets Nest,Away,CAL-STATE-BAKERSFIELD,sacramento-state,80,78
2,2011,Rabobank Arena,Home,CAL-STATE-BAKERSFIELD,southern-utah,58,66
3,2011,Firestone Fieldhouse,Away,CAL-STATE-BAKERSFIELD,pepperdine,66,64
4,2011,Rabobank Arena,Home,CAL-STATE-BAKERSFIELD,san-jose-state,82,77
5,2011,Titan Gym,Away,CAL-STATE-BAKERSFIELD,cal-state-fullerton,75,85
6,2011,Rabobank Arena,Home,CAL-STATE-BAKERSFIELD,northern-arizona,77,81
7,2011,Rabobank Arena,Home,CAL-STATE-BAKERSFIELD,san-francisco,77,69
8,2011,Rabobank Arena,Home,CAL-STATE-BAKERSFIELD,idaho-state,75,56
9,2011,Dee Glen Smith Spectrum,Away,CAL-STATE-BAKERSFIELD,utah-state,58,77
10,2011,Rabobank Arena,Home,CAL-STATE-BAKERSFIELD,portland-state,92,77
11,2011,Rabobank Arena,Home,CAL-STATE-BAKERSFIELD,cal-state-northridge,70,69
12,2011,Rabobank Arena,Home,CAL-STATE-BAKERSFIELD,california-riverside,89,80
13,2011,Rabobank Arena,Home,CAL-STATE-BAKERSFIELD,colorado,73,85
14,2011,The Pit/Bob King Court,Away,CAL-STATE-BAKERSFIELD,new-mexico,62,102
15,2011,A.G. Spanos Center,Away,CAL-STATE-BAKERSFIELD,pacific,46,79
16,2011,Rabobank Arena,Home,CAL-STATE-BAKERSFIELD,idaho,77,78
17,2011,Rabobank Arena,Home,CAL-STATE-BAKERSFIELD,california-irvine,73,76
18,2011,Jenny Craig Pavillion,Away,CAL-STATE-BAKERSFIELD,san-diego,65,76
19,2011,Rabobank Arena,Home,CAL-STATE-BAKERSFIELD,cal-state-fullerton,77,75
20,2011,Rabobank Arena,Home,CAL-STATE-BAKERSFIELD,cal-poly,61,77
21,2011,Centrum,Away,CAL-STATE-BAKERSFIELD,southern-utah,59,63
22,2011,Save Mart Center,Away,CAL-STATE-BAKERSFIELD,fresno-state,49,79
23,2011,Rabobank Arena,Home,CAL-STATE-BAKERSFIELD,fresno-state,55,73
24,2011,Willett Hall,Away,CAL-STATE-BAKERSFIELD,longwood,72,79
25,2011,Rabobank Arena,Home,CAL-STATE-BAKERSFIELD,seattle,54,73
26,2011,McCarthey Athletic Center,Away,CAL-STATE-BAKERSFIELD,gonzaga,49,96
27,2011,Taco Bell Arena,Away,CAL-STATE-BAKERSFIELD,boise-state,59,95
