,year,arena,location,team,opponent,team_points,opponent_points
0,2011,Stan Sheriff Center,Neutral,CENTRAL-MICHIGAN,cal-state-fullerton,70,67
1,2011,,Neutral,CENTRAL-MICHIGAN,montana-state,58,65
2,2011,,Away,CENTRAL-MICHIGAN,hawaii,62,65
3,2011,Mitchell Center,Away,CENTRAL-MICHIGAN,south-alabama,76,82
4,2011,UIC Pavilion,Away,CENTRAL-MICHIGAN,illinois-chicago,62,52
5,2011,Rose Arena,Home,CENTRAL-MICHIGAN,temple,53,65
6,2011,Allstate Arena,Away,CENTRAL-MICHIGAN,depaul,62,71
7,2011,Maravich Assembly Center,Away,CENTRAL-MICHIGAN,louisiana-state,55,59
8,2011,Rose Arena,Home,CENTRAL-MICHIGAN,wright-state,49,53
9,2011,Rose Arena,Home,CENTRAL-MICHIGAN,detroit-mercy,49,75
10,2011,Rose Arena,Home,CENTRAL-MICHIGAN,south-dakota-state,69,72
11,2011,Rose Arena,Home,CENTRAL-MICHIGAN,Cornerstone,63,60
12,2011,Thomas & Mack Center,Away,CENTRAL-MICHIGAN,nevada-las-vegas,47,73
13,2011,University Arena,Away,CENTRAL-MICHIGAN,western-michigan,56,63
14,2011,Rose Arena,Home,CENTRAL-MICHIGAN,toledo,65,52
15,2011,Worthen Arena,Away,CENTRAL-MICHIGAN,ball-state,55,64
16,2011,Rose Arena,Home,CENTRAL-MICHIGAN,northern-illinois,66,64
17,2011,Convocation Center,Away,CENTRAL-MICHIGAN,eastern-michigan,38,41
18,2011,Rose Arena,Home,CENTRAL-MICHIGAN,miami-oh,58,68
19,2011,James A. Rhodes Arena,Away,CENTRAL-MICHIGAN,akron,43,63
20,2011,Rose Arena,Home,CENTRAL-MICHIGAN,ohio,91,85
21,2011,Memorial Athletic & Convocation Center,Away,CENTRAL-MICHIGAN,kent-state,53,66
22,2011,Alumni Arena,Away,CENTRAL-MICHIGAN,buffalo,43,72
23,2011,Rose Arena,Home,CENTRAL-MICHIGAN,bowling-green-state,69,64
24,2011,Rose Arena,Home,CENTRAL-MICHIGAN,eastern-michigan,66,60
25,2011,Gallagher Center,Away,CENTRAL-MICHIGAN,niagara,55,61
26,2011,Convocation Center,Away,CENTRAL-MICHIGAN,northern-illinois,64,58
27,2011,Rose Arena,Home,CENTRAL-MICHIGAN,ball-state,58,65
28,2011,John F. Savage Hall,Away,CENTRAL-MICHIGAN,toledo,68,56
29,2011,Rose Arena,Home,CENTRAL-MICHIGAN,western-michigan,68,81
30,2011,Alumni Arena,Away,CENTRAL-MICHIGAN,buffalo,50,64
