,year,arena,location,team,opponent,team_points,opponent_points
0,2011,Rupp Arena,Away,EAST-TENNESSEE-STATE,kentucky,65,88
1,2011,Regional Special Events Center,Away,EAST-TENNESSEE-STATE,murray-state,39,50
2,2011,Memorial Center,Home,EAST-TENNESSEE-STATE,tennessee-tech,73,60
3,2011,Memorial Center,Home,EAST-TENNESSEE-STATE,Milligan,103,55
4,2011,University of Dayton Arena,Away,EAST-TENNESSEE-STATE,dayton,73,68
5,2011,G.B. Hodge Center,Away,EAST-TENNESSEE-STATE,south-carolina-upstate,59,60
6,2011,Carolina First Arena,Away,EAST-TENNESSEE-STATE,college-of-charleston,59,79
7,2011,Humphrey Coliseum,Away,EAST-TENNESSEE-STATE,mississippi-state,63,62
8,2011,C.M. Tad Smith Coliseum,Away,EAST-TENNESSEE-STATE,mississippi,50,71
9,2011,,Neutral,EAST-TENNESSEE-STATE,southern-mississippi,60,64
10,2011,Poliforum Benito Juarez,Neutral,EAST-TENNESSEE-STATE,northeastern,67,77
11,2011,Poliforum Benito Juarez,Neutral,EAST-TENNESSEE-STATE,appalachian-state,79,51
12,2011,Memorial Center,Home,EAST-TENNESSEE-STATE,campbell,72,59
13,2011,University Center,Away,EAST-TENNESSEE-STATE,mercer,62,61
14,2011,KSU Convocation Center,Away,EAST-TENNESSEE-STATE,kennesaw-state,80,69
15,2011,Memorial Center,Home,EAST-TENNESSEE-STATE,florida-gulf-coast,84,65
16,2011,Memorial Center,Home,EAST-TENNESSEE-STATE,stetson,62,42
17,2011,UNF Arena,Away,EAST-TENNESSEE-STATE,north-florida,66,61
18,2011,Jacksonville Veteran's Memorial Arena,Away,EAST-TENNESSEE-STATE,jacksonville,74,62
19,2011,Memorial Center,Home,EAST-TENNESSEE-STATE,lipscomb,68,67
20,2011,Memorial Center,Home,EAST-TENNESSEE-STATE,belmont,62,72
21,2011,Memorial Center,Home,EAST-TENNESSEE-STATE,south-carolina-upstate,67,52
22,2011,Memorial Center,Home,EAST-TENNESSEE-STATE,kennesaw-state,93,62
23,2011,Memorial Center,Home,EAST-TENNESSEE-STATE,mercer,82,75
24,2011,Alico Arena,Away,EAST-TENNESSEE-STATE,florida-gulf-coast,66,59
25,2011,Edmunds Center,Away,EAST-TENNESSEE-STATE,stetson,54,55
26,2011,Memorial Center,Home,EAST-TENNESSEE-STATE,jacksonville,80,64
27,2011,Memorial Center,Home,EAST-TENNESSEE-STATE,north-florida,80,57
28,2011,Curb Event Center,Away,EAST-TENNESSEE-STATE,belmont,58,68
29,2011,Allen Arena,Away,EAST-TENNESSEE-STATE,lipscomb,102,95
30,2011,John W. Pope Jr. Convocation Center,Away,EAST-TENNESSEE-STATE,campbell,66,59
31,2011,,Neutral,EAST-TENNESSEE-STATE,campbell,54,53
32,2011,University Center,Neutral,EAST-TENNESSEE-STATE,north-florida,55,59
33,2011,Memorial Center,Home,EAST-TENNESSEE-STATE,furman,76,63
34,2011,Memorial Center,Home,EAST-TENNESSEE-STATE,ohio,82,73
35,2011,Memorial Center,Home,EAST-TENNESSEE-STATE,iona,80,83
