,year,arena,location,team,opponent,team_points,opponent_points
0,2011,,Neutral,FAIRFIELD,sacred-heart,62,45
1,2011,Louis Brown Athletic Center,Away,FAIRFIELD,rutgers,53,68
2,2011,Bryce Jordan Center,Away,FAIRFIELD,penn-state,49,64
3,2011,Arena at Harbor Yard,Home,FAIRFIELD,saint-josephs,51,60
4,2011,,Neutral,FAIRFIELD,norfolk-state,91,56
5,2011,Tiger Arena,Away,FAIRFIELD,savannah-state,41,39
6,2011,Arena at Harbor Yard,Home,FAIRFIELD,loyola-md,65,55
7,2011,Arena at Harbor Yard,Home,FAIRFIELD,howard,72,52
8,2011,Times Union Center,Away,FAIRFIELD,siena,72,55
9,2011,Hart Recreation Center,Away,FAIRFIELD,holy-cross,71,60
10,2011,Arena at Harbor Yard,Home,FAIRFIELD,vermont,67,59
11,2011,Arena at Harbor Yard,Home,FAIRFIELD,army,68,61
12,2011,Arena at Harbor Yard,Home,FAIRFIELD,niagara,70,48
13,2011,McCann Recreation Center,Away,FAIRFIELD,marist,59,44
14,2011,Arena at Harbor Yard,Home,FAIRFIELD,saint-peters,70,43
15,2011,Reitz Arena,Away,FAIRFIELD,loyola-md,65,66
16,2011,Alumni Gymnasium,Away,FAIRFIELD,rider,65,57
17,2011,Koessler Athletic Center,Away,FAIRFIELD,canisius,67,60
18,2011,Gallagher Center,Away,FAIRFIELD,niagara,57,49
19,2011,Arena at Harbor Yard,Home,FAIRFIELD,manhattan,61,59
20,2011,Arena at Harbor Yard,Home,FAIRFIELD,canisius,70,55
21,2011,Arena at Harbor Yard,Home,FAIRFIELD,iona,75,71
22,2011,Arena at Harbor Yard,Home,FAIRFIELD,rider,87,96
23,2011,Draddy Gymnasium,Away,FAIRFIELD,manhattan,65,56
24,2011,Yanitelli Center,Away,FAIRFIELD,saint-peters,70,69
25,2011,Arena at Harbor Yard,Home,FAIRFIELD,marist,61,54
26,2011,Arena at Harbor Yard,Home,FAIRFIELD,austin-peay,76,69
27,2011,Arena at Harbor Yard,Home,FAIRFIELD,siena,68,55
28,2011,Hynes Athletics Center,Away,FAIRFIELD,iona,69,74
29,2011,Arena at Harbor Yard,Home,FAIRFIELD,marist,55,31
30,2011,Arena at Harbor Yard,Neutral,FAIRFIELD,saint-peters,48,62
31,2011,,Away,FAIRFIELD,colorado-state,62,60
32,2011,Arena at Harbor Yard,Home,FAIRFIELD,kent-state,68,72
