,year,arena,location,team,opponent,team_points,opponent_points
0,2011,Dale F. Halton Arena,Away,GARDNER-WEBB,charlotte,78,70
1,2011,Paul Porter Arena,Home,GARDNER-WEBB,Mary Washington,76,61
2,2011,Donald L. Tucker Center,Away,GARDNER-WEBB,florida-state,53,78
3,2011,Paul Porter Arena,Home,GARDNER-WEBB,Virginia Intermont,78,42
4,2011,Crisler Arena,Away,GARDNER-WEBB,michigan,58,80
5,2011,Kaplan Arena at William and Mary Hall,Away,GARDNER-WEBB,william-mary,55,56
6,2011,,Neutral,GARDNER-WEBB,western-carolina,71,65
7,2011,Kaplan Arena at William and Mary Hall,Neutral,GARDNER-WEBB,mercer,78,65
8,2011,Millis Center,Away,GARDNER-WEBB,high-point,64,66
9,2011,Donald N. Dedmon Center,Away,GARDNER-WEBB,radford,59,52
10,2011,Alumni Gym,Away,GARDNER-WEBB,elon,82,90
11,2011,Lloyd Noble Center,Away,GARDNER-WEBB,oklahoma,58,71
12,2011,Wells Fargo Arena,Away,GARDNER-WEBB,arizona-state,48,71
13,2011,KFC Yum! Center,Away,GARDNER-WEBB,louisville,49,78
14,2011,Paul Porter Arena,Home,GARDNER-WEBB,liberty,62,64
15,2011,Paul Porter Arena,Home,GARDNER-WEBB,virginia-military-institute,76,97
16,2011,Ross E.Templeton Center,Away,GARDNER-WEBB,presbyterian,44,78
17,2011,Winthrop Coliseum,Away,GARDNER-WEBB,winthrop,48,63
18,2011,Charlie Justice Center,Away,GARDNER-WEBB,north-carolina-asheville,59,68
19,2011,Paul Porter Arena,Home,GARDNER-WEBB,charleston-southern,58,50
20,2011,Paul Porter Arena,Home,GARDNER-WEBB,coastal-carolina,55,58
21,2011,Cameron Hall,Away,GARDNER-WEBB,virginia-military-institute,66,85
22,2011,Vines Center,Away,GARDNER-WEBB,liberty,51,67
23,2011,Paul Porter Arena,Home,GARDNER-WEBB,winthrop,57,60
24,2011,Paul Porter Arena,Home,GARDNER-WEBB,presbyterian,63,62
25,2011,Paul Porter Arena,Home,GARDNER-WEBB,north-carolina-asheville,54,57
26,2011,Kimbel Arena,Away,GARDNER-WEBB,coastal-carolina,59,57
27,2011,Eblen Center,Away,GARDNER-WEBB,tennessee-tech,58,60
28,2011,CSU Fieldhouse,Away,GARDNER-WEBB,charleston-southern,61,72
29,2011,Paul Porter Arena,Home,GARDNER-WEBB,radford,71,63
30,2011,Paul Porter Arena,Home,GARDNER-WEBB,high-point,64,40
31,2011,Kimbel Arena,Away,GARDNER-WEBB,coastal-carolina,72,83
