,year,arena,location,team,opponent,team_points,opponent_points
0,2011,United Spirit Arena,Away,LOUISIANA-MONROE,texas-tech,67,86
1,2011,Carver-Hawkeye Arena,Away,LOUISIANA-MONROE,iowa,40,68
2,2011,Fant-Ewing Coliseum,Home,LOUISIANA-MONROE,Southeastern Oklahoma State,70,59
3,2011,Fant-Ewing Coliseum,Home,LOUISIANA-MONROE,stephen-f-austin,64,65
4,2011,Redbird Arena,Neutral,LOUISIANA-MONROE,jacksonville-state,57,50
5,2011,Redbird Arena,Away,LOUISIANA-MONROE,illinois-state,55,59
6,2011,Redbird Arena,Neutral,LOUISIANA-MONROE,south-dakota,66,79
7,2011,Memorial Athletic & Convocation Center,Away,LOUISIANA-MONROE,kent-state,53,69
8,2011,Thomas Assembly Center,Away,LOUISIANA-MONROE,louisiana-tech,58,67
9,2011,Fant-Ewing Coliseum,Home,LOUISIANA-MONROE,centenary-la,60,46
10,2011,Don Haskins Center,Away,LOUISIANA-MONROE,texas-el-paso,49,79
11,2011,Fant-Ewing Coliseum,Home,LOUISIANA-MONROE,florida-atlantic,58,60
12,2011,Fant-Ewing Coliseum,Home,LOUISIANA-MONROE,northern-colorado,78,75
13,2011,William Johnson Coliseum,Away,LOUISIANA-MONROE,stephen-f-austin,36,60
14,2011,Fant-Ewing Coliseum,Home,LOUISIANA-MONROE,florida-international,72,73
15,2011,,Home,LOUISIANA-MONROE,Union (KY),87,66
16,2011,Fant-Ewing Coliseum,Home,LOUISIANA-MONROE,denver,57,66
17,2011,Jack Stephens Center,Away,LOUISIANA-MONROE,arkansas-little-rock,50,81
18,2011,Mitchell Center,Away,LOUISIANA-MONROE,south-alabama,67,65
19,2011,Fant-Ewing Coliseum,Home,LOUISIANA-MONROE,north-texas,62,79
20,2011,Cajundome,Away,LOUISIANA-MONROE,louisiana-lafayette,75,84
21,2011,Convocation Center,Away,LOUISIANA-MONROE,arkansas-state,61,62
22,2011,Fant-Ewing Coliseum,Home,LOUISIANA-MONROE,troy,68,74
23,2011,Murphy Athletic Center,Away,LOUISIANA-MONROE,middle-tennessee,54,60
24,2011,E.A. Diddle Arena,Away,LOUISIANA-MONROE,western-kentucky,61,81
25,2011,Fant-Ewing Coliseum,Home,LOUISIANA-MONROE,arkansas-state,66,85
26,2011,Fant-Ewing Coliseum,Home,LOUISIANA-MONROE,arkansas-little-rock,53,61
27,2011,Magness Arena,Away,LOUISIANA-MONROE,denver,37,65
28,2011,Super Pit,Away,LOUISIANA-MONROE,north-texas,82,75
29,2011,Fant-Ewing Coliseum,Home,LOUISIANA-MONROE,louisiana-lafayette,46,61
30,2011,,Neutral,LOUISIANA-MONROE,western-kentucky,50,66
