,year,arena,location,team,opponent,team_points,opponent_points
0,2011,Ellis T. Johnson Arena,Home,MOREHEAD-STATE,Asbury,90,49
1,2011,Ellis T. Johnson Arena,Home,MOREHEAD-STATE,north-carolina-at,84,61
2,2011,Trask Coliseum,Away,MOREHEAD-STATE,north-carolina-wilmington,58,60
3,2011,Stephen C. O'Connell Center,Away,MOREHEAD-STATE,florida,55,61
4,2011,Value City Arena,Away,MOREHEAD-STATE,ohio-state,45,64
5,2011,Sam Vadalabene Center,Away,MOREHEAD-STATE,southern-illinois-edwardsville,83,64
6,2011,Ellis T. Johnson Arena,Home,MOREHEAD-STATE,tennessee-martin,70,49
7,2011,Ellis T. Johnson Arena,Home,MOREHEAD-STATE,murray-state,75,65
8,2011,Ellis T. Johnson Arena,Home,MOREHEAD-STATE,St. Catharine,77,64
9,2011,McLeod Center,Away,MOREHEAD-STATE,northern-iowa,53,69
10,2011,Gentry Center Complex,Away,MOREHEAD-STATE,tennessee-state,64,70
11,2011,Winfield Dunn Center,Away,MOREHEAD-STATE,austin-peay,85,86
12,2011,Ellis T. Johnson Arena,Home,MOREHEAD-STATE,kent-state,76,59
13,2011,Ellis T. Johnson Arena,Home,MOREHEAD-STATE,binghamton,80,74
14,2011,Ellis T. Johnson Arena,Home,MOREHEAD-STATE,college-of-charleston,69,49
15,2011,Ellis T. Johnson Arena,Home,MOREHEAD-STATE,tennessee-tech,76,64
16,2011,Ellis T. Johnson Arena,Home,MOREHEAD-STATE,jacksonville-state,73,52
17,2011,Show Me Center,Away,MOREHEAD-STATE,southeast-missouri-state,76,63
18,2011,Lantz Arena,Away,MOREHEAD-STATE,eastern-illinois,40,47
19,2011,Ellis T. Johnson Arena,Home,MOREHEAD-STATE,eastern-kentucky,49,59
20,2011,Worthen Arena,Away,MOREHEAD-STATE,ball-state,50,48
21,2011,Ellis T. Johnson Arena,Home,MOREHEAD-STATE,tennessee-state,72,65
22,2011,Ellis T. Johnson Arena,Home,MOREHEAD-STATE,austin-peay,69,56
23,2011,Pete Mathews Coliseum,Away,MOREHEAD-STATE,jacksonville-state,78,72
24,2011,Eblen Center,Away,MOREHEAD-STATE,tennessee-tech,76,60
25,2011,Ellis T. Johnson Arena,Home,MOREHEAD-STATE,eastern-illinois,81,65
26,2011,Ellis T. Johnson Arena,Home,MOREHEAD-STATE,southeast-missouri-state,64,52
27,2011,McBrayer Arena,Away,MOREHEAD-STATE,eastern-kentucky,76,68
28,2011,Hulman Center,Away,MOREHEAD-STATE,indiana-state,71,65
29,2011,Regional Special Events Center,Away,MOREHEAD-STATE,murray-state,62,70
30,2011,Skyhawk Arena,Away,MOREHEAD-STATE,tennessee-martin,77,64
31,2011,,Neutral,MOREHEAD-STATE,austin-peay,68,49
32,2011,,Neutral,MOREHEAD-STATE,tennessee-tech,80,73
33,2011,The Pepsi Center,Neutral,MOREHEAD-STATE,louisville,62,61
34,2011,The Pepsi Center,Neutral,MOREHEAD-STATE,richmond,48,65
