,year,arena,location,team,opponent,team_points,opponent_points
0,2011,Convocation Center,Home,TEXAS-SAN-ANTONIO,Huston-Tillotson,82,65
1,2011,Roberts Stadium,Away,TEXAS-SAN-ANTONIO,evansville,73,77
2,2011,Convocation Center,Home,TEXAS-SAN-ANTONIO,Cameron,71,61
3,2011,Convocation Center,Home,TEXAS-SAN-ANTONIO,troy,81,70
4,2011,Convocation Center,Home,TEXAS-SAN-ANTONIO,san-jose-state,72,63
5,2011,UCR Student Rec Center,Away,TEXAS-SAN-ANTONIO,california-riverside,75,82
6,2011,Firestone Fieldhouse,Away,TEXAS-SAN-ANTONIO,pepperdine,86,81
7,2011,Hofheinz Pavilion,Away,TEXAS-SAN-ANTONIO,houston,68,63
8,2011,Convocation Center,Home,TEXAS-SAN-ANTONIO,samford,73,74
9,2011,Donald W. Reynolds Center,Away,TEXAS-SAN-ANTONIO,tulsa,67,92
10,2011,Anderson Arena,Away,TEXAS-SAN-ANTONIO,bowling-green-state,59,70
11,2011,Gallagher-Iba Arena,Away,TEXAS-SAN-ANTONIO,oklahoma-state,63,79
12,2011,Convocation Center,Home,TEXAS-SAN-ANTONIO,sam-houston-state,59,62
13,2011,American Bank Center,Away,TEXAS-SAN-ANTONIO,texas-am-corpus-christi,55,47
14,2011,Convocation Center,Home,TEXAS-SAN-ANTONIO,stephen-f-austin,59,68
15,2011,Prather Coliseum,Away,TEXAS-SAN-ANTONIO,northwestern-state,63,58
16,2011,Convocation Center,Home,TEXAS-SAN-ANTONIO,texas-state,88,84
17,2011,Convocation Center,Home,TEXAS-SAN-ANTONIO,Panhandle State,71,50
18,2011,Johnson Coliseum,Away,TEXAS-SAN-ANTONIO,sam-houston-state,67,88
19,2011,Convocation Center,Home,TEXAS-SAN-ANTONIO,texas-arlington,70,62
20,2011,Convocation Center,Home,TEXAS-SAN-ANTONIO,lamar,70,64
21,2011,University Center,Away,TEXAS-SAN-ANTONIO,southeastern-louisiana,73,79
22,2011,William Johnson Coliseum,Away,TEXAS-SAN-ANTONIO,stephen-f-austin,66,70
23,2011,Convocation Center,Home,TEXAS-SAN-ANTONIO,mcneese-state,65,61
24,2011,David Stopher Gymnasium,Away,TEXAS-SAN-ANTONIO,nicholls-state,52,54
25,2011,Convocation Center,Home,TEXAS-SAN-ANTONIO,texas-am-corpus-christi,71,62
26,2011,Strahan Coliseum,Away,TEXAS-SAN-ANTONIO,texas-state,80,82
27,2011,Convocation Center,Home,TEXAS-SAN-ANTONIO,central-arkansas,70,58
28,2011,Texas Hall,Away,TEXAS-SAN-ANTONIO,texas-arlington,68,63
29,2011,Leonard E. Merrell Center,Neutral,TEXAS-SAN-ANTONIO,northwestern-state,97,96
30,2011,Leonard E. Merrell Center,Neutral,TEXAS-SAN-ANTONIO,sam-houston-state,79,70
31,2011,Leonard E. Merrell Center,Neutral,TEXAS-SAN-ANTONIO,mcneese-state,75,72
32,2011,University of Dayton Arena,Neutral,TEXAS-SAN-ANTONIO,alabama-state,70,61
33,2011,,Neutral,TEXAS-SAN-ANTONIO,ohio-state,46,75
