,year,arena,location,team,opponent,team_points,opponent_points
0,2011,Knapp Center,Away,TEXAS-SOUTHERN,drake,46,60
1,2011,Charles Koch Arena,Away,TEXAS-SOUTHERN,wichita-state,67,79
2,2011,Lloyd Noble Center,Away,TEXAS-SOUTHERN,oklahoma,52,82
3,2011,Gill Coliseum,Away,TEXAS-SOUTHERN,oregon-state,66,60
4,2011,McArthur Court,Away,TEXAS-SOUTHERN,oregon,52,75
5,2011,Bramlage Coliseum,Away,TEXAS-SOUTHERN,kansas-state,60,84
6,2011,Health & Physical Education Arena,Home,TEXAS-SOUTHERN,north-texas,64,70
7,2011,James H. Hilton Coliseum,Away,TEXAS-SOUTHERN,iowa-state,54,65
8,2011,,Neutral,TEXAS-SOUTHERN,texas-state,78,64
9,2011,Bud Walton Arena,Away,TEXAS-SOUTHERN,arkansas,59,67
10,2011,Ferrell Center,Away,TEXAS-SOUTHERN,baylor,60,68
11,2011,F. G. Clark Activity Center,Away,TEXAS-SOUTHERN,southern,81,74
12,2011,Davey L. Whitney Complex,Away,TEXAS-SOUTHERN,alcorn-state,79,66
13,2011,William J. Nicks Building,Away,TEXAS-SOUTHERN,prairie-view,58,51
14,2011,Health & Physical Education Arena,Home,TEXAS-SOUTHERN,jackson-state,66,62
15,2011,Health & Physical Education Arena,Home,TEXAS-SOUTHERN,grambling,66,41
16,2011,K.L. Johnson HPER Complex,Away,TEXAS-SOUTHERN,arkansas-pine-bluff,50,43
17,2011,Harrison HPER Complex,Away,TEXAS-SOUTHERN,mississippi-valley-state,76,89
18,2011,Health & Physical Education Arena,Home,TEXAS-SOUTHERN,alabama-am,65,61
19,2011,Health & Physical Education Arena,Home,TEXAS-SOUTHERN,alabama-state,73,59
20,2011,Health & Physical Education Arena,Home,TEXAS-SOUTHERN,prairie-view,63,58
21,2011,Lee E. Williams Athletics and Assembly Center,Away,TEXAS-SOUTHERN,jackson-state,70,67
22,2011,HPER Complex,Away,TEXAS-SOUTHERN,grambling,51,49
23,2011,Health & Physical Education Arena,Home,TEXAS-SOUTHERN,arkansas-pine-bluff,71,68
24,2011,Health & Physical Education Arena,Home,TEXAS-SOUTHERN,mississippi-valley-state,58,55
25,2011,Elmore Health Science Building,Away,TEXAS-SOUTHERN,alabama-am,83,78
26,2011,ASU Acadome,Away,TEXAS-SOUTHERN,alabama-state,48,60
27,2011,Health & Physical Education Arena,Home,TEXAS-SOUTHERN,southern,71,63
28,2011,Health & Physical Education Arena,Home,TEXAS-SOUTHERN,alcorn-state,79,68
29,2011,,Neutral,TEXAS-SOUTHERN,arkansas-pine-bluff,50,45
30,2011,Curtis Culwell Center,Neutral,TEXAS-SOUTHERN,alabama-state,66,73
31,2011,Coors Events/Conference Center,Away,TEXAS-SOUTHERN,colorado,74,88
