,year,arena,location,team,opponent,team_points,opponent_points
0,2012,Murphy Athletic Center,Away,AUSTIN-PEAY,middle-tennessee,71,80
1,2012,Haas Pavilion,Away,AUSTIN-PEAY,california,55,72
2,2012,Mabee Center,Away,AUSTIN-PEAY,oral-roberts,59,71
3,2012,Stroh Center,Away,AUSTIN-PEAY,bowling-green-state,72,82
4,2012,Stroh Center,Neutral,AUSTIN-PEAY,george-washington,52,54
5,2012,Stroh Center,Neutral,AUSTIN-PEAY,detroit-mercy,93,94
6,2012,Winfield Dunn Center,Home,AUSTIN-PEAY,middle-tennessee,70,90
7,2012,Allen Arena,Away,AUSTIN-PEAY,lipscomb,59,67
8,2012,FedExForum,Away,AUSTIN-PEAY,memphis,60,91
9,2012,Winfield Dunn Center,Home,AUSTIN-PEAY,arkansas-state,86,82
10,2012,Thompson-Boling Arena,Away,AUSTIN-PEAY,tennessee,74,70
11,2012,Winfield Dunn Center,Home,AUSTIN-PEAY,Rochester (MI),72,50
12,2012,Winfield Dunn Center,Home,AUSTIN-PEAY,belmont,67,77
13,2012,McBrayer Arena,Away,AUSTIN-PEAY,eastern-kentucky,65,67
14,2012,Ellis T. Johnson Arena,Away,AUSTIN-PEAY,morehead-state,64,68
15,2012,Winfield Dunn Center,Home,AUSTIN-PEAY,murray-state,75,87
16,2012,Winfield Dunn Center,Home,AUSTIN-PEAY,eastern-kentucky,80,65
17,2012,Winfield Dunn Center,Home,AUSTIN-PEAY,jacksonville-state,60,57
18,2012,Winfield Dunn Center,Home,AUSTIN-PEAY,tennessee-state,69,63
19,2012,Sam Vadalabene Center,Away,AUSTIN-PEAY,southern-illinois-edwardsville,80,67
20,2012,Lantz Arena,Away,AUSTIN-PEAY,eastern-illinois,76,64
21,2012,Show Me Center,Away,AUSTIN-PEAY,southeast-missouri-state,60,65
22,2012,Winfield Dunn Center,Home,AUSTIN-PEAY,tennessee-martin,92,73
23,2012,Gentry Center Complex,Away,AUSTIN-PEAY,tennessee-state,57,77
24,2012,Winfield Dunn Center,Home,AUSTIN-PEAY,tennessee-tech,88,94
25,2012,Curb Event Center,Away,AUSTIN-PEAY,belmont,55,94
26,2012,Regional Special Events Center,Away,AUSTIN-PEAY,murray-state,63,82
27,2012,Winfield Dunn Center,Home,AUSTIN-PEAY,morehead-state,48,52
28,2012,Winfield Dunn Center,Home,AUSTIN-PEAY,youngstown-state,71,68
29,2012,Skyhawk Arena,Away,AUSTIN-PEAY,tennessee-martin,85,67
30,2012,Winfield Dunn Center,Home,AUSTIN-PEAY,southeast-missouri-state,68,59
31,2012,Nashville Municipal Auditorium,Neutral,AUSTIN-PEAY,jacksonville-state,70,75
