,year,arena,location,team,opponent,team_points,opponent_points
0,2012,Taco Bell Arena,Home,BOISE-STATE,Colorado Christian,95,44
1,2012,Taco Bell Arena,Home,BOISE-STATE,utah,80,59
2,2012,Taco Bell Arena,Home,BOISE-STATE,cal-state-northridge,103,61
3,2012,The Walter Pyramid,Away,BOISE-STATE,long-beach-state,62,72
4,2012,Taco Bell Arena,Home,BOISE-STATE,northern-illinois,71,57
5,2012,Taco Bell Arena,Home,BOISE-STATE,drake,108,64
6,2012,Taco Bell Arena,Home,BOISE-STATE,indiana-state,74,65
7,2012,Taco Bell Arena,Home,BOISE-STATE,idaho-state,79,55
8,2012,Taco Bell Arena,Home,BOISE-STATE,portland,92,70
9,2012,Maravich Assembly Center,Away,BOISE-STATE,louisiana-state,45,64
10,2012,Magness Arena,Away,BOISE-STATE,denver,62,79
11,2012,Taco Bell Arena,Home,BOISE-STATE,fresno-state,70,63
12,2012,Carver-Hawkeye Arena,Away,BOISE-STATE,iowa,72,81
13,2012,,Neutral,BOISE-STATE,idaho,76,73
14,2012,Save Mart Center,Away,BOISE-STATE,fresno-state,59,72
15,2012,Taco Bell Arena,Home,BOISE-STATE,air-force,59,74
16,2012,Moby Arena,Away,BOISE-STATE,colorado-state,55,66
17,2012,Daniel-Meyer Coliseum,Away,BOISE-STATE,texas-christian,52,54
18,2012,Taco Bell Arena,Home,BOISE-STATE,nevada-las-vegas,72,77
19,2012,Taco Bell Arena,Home,BOISE-STATE,wyoming,64,75
20,2012,Viejas Arena,Away,BOISE-STATE,san-diego-state,56,58
21,2012,Taco Bell Arena,Home,BOISE-STATE,new-mexico,49,65
22,2012,Clune Arena,Away,BOISE-STATE,air-force,72,61
23,2012,Taco Bell Arena,Home,BOISE-STATE,colorado-state,70,69
24,2012,Taco Bell Arena,Home,BOISE-STATE,texas-christian,65,64
25,2012,Thomas & Mack Center,Away,BOISE-STATE,nevada-las-vegas,58,75
26,2012,Arena-Auditorium,Away,BOISE-STATE,wyoming,54,64
27,2012,Taco Bell Arena,Home,BOISE-STATE,san-diego-state,53,66
28,2012,The Pit/Bob King Court,Away,BOISE-STATE,new-mexico,61,76
29,2012,Thomas & Mack Center,Neutral,BOISE-STATE,san-diego-state,62,65
