,year,arena,location,team,opponent,team_points,opponent_points
0,2012,Williams Arena,Away,BUCKNELL,minnesota,58,70
1,2012,Memorial Gymnasium,Away,BUCKNELL,vanderbilt,68,80
2,2012,Sojka Pavilion,Home,BUCKNELL,saint-francis-pa,73,42
3,2012,McCann Recreation Center,Away,BUCKNELL,marist,74,68
4,2012,Sojka Pavilion,Home,BUCKNELL,princeton,62,56
5,2012,Sojka Pavilion,Home,BUCKNELL,West Alabama,87,50
6,2012,Sojka Pavilion,Home,BUCKNELL,morehead-state,54,50
7,2012,Patriot Center,Away,BUCKNELL,george-mason,57,61
8,2012,Tom Gola Arena,Away,BUCKNELL,la-salle,52,78
9,2012,Events Center,Away,BUCKNELL,binghamton,77,63
10,2012,Sojka Pavilion,Home,BUCKNELL,richmond,79,65
11,2012,Carrier Dome,Away,BUCKNELL,syracuse,61,80
12,2012,Agganis Arena,Away,BUCKNELL,boston-university,75,61
13,2012,Sojka Pavilion,Home,BUCKNELL,loyola-md,67,72
14,2012,Sojka Pavilion,Home,BUCKNELL,cornell,63,60
15,2012,Leede Arena,Away,BUCKNELL,dartmouth,67,59
16,2012,Christl Arena,Away,BUCKNELL,army,75,59
17,2012,Sojka Pavilion,Home,BUCKNELL,colgate,70,57
18,2012,Kirby Sports Center,Away,BUCKNELL,lafayette,79,65
19,2012,Stabler Arena,Away,BUCKNELL,lehigh,68,61
20,2012,Sojka Pavilion,Home,BUCKNELL,holy-cross,75,41
21,2012,Sojka Pavilion,Home,BUCKNELL,american,67,61
22,2012,Alumni Hall,Away,BUCKNELL,navy,66,51
23,2012,Sojka Pavilion,Home,BUCKNELL,army,81,68
24,2012,Cotterell Court,Away,BUCKNELL,colgate,66,50
25,2012,Sojka Pavilion,Home,BUCKNELL,lafayette,90,78
26,2012,Sojka Pavilion,Home,BUCKNELL,lehigh,53,56
27,2012,Hart Recreation Center,Away,BUCKNELL,holy-cross,52,54
28,2012,Bender Arena,Away,BUCKNELL,american,55,50
29,2012,Sojka Pavilion,Home,BUCKNELL,navy,64,55
30,2012,Sojka Pavilion,Home,BUCKNELL,navy,87,63
31,2012,Sojka Pavilion,Home,BUCKNELL,lafayette,79,52
32,2012,Sojka Pavilion,Home,BUCKNELL,lehigh,77,82
33,2012,McKale Center,Away,BUCKNELL,arizona,65,54
34,2012,Lawlor Events Center,Away,BUCKNELL,nevada,67,75
