,year,arena,location,team,opponent,team_points,opponent_points
0,2012,Hofheinz Pavilion,Home,HOUSTON,grambling,88,42
1,2012,Hofheinz Pavilion,Home,HOUSTON,utah-valley,84,71
2,2012,Alltel Arena,Neutral,HOUSTON,arkansas,87,78
3,2012,Hofheinz Pavilion,Home,HOUSTON,oakland,74,76
4,2012,Hofheinz Pavilion,Home,HOUSTON,texas-christian,80,81
5,2012,Hofheinz Pavilion,Home,HOUSTON,louisiana-state,58,59
6,2012,Hofheinz Pavilion,Home,HOUSTON,texas-am-corpus-christi,87,66
7,2012,Strahan Coliseum,Away,HOUSTON,texas-state,78,81
8,2012,,Neutral,HOUSTON,oklahoma,74,79
9,2012,Hofheinz Pavilion,Home,HOUSTON,texas-san-antonio,77,75
10,2012,Hofheinz Pavilion,Home,HOUSTON,Rogers State,90,80
11,2012,Hofheinz Pavilion,Home,HOUSTON,north-carolina-at,71,67
12,2012,Hofheinz Pavilion,Home,HOUSTON,texas-state,94,71
13,2012,Hofheinz Pavilion,Home,HOUSTON,tulsa,70,69
14,2012,Don Haskins Center,Away,HOUSTON,texas-el-paso,50,70
15,2012,New UCF Arena,Away,HOUSTON,central-florida,63,74
16,2012,Hofheinz Pavilion,Home,HOUSTON,memphis,55,89
17,2012,Moody Coliseum,Away,HOUSTON,southern-methodist,54,70
18,2012,Hofheinz Pavilion,Home,HOUSTON,east-carolina,82,76
19,2012,Hofheinz Pavilion,Home,HOUSTON,texas-el-paso,81,76
20,2012,Bartow Arena,Away,HOUSTON,alabama-birmingham,69,80
21,2012,Avron B. Fogelman Arena,Away,HOUSTON,tulane,54,75
22,2012,Hofheinz Pavilion,Home,HOUSTON,rice,71,79
23,2012,Donald W. Reynolds Center,Away,HOUSTON,tulsa,48,72
24,2012,Hofheinz Pavilion,Home,HOUSTON,southern-mississippi,73,71
25,2012,Henderson Center,Away,HOUSTON,marshall,58,66
26,2012,Hofheinz Pavilion,Home,HOUSTON,southern-methodist,62,59
27,2012,Hofheinz Pavilion,Home,HOUSTON,tulane,82,53
28,2012,Tudor Fieldhouse,Away,HOUSTON,rice,76,75
29,2012,FedExForum,Neutral,HOUSTON,texas-el-paso,62,67
