,year,arena,location,team,opponent,team_points,opponent_points
0,2012,The Walter Pyramid,Home,LONG-BEACH-STATE,idaho,69,61
1,2012,Petersen Events Center,Away,LONG-BEACH-STATE,pittsburgh,86,76
2,2012,Viejas Arena,Away,LONG-BEACH-STATE,san-diego-state,73,77
3,2012,The Walter Pyramid,Home,LONG-BEACH-STATE,boise-state,72,62
4,2012,Adams Center/Dahlberg Arena,Away,LONG-BEACH-STATE,montana,71,73
5,2012,KFC Yum! Center,Away,LONG-BEACH-STATE,louisville,66,79
6,2012,The Walter Pyramid,Home,LONG-BEACH-STATE,Brigham Young-Hawaii,79,43
7,2012,Allen Fieldhouse,Away,LONG-BEACH-STATE,kansas,80,88
8,2012,Dean Smith Center,Away,LONG-BEACH-STATE,north-carolina,78,84
9,2012,The Walter Pyramid,Home,LONG-BEACH-STATE,Eastern New Mexico,76,54
10,2012,,Neutral,LONG-BEACH-STATE,xavier,68,58
11,2012,Stan Sheriff Center,Neutral,LONG-BEACH-STATE,auburn,64,43
12,2012,,Neutral,LONG-BEACH-STATE,kansas-state,60,77
13,2012,Bren Events Center,Away,LONG-BEACH-STATE,california-irvine,74,60
14,2012,The Walter Pyramid,Home,LONG-BEACH-STATE,cal-poly,55,50
15,2012,The Matadome,Away,LONG-BEACH-STATE,cal-state-northridge,81,68
16,2012,The Walter Pyramid,Home,LONG-BEACH-STATE,california-davis,86,58
17,2012,The Walter Pyramid,Home,LONG-BEACH-STATE,pacific,76,66
18,2012,Robert A. Mott Gymnasium,Away,LONG-BEACH-STATE,cal-poly,78,69
19,2012,The Thunderdome,Away,LONG-BEACH-STATE,california-santa-barbara,71,48
20,2012,UCR Student Rec Center,Away,LONG-BEACH-STATE,california-riverside,77,70
21,2012,The Walter Pyramid,Home,LONG-BEACH-STATE,cal-state-fullerton,75,61
22,2012,The Walter Pyramid,Home,LONG-BEACH-STATE,cal-state-northridge,75,67
23,2012,A.G. Spanos Center,Away,LONG-BEACH-STATE,pacific,74,66
24,2012,The Pavilion,Away,LONG-BEACH-STATE,california-davis,89,69
25,2012,Qwest Center OMAHA,Away,LONG-BEACH-STATE,creighton,79,81
26,2012,The Walter Pyramid,Home,LONG-BEACH-STATE,california-santa-barbara,70,58
27,2012,The Walter Pyramid,Home,LONG-BEACH-STATE,california-riverside,64,40
28,2012,The Walter Pyramid,Home,LONG-BEACH-STATE,california-irvine,77,50
29,2012,Titan Gym,Away,LONG-BEACH-STATE,cal-state-fullerton,74,77
30,2012,Honda Center,Neutral,LONG-BEACH-STATE,california-davis,80,46
31,2012,Honda Center,Neutral,LONG-BEACH-STATE,california-irvine,68,57
32,2012,Honda Center,Neutral,LONG-BEACH-STATE,california-santa-barbara,77,64
33,2012,Rose Garden Arena,Neutral,LONG-BEACH-STATE,new-mexico,68,75
