,year,arena,location,team,opponent,team_points,opponent_points
0,2012,Henderson Center,Home,MARSHALL,alabama-state,67,49
1,2012,Henderson Center,Home,MARSHALL,jacksonville-state,58,44
2,2012,Henderson Center,Home,MARSHALL,northwestern-state,83,61
3,2012,Trask Coliseum,Away,MARSHALL,north-carolina-wilmington,69,64
4,2012,Fifth Third Arena,Away,MARSHALL,cincinnati,73,69
5,2012,Henderson Center,Home,MARSHALL,ohio,68,70
6,2012,Carrier Dome,Away,MARSHALL,syracuse,56,62
7,2012,Henderson Center,Home,MARSHALL,iona,82,63
8,2012,Henderson Center,Home,MARSHALL,high-point,79,59
9,2012,Henderson Center,Home,MARSHALL,belmont,87,86
10,2012,Henderson Center,Home,MARSHALL,West Virginia Tech,99,80
11,2012,Curb Event Center,Away,MARSHALL,belmont,74,79
12,2012,Henderson Center,Home,MARSHALL,akron,51,67
13,2012,Henderson Center,Home,MARSHALL,texas-el-paso,76,60
14,2012,Tudor Fieldhouse,Away,MARSHALL,rice,63,61
15,2012,Bartow Arena,Away,MARSHALL,alabama-birmingham,61,59
16,2012,Henderson Center,Home,MARSHALL,central-florida,65,64
17,2012,Charleston Civic Center,Neutral,MARSHALL,west-virginia,62,78
18,2012,Reed Green Coliseum,Away,MARSHALL,southern-mississippi,63,67
19,2012,,Neutral,MARSHALL,alabama-birmingham,49,56
20,2012,FedExForum,Away,MARSHALL,memphis,76,83
21,2012,Henderson Center,Home,MARSHALL,tulane,63,44
22,2012,Donald W. Reynolds Center,Away,MARSHALL,tulsa,70,79
23,2012,New UCF Arena,Away,MARSHALL,central-florida,60,67
24,2012,Henderson Center,Home,MARSHALL,east-carolina,78,68
25,2012,Moody Coliseum,Away,MARSHALL,southern-methodist,73,68
26,2012,Henderson Center,Home,MARSHALL,houston,66,58
27,2012,Henderson Center,Home,MARSHALL,memphis,67,87
28,2012,Williams Arena at Minges Coliseum,Away,MARSHALL,east-carolina,68,69
29,2012,Henderson Center,Home,MARSHALL,southern-mississippi,79,75
30,2012,,Neutral,MARSHALL,southern-methodist,74,56
31,2012,,Neutral,MARSHALL,tulsa,105,100
32,2012,,Neutral,MARSHALL,southern-mississippi,73,62
33,2012,FedExForum,Away,MARSHALL,memphis,57,83
34,2012,Murphy Athletic Center,Away,MARSHALL,middle-tennessee,78,86
