,year,arena,location,team,opponent,team_points,opponent_points
0,2012,Gallagher Center,Home,NIAGARA,central-connecticut-state,102,93
1,2012,Mizzou Arena,Away,NIAGARA,missouri,52,83
2,2012,University Center,Neutral,NIAGARA,south-dakota-state,71,79
3,2012,University Center,Away,NIAGARA,mercer,55,74
4,2012,University Center,Neutral,NIAGARA,sam-houston-state,59,52
5,2012,Maurice Stokes Athletic Center,Away,NIAGARA,saint-francis-pa,65,63
6,2012,Gallagher Center,Home,NIAGARA,fairfield,75,79
7,2012,Gallagher Center,Home,NIAGARA,iona,62,98
8,2012,Gallagher Center,Home,NIAGARA,buffalo,74,82
9,2012,Chase Arena at Reich Family Pavilion,Away,NIAGARA,hartford,79,76
10,2012,Gallagher Center,Home,NIAGARA,drexel,58,71
11,2012,TD Bank Sports Center,Away,NIAGARA,quinnipiac,81,85
12,2012,Gallagher Center,Home,NIAGARA,maryland-baltimore-county,92,75
13,2012,Gallagher Center,Home,NIAGARA,st-bonaventure,70,72
14,2012,Reitz Arena,Away,NIAGARA,loyola-md,66,61
15,2012,Hynes Athletics Center,Away,NIAGARA,iona,61,73
16,2012,Times Union Center,Away,NIAGARA,siena,60,72
17,2012,Gallagher Center,Home,NIAGARA,saint-peters,85,73
18,2012,Gallagher Center,Home,NIAGARA,marist,86,67
19,2012,Koessler Athletic Center,Away,NIAGARA,canisius,75,56
20,2012,Draddy Gymnasium,Away,NIAGARA,manhattan,64,71
21,2012,Gallagher Center,Home,NIAGARA,loyola-md,57,69
22,2012,Gallagher Center,Home,NIAGARA,manhattan,70,87
23,2012,Arena at Harbor Yard,Away,NIAGARA,fairfield,69,77
24,2012,Alumni Gymnasium,Away,NIAGARA,rider,73,74
25,2012,Gallagher Center,Home,NIAGARA,siena,58,54
26,2012,Gallagher Center,Home,NIAGARA,rider,84,82
27,2012,Gallagher Center,Home,NIAGARA,canisius,60,57
28,2012,Roy L. Patrick Gymnasium,Away,NIAGARA,vermont,70,92
29,2012,Yanitelli Center,Away,NIAGARA,saint-peters,59,56
30,2012,McCann Recreation Center,Away,NIAGARA,marist,77,89
31,2012,MassMutual Center,Neutral,NIAGARA,canisius,80,70
32,2012,,Neutral,NIAGARA,loyola-md,73,86
