,year,arena,location,team,opponent,team_points,opponent_points
0,2012,USS Carl Vinson,Neutral,NORTH-CAROLINA,michigan-state,67,55
1,2012,Kimmel Arena,Away,NORTH-CAROLINA,north-carolina-asheville,91,75
2,2012,Dean Smith Center,Home,NORTH-CAROLINA,mississippi-valley-state,101,75
3,2012,Dean Smith Center,Home,NORTH-CAROLINA,tennessee-state,102,69
4,2012,,Neutral,NORTH-CAROLINA,south-carolina,87,62
5,2012,Orleans Arena,Neutral,NORTH-CAROLINA,nevada-las-vegas,80,90
6,2012,Dean Smith Center,Home,NORTH-CAROLINA,wisconsin,60,57
7,2012,Rupp Arena,Away,NORTH-CAROLINA,kentucky,72,73
8,2012,Dean Smith Center,Home,NORTH-CAROLINA,evansville,97,48
9,2012,Dean Smith Center,Home,NORTH-CAROLINA,long-beach-state,84,78
10,2012,Dean Smith Center,Home,NORTH-CAROLINA,appalachian-state,97,82
11,2012,Dean Smith Center,Home,NORTH-CAROLINA,nicholls-state,99,49
12,2012,Dean Smith Center,Home,NORTH-CAROLINA,texas,82,63
13,2012,Dean Smith Center,Home,NORTH-CAROLINA,elon,100,62
14,2012,Dean Smith Center,Home,NORTH-CAROLINA,monmouth,102,65
15,2012,Dean Smith Center,Home,NORTH-CAROLINA,boston-college,83,60
16,2012,Dean Smith Center,Home,NORTH-CAROLINA,miami-fl,73,56
17,2012,Donald L. Tucker Center,Away,NORTH-CAROLINA,florida-state,57,90
18,2012,Cassell Coliseum,Away,NORTH-CAROLINA,virginia-tech,82,68
19,2012,Dean Smith Center,Home,NORTH-CAROLINA,north-carolina-state,74,55
20,2012,Dean Smith Center,Home,NORTH-CAROLINA,georgia-tech,93,81
21,2012,Lawrence Joel Coliseum,Away,NORTH-CAROLINA,wake-forest,68,53
22,2012,Comcast Center,Away,NORTH-CAROLINA,maryland,83,74
23,2012,Dean Smith Center,Home,NORTH-CAROLINA,duke,84,85
24,2012,Dean Smith Center,Home,NORTH-CAROLINA,virginia,70,52
25,2012,BankUnited Center,Away,NORTH-CAROLINA,miami-fl,73,64
26,2012,Dean Smith Center,Home,NORTH-CAROLINA,clemson,74,52
27,2012,RBC Center,Away,NORTH-CAROLINA,north-carolina-state,86,74
28,2012,John Paul Jones Arena,Away,NORTH-CAROLINA,virginia,54,51
29,2012,Dean Smith Center,Home,NORTH-CAROLINA,maryland,88,64
30,2012,Cameron Indoor Stadium,Away,NORTH-CAROLINA,duke,88,70
31,2012,Philips Arena,Neutral,NORTH-CAROLINA,maryland,85,69
32,2012,,Neutral,NORTH-CAROLINA,north-carolina-state,69,67
33,2012,,Neutral,NORTH-CAROLINA,florida-state,82,85
34,2012,Greensboro Coliseum,Neutral,NORTH-CAROLINA,vermont,77,58
35,2012,,Neutral,NORTH-CAROLINA,creighton,87,73
36,2012,,Neutral,NORTH-CAROLINA,ohio,73,65
37,2012,,Neutral,NORTH-CAROLINA,kansas,67,80
