,year,arena,location,team,opponent,team_points,opponent_points
0,2012,Gallagher-Iba Arena,Home,OKLAHOMA-STATE,texas-am-corpus-christi,71,39
1,2012,Gallagher-Iba Arena,Home,OKLAHOMA-STATE,arkansas-pine-bluff,73,46
2,2012,Gallagher-Iba Arena,Home,OKLAHOMA-STATE,texas-san-antonio,90,85
3,2012,Madison Square Garden (IV),Neutral,OKLAHOMA-STATE,stanford,67,82
4,2012,Madison Square Garden (IV),Neutral,OKLAHOMA-STATE,virginia-tech,57,59
5,2012,Gallagher-Iba Arena,Home,OKLAHOMA-STATE,tulsa,59,56
6,2012,Gallagher-Iba Arena,Home,OKLAHOMA-STATE,Langston,80,58
7,2012,JQH Arena,Away,OKLAHOMA-STATE,missouri-state,72,67
8,2012,Madison Square Garden (IV),Neutral,OKLAHOMA-STATE,pittsburgh,68,74
9,2012,,Neutral,OKLAHOMA-STATE,new-mexico,56,66
10,2012,Birmingham-Jefferson Civic Center,Neutral,OKLAHOMA-STATE,alabama,52,69
11,2012,,Neutral,OKLAHOMA-STATE,southern-methodist,68,58
12,2012,Gallagher-Iba Arena,Home,OKLAHOMA-STATE,virginia-tech,61,67
13,2012,Gallagher-Iba Arena,Home,OKLAHOMA-STATE,texas-tech,67,59
14,2012,Frank Erwin Center,Away,OKLAHOMA-STATE,texas,49,58
15,2012,Gallagher-Iba Arena,Home,OKLAHOMA-STATE,oklahoma,72,65
16,2012,Ferrell Center,Away,OKLAHOMA-STATE,baylor,65,106
17,2012,James H. Hilton Coliseum,Away,OKLAHOMA-STATE,iowa-state,68,71
18,2012,Gallagher-Iba Arena,Home,OKLAHOMA-STATE,kansas-state,58,66
19,2012,Gallagher-Iba Arena,Home,OKLAHOMA-STATE,missouri,79,72
20,2012,Reed Arena,Away,OKLAHOMA-STATE,texas-am,61,76
21,2012,United Spirit Arena,Away,OKLAHOMA-STATE,texas-tech,80,63
22,2012,Gallagher-Iba Arena,Home,OKLAHOMA-STATE,baylor,60,64
23,2012,Gallagher-Iba Arena,Home,OKLAHOMA-STATE,iowa-state,69,67
24,2012,Allen Fieldhouse,Away,OKLAHOMA-STATE,kansas,66,81
25,2012,Mizzou Arena,Away,OKLAHOMA-STATE,missouri,65,83
26,2012,Gallagher-Iba Arena,Home,OKLAHOMA-STATE,texas,90,78
27,2012,Lloyd Noble Center,Away,OKLAHOMA-STATE,oklahoma,64,77
28,2012,Gallagher-Iba Arena,Home,OKLAHOMA-STATE,texas-am,60,42
29,2012,Gallagher-Iba Arena,Home,OKLAHOMA-STATE,kansas,58,70
30,2012,Bramlage Coliseum,Away,OKLAHOMA-STATE,kansas-state,58,77
31,2012,,Neutral,OKLAHOMA-STATE,texas-tech,76,60
32,2012,Sprint Center,Neutral,OKLAHOMA-STATE,missouri,70,88
