,year,arena,location,team,opponent,team_points,opponent_points
0,2012,Louis Brown Athletic Center,Home,RUTGERS,dartmouth,62,56
1,2012,BankUnited Center,Away,RUTGERS,miami-fl,57,72
2,2012,Louis Brown Athletic Center,Home,RUTGERS,sacred-heart,91,75
3,2012,Louis Brown Athletic Center,Home,RUTGERS,hampton,66,52
4,2012,,Neutral,RUTGERS,illinois-state,70,76
5,2012,,Neutral,RUTGERS,richmond,53,58
6,2012,Louis Brown Athletic Center,Home,RUTGERS,maryland-baltimore-county,94,56
7,2012,Louis Brown Athletic Center,Home,RUTGERS,louisiana-state,50,55
8,2012,Louis Brown Athletic Center,Home,RUTGERS,princeton,57,59
9,2012,Louis Brown Athletic Center,Home,RUTGERS,monmouth,81,66
10,2012,,Neutral,RUTGERS,stony-brook,67,58
11,2012,Louis Brown Athletic Center,Home,RUTGERS,njit,77,53
12,2012,Louis Brown Athletic Center,Home,RUTGERS,florida,85,83
13,2012,Sun Dome,Away,RUTGERS,south-florida,65,67
14,2012,Louis Brown Athletic Center,Home,RUTGERS,west-virginia,64,85
15,2012,Louis Brown Athletic Center,Home,RUTGERS,connecticut,67,60
16,2012,Petersen Events Center,Away,RUTGERS,pittsburgh,62,39
17,2012,WVU Coliseum,Away,RUTGERS,west-virginia,60,84
18,2012,Louis Brown Athletic Center,Home,RUTGERS,notre-dame,65,58
19,2012,Verizon Center,Away,RUTGERS,georgetown,50,52
20,2012,Louis Brown Athletic Center,Home,RUTGERS,depaul,64,69
21,2012,Louis Brown Athletic Center,Home,RUTGERS,cincinnati,61,54
22,2012,Dunkin' Donuts Center,Away,RUTGERS,providence,67,78
23,2012,KFC Yum! Center,Away,RUTGERS,louisville,66,78
24,2012,Louis Brown Athletic Center,Home,RUTGERS,seton-hall,54,59
25,2012,Purcell Pavilion at the Joyce Center,Away,RUTGERS,notre-dame,53,71
26,2012,Louis Brown Athletic Center,Home,RUTGERS,syracuse,64,74
27,2012,Bradley Center,Away,RUTGERS,marquette,65,82
28,2012,Prudential Center,Away,RUTGERS,seton-hall,77,72
29,2012,Louis Brown Athletic Center,Home,RUTGERS,villanova,71,77
30,2012,Louis Brown Athletic Center,Home,RUTGERS,st-johns-ny,61,58
31,2012,Madison Square Garden (IV),Neutral,RUTGERS,villanova,49,70
