,year,arena,location,team,opponent,team_points,opponent_points
0,2012,Alltel Pavilion at the Stuart C. Siegel Center,Away,SAINT-FRANCIS-PA,virginia-commonwealth,57,63
1,2012,Maurice Stokes Athletic Center,Home,SAINT-FRANCIS-PA,lafayette,81,84
2,2012,Sojka Pavilion,Away,SAINT-FRANCIS-PA,bucknell,42,73
3,2012,Cotterell Court,Away,SAINT-FRANCIS-PA,colgate,66,74
4,2012,Maurice Stokes Athletic Center,Home,SAINT-FRANCIS-PA,youngstown-state,59,60
5,2012,Maurice Stokes Athletic Center,Home,SAINT-FRANCIS-PA,niagara,63,65
6,2012,Maurice Stokes Athletic Center,Home,SAINT-FRANCIS-PA,monmouth,71,49
7,2012,Maurice Stokes Athletic Center,Home,SAINT-FRANCIS-PA,fairleigh-dickinson,73,69
8,2012,Stabler Arena,Away,SAINT-FRANCIS-PA,lehigh,50,71
9,2012,Maurice Stokes Athletic Center,Home,SAINT-FRANCIS-PA,american,66,61
10,2012,Petersen Events Center,Away,SAINT-FRANCIS-PA,pittsburgh,47,71
11,2012,Reilly Center,Away,SAINT-FRANCIS-PA,st-bonaventure,58,82
12,2012,Daskalakis Athletic Center,Away,SAINT-FRANCIS-PA,drexel,42,63
13,2012,Detrick Gymnasium,Away,SAINT-FRANCIS-PA,central-connecticut-state,58,69
14,2012,Chace Athletic Center,Away,SAINT-FRANCIS-PA,bryant,56,59
15,2012,Maurice Stokes Athletic Center,Home,SAINT-FRANCIS-PA,sacred-heart,68,71
16,2012,Maurice Stokes Athletic Center,Home,SAINT-FRANCIS-PA,quinnipiac,74,71
17,2012,Multipurpose Activity Center,Away,SAINT-FRANCIS-PA,monmouth,50,68
18,2012,Rothman Center,Away,SAINT-FRANCIS-PA,fairleigh-dickinson,69,63
19,2012,Maurice Stokes Athletic Center,Home,SAINT-FRANCIS-PA,st-francis-ny,65,75
20,2012,Maurice Stokes Athletic Center,Home,SAINT-FRANCIS-PA,long-island-university,76,97
21,2012,,Away,SAINT-FRANCIS-PA,mount-st-marys,51,64
22,2012,Spiro Sports Center,Away,SAINT-FRANCIS-PA,wagner,54,72
23,2012,Maurice Stokes Athletic Center,Home,SAINT-FRANCIS-PA,robert-morris,74,78
24,2012,Charles L. Sewall Center,Away,SAINT-FRANCIS-PA,robert-morris,56,70
25,2012,Maurice Stokes Athletic Center,Home,SAINT-FRANCIS-PA,central-connecticut-state,60,65
26,2012,Maurice Stokes Athletic Center,Home,SAINT-FRANCIS-PA,bryant,76,61
27,2012,TD Bank Sports Center,Away,SAINT-FRANCIS-PA,quinnipiac,44,77
28,2012,,Away,SAINT-FRANCIS-PA,sacred-heart,57,72
