,year,arena,location,team,opponent,team_points,opponent_points
0,2012,Frost Arena,Home,SOUTH-DAKOTA-STATE,western-michigan,82,76
1,2012,Williams Arena,Away,SOUTH-DAKOTA-STATE,minnesota,55,71
2,2012,Stegeman Coliseum,Away,SOUTH-DAKOTA-STATE,georgia,61,72
3,2012,University Center,Neutral,SOUTH-DAKOTA-STATE,niagara,79,71
4,2012,University Center,Neutral,SOUTH-DAKOTA-STATE,sam-houston-state,77,60
5,2012,University Center,Away,SOUTH-DAKOTA-STATE,mercer,74,61
6,2012,Bob Devaney Sports Center,Away,SOUTH-DAKOTA-STATE,nebraska,64,76
7,2012,The Jungle,Away,SOUTH-DAKOTA-STATE,iupui,97,93
8,2012,Western Hall,Away,SOUTH-DAKOTA-STATE,western-illinois,67,66
9,2012,Frost Arena,Home,SOUTH-DAKOTA-STATE,Southwest State (MN),92,69
10,2012,Frost Arena,Home,SOUTH-DAKOTA-STATE,north-dakota,92,54
11,2012,Frost Arena,Home,SOUTH-DAKOTA-STATE,Dakota State,93,60
12,2012,Betty Engelstad Sioux Center,Away,SOUTH-DAKOTA-STATE,north-dakota,70,89
13,2012,Bank of America Arena,Away,SOUTH-DAKOTA-STATE,washington,92,73
14,2012,Frost Arena,Home,SOUTH-DAKOTA-STATE,ipfw,94,58
15,2012,Frost Arena,Home,SOUTH-DAKOTA-STATE,oakland,76,64
16,2012,Centrum,Away,SOUTH-DAKOTA-STATE,southern-utah,75,68
17,2012,Mabee Center,Away,SOUTH-DAKOTA-STATE,oral-roberts,75,97
18,2012,Frost Arena,Home,SOUTH-DAKOTA-STATE,south-dakota,86,56
19,2012,Frost Arena,Home,SOUTH-DAKOTA-STATE,missouri-kansas-city,85,58
20,2012,Bison Sports Arena,Away,SOUTH-DAKOTA-STATE,north-dakota-state,91,88
21,2012,Athletics Center O'rena,Away,SOUTH-DAKOTA-STATE,oakland,87,92
22,2012,Allen County War Memorial Coliseum,Away,SOUTH-DAKOTA-STATE,ipfw,74,43
23,2012,Frost Arena,Home,SOUTH-DAKOTA-STATE,oral-roberts,75,60
24,2012,Frost Arena,Home,SOUTH-DAKOTA-STATE,southern-utah,66,56
25,2012,DakotaDome,Away,SOUTH-DAKOTA-STATE,south-dakota,68,72
26,2012,Swinney Recreation Center,Away,SOUTH-DAKOTA-STATE,missouri-kansas-city,75,62
27,2012,Frost Arena,Home,SOUTH-DAKOTA-STATE,north-dakota-state,80,57
28,2012,Frost Arena,Home,SOUTH-DAKOTA-STATE,buffalo,86,65
29,2012,Frost Arena,Home,SOUTH-DAKOTA-STATE,western-illinois,74,57
30,2012,Frost Arena,Home,SOUTH-DAKOTA-STATE,iupui,75,64
31,2012,,Neutral,SOUTH-DAKOTA-STATE,iupui,77,56
32,2012,Sioux Falls Arena,Neutral,SOUTH-DAKOTA-STATE,southern-utah,63,47
33,2012,Sioux Falls Arena,Neutral,SOUTH-DAKOTA-STATE,western-illinois,52,50
34,2012,,Neutral,SOUTH-DAKOTA-STATE,baylor,60,68
