,year,arena,location,team,opponent,team_points,opponent_points
0,2012,Viejas Arena,Neutral,SOUTHERN-UTAH,california-davis,76,75
1,2012,Viejas Arena,Away,SOUTHERN-UTAH,san-diego-state,37,70
2,2012,Viejas Arena,Neutral,SOUTHERN-UTAH,bryant,95,78
3,2012,Centrum,Home,SOUTHERN-UTAH,Montana State-Billings,63,60
4,2012,Dee Glen Smith Spectrum,Away,SOUTHERN-UTAH,utah-state,62,65
5,2012,Centrum,Home,SOUTHERN-UTAH,Southern Virginia,75,58
6,2012,Centrum,Home,SOUTHERN-UTAH,troy,76,80
7,2012,Mabee Center,Away,SOUTHERN-UTAH,oral-roberts,55,61
8,2012,Dee Events Center,Away,SOUTHERN-UTAH,weber-state,66,84
9,2012,Trojan Arena,Away,SOUTHERN-UTAH,troy,72,80
10,2012,Centrum,Home,SOUTHERN-UTAH,california-davis,62,51
11,2012,DakotaDome,Away,SOUTHERN-UTAH,south-dakota,81,75
12,2012,Swinney Recreation Center,Away,SOUTHERN-UTAH,missouri-kansas-city,91,77
13,2012,Allen County War Memorial Coliseum,Away,SOUTHERN-UTAH,ipfw,58,79
14,2012,Centrum,Home,SOUTHERN-UTAH,south-dakota-state,68,75
15,2012,Centrum,Home,SOUTHERN-UTAH,north-dakota-state,69,72
16,2012,The Jungle,Away,SOUTHERN-UTAH,iupui,72,64
17,2012,Western Hall,Away,SOUTHERN-UTAH,western-illinois,65,55
18,2012,Centrum,Home,SOUTHERN-UTAH,oakland,63,72
19,2012,Centrum,Home,SOUTHERN-UTAH,ipfw,58,56
20,2012,Centrum,Home,SOUTHERN-UTAH,missouri-kansas-city,57,47
21,2012,Centrum,Home,SOUTHERN-UTAH,south-dakota,62,60
22,2012,Bison Sports Arena,Away,SOUTHERN-UTAH,north-dakota-state,64,85
23,2012,Frost Arena,Away,SOUTHERN-UTAH,south-dakota-state,56,66
24,2012,Centrum,Home,SOUTHERN-UTAH,western-illinois,60,44
25,2012,Centrum,Home,SOUTHERN-UTAH,iupui,53,66
26,2012,Athletics Center O'rena,Away,SOUTHERN-UTAH,oakland,68,76
27,2012,UCR Student Rec Center,Away,SOUTHERN-UTAH,california-riverside,52,57
28,2012,Centrum,Home,SOUTHERN-UTAH,oral-roberts,71,73
29,2012,Sioux Falls Arena,Neutral,SOUTHERN-UTAH,oakland,84,82
30,2012,Sioux Falls Arena,Neutral,SOUTHERN-UTAH,south-dakota-state,47,63
