,year,arena,location,team,opponent,team_points,opponent_points
0,2012,Reilly Center,Home,ST-BONAVENTURE,cornell,79,58
1,2012,Henry J. Goodman Arena,Away,ST-BONAVENTURE,cleveland-state,64,67
2,2012,Times Union Center,Away,ST-BONAVENTURE,siena,64,58
3,2012,Cassell Coliseum,Away,ST-BONAVENTURE,virginia-tech,64,73
4,2012,Reilly Center,Home,ST-BONAVENTURE,arkansas-state,52,58
5,2012,Alumni Arena,Away,ST-BONAVENTURE,buffalo,66,60
6,2012,Assembly Hall,Away,ST-BONAVENTURE,illinois,43,48
7,2012,Reilly Center,Home,ST-BONAVENTURE,canisius,81,62
8,2012,Reilly Center,Home,ST-BONAVENTURE,loyola-md,76,66
9,2012,,Neutral,ST-BONAVENTURE,north-carolina-state,65,67
10,2012,Reilly Center,Home,ST-BONAVENTURE,saint-francis-pa,82,58
11,2012,Gallagher Center,Away,ST-BONAVENTURE,niagara,72,70
12,2012,,Home,ST-BONAVENTURE,george-washington,66,56
13,2012,A.J. Palumbo Center,Away,ST-BONAVENTURE,duquesne,52,66
14,2012,Reilly Center,Home,ST-BONAVENTURE,dayton,81,73
15,2012,Cintas Center,Away,ST-BONAVENTURE,xavier,64,77
16,2012,Reilly Center,Home,ST-BONAVENTURE,fordham,95,51
17,2012,Thomas M. Ryan Center,Away,ST-BONAVENTURE,rhode-island,72,66
18,2012,Reilly Center,Home,ST-BONAVENTURE,richmond,62,47
19,2012,Chaifetz Arena,Away,ST-BONAVENTURE,saint-louis,62,86
20,2012,Mullins Center,Away,ST-BONAVENTURE,massachusetts,67,76
21,2012,Reilly Center,Home,ST-BONAVENTURE,duquesne,69,48
22,2012,Reilly Center,Home,ST-BONAVENTURE,temple,70,76
23,2012,Reilly Center,Home,ST-BONAVENTURE,rhode-island,81,61
24,2012,Rose Hill Gym,Away,ST-BONAVENTURE,fordham,89,63
25,2012,Dale F. Halton Arena,Away,ST-BONAVENTURE,charlotte,72,56
26,2012,Reilly Center,Home,ST-BONAVENTURE,saint-josephs,98,93
27,2012,Tom Gola Arena,Away,ST-BONAVENTURE,la-salle,61,71
28,2012,Boardwalk Hall,Neutral,ST-BONAVENTURE,saint-josephs,71,68
29,2012,Boardwalk Hall,Neutral,ST-BONAVENTURE,massachusetts,84,80
30,2012,,Neutral,ST-BONAVENTURE,xavier,67,56
31,2012,,Neutral,ST-BONAVENTURE,florida-state,63,66
