,year,arena,location,team,opponent,team_points,opponent_points
0,2012,Assembly Hall,Away,STONY-BROOK,indiana,66,96
1,2012,Pritchard Gymnasium,Home,STONY-BROOK,Mount Ida College,93,39
2,2012,William H. Pitt Center,Away,STONY-BROOK,sacred-heart,63,74
3,2012,Pritchard Gymnasium,Home,STONY-BROOK,columbia,67,53
4,2012,Welsh-Ryan Arena,Away,STONY-BROOK,northwestern,58,63
5,2012,Lantz Arena,Away,STONY-BROOK,eastern-illinois,69,72
6,2012,Pritchard Gymnasium,Home,STONY-BROOK,fairleigh-dickinson,70,46
7,2012,Silvio O. Conte Forum,Away,STONY-BROOK,boston-college,51,66
8,2012,,Neutral,STONY-BROOK,rutgers,58,67
9,2012,Pritchard Gymnasium,Home,STONY-BROOK,cornell,68,59
10,2012,Pritchard Gymnasium,Home,STONY-BROOK,rider,79,62
11,2012,Pritchard Gymnasium,Home,STONY-BROOK,vermont,65,59
12,2012,Events Center,Away,STONY-BROOK,binghamton,60,54
13,2012,Pritchard Gymnasium,Home,STONY-BROOK,albany-ny,81,68
14,2012,RAC Arena,Away,STONY-BROOK,maryland-baltimore-county,89,49
15,2012,Agganis Arena,Away,STONY-BROOK,boston-university,55,61
16,2012,Pritchard Gymnasium,Home,STONY-BROOK,new-hampshire,61,52
17,2012,Alfond Arena,Away,STONY-BROOK,maine,58,52
18,2012,Pritchard Gymnasium,Home,STONY-BROOK,hartford,60,37
19,2012,Pritchard Gymnasium,Home,STONY-BROOK,boston-university,66,57
20,2012,Pritchard Gymnasium,Home,STONY-BROOK,binghamton,82,48
21,2012,SEFCU Arena,Away,STONY-BROOK,albany-ny,76,69
22,2012,Lundholm Gymnasium,Away,STONY-BROOK,new-hampshire,57,48
23,2012,Pritchard Gymnasium,Home,STONY-BROOK,maryland-baltimore-county,80,68
24,2012,Roy L. Patrick Gymnasium,Away,STONY-BROOK,vermont,49,68
25,2012,Matthews Arena,Away,STONY-BROOK,northeastern,76,69
26,2012,Chase Arena at Reich Family Pavilion,Away,STONY-BROOK,hartford,74,50
27,2012,Pritchard Gymnasium,Home,STONY-BROOK,maine,55,48
28,2012,,Neutral,STONY-BROOK,binghamton,78,69
29,2012,,Neutral,STONY-BROOK,albany-ny,57,55
30,2012,USB Sports Complex,Home,STONY-BROOK,vermont,43,51
31,2012,Prudential Center,Away,STONY-BROOK,seton-hall,61,63
