,year,arena,location,team,opponent,team_points,opponent_points
0,2012,The Palestra,Away,TEMPLE,pennsylvania,73,67
1,2012,,Neutral,TEMPLE,western-michigan,69,55
2,2012,,Neutral,TEMPLE,purdue,77,85
3,2012,,Neutral,TEMPLE,wichita-state,78,74
4,2012,Stroh Center,Away,TEMPLE,bowling-green-state,64,67
5,2012,Liacouras Center,Home,TEMPLE,central-michigan,86,74
6,2012,John F. Savage Hall,Away,TEMPLE,toledo,77,58
7,2012,Liacouras Center,Home,TEMPLE,villanova,78,67
8,2012,Frank Erwin Center,Away,TEMPLE,texas,65,77
9,2012,Tudor Fieldhouse,Away,TEMPLE,rice,77,70
10,2012,Liacouras Center,Home,TEMPLE,buffalo,87,85
11,2012,Bob Carpenter Center,Away,TEMPLE,delaware,66,63
12,2012,,Neutral,TEMPLE,duke,78,73
13,2012,Liacouras Center,Home,TEMPLE,dayton,77,87
14,2012,Chaifetz Arena,Away,TEMPLE,saint-louis,72,67
15,2012,Robins Center,Away,TEMPLE,richmond,65,76
16,2012,Liacouras Center,Home,TEMPLE,la-salle,76,70
17,2012,,Neutral,TEMPLE,maryland,73,60
18,2012,Dale F. Halton Arena,Away,TEMPLE,charlotte,79,57
19,2012,Liacouras Center,Home,TEMPLE,saint-josephs,78,60
20,2012,Liacouras Center,Home,TEMPLE,fordham,78,60
21,2012,Thomas M. Ryan Center,Away,TEMPLE,rhode-island,73,56
22,2012,Liacouras Center,Home,TEMPLE,george-washington,79,72
23,2012,Liacouras Center,Home,TEMPLE,xavier,85,72
24,2012,Reilly Center,Away,TEMPLE,st-bonaventure,76,70
25,2012,Liacouras Center,Home,TEMPLE,duquesne,78,59
26,2012,Tom Gola Arena,Away,TEMPLE,la-salle,80,79
27,2012,Hagan Arena,Away,TEMPLE,saint-josephs,72,82
28,2012,Liacouras Center,Home,TEMPLE,massachusetts,90,88
29,2012,Rose Hill Gym,Away,TEMPLE,fordham,80,60
30,2012,,Neutral,TEMPLE,massachusetts,71,77
31,2012,,Neutral,TEMPLE,south-florida,44,58
