,year,arena,location,team,opponent,team_points,opponent_points
0,2012,United Spirit Arena,Home,TEXAS-TECH,troy,90,85
1,2012,United Spirit Arena,Home,TEXAS-TECH,north-texas,69,64
2,2012,United Spirit Arena,Home,TEXAS-TECH,stephen-f-austin,66,54
3,2012,,Neutral,TEXAS-TECH,indiana-state,49,60
4,2012,,Neutral,TEXAS-TECH,depaul,70,76
5,2012,The Milk House,Neutral,TEXAS-TECH,wake-forest,61,70
6,2012,American Bank Center,Away,TEXAS-TECH,texas-am-corpus-christi,61,54
7,2012,Daniel-Meyer Coliseum,Away,TEXAS-TECH,texas-christian,69,75
8,2012,United Spirit Arena,Home,TEXAS-TECH,grambling,87,59
9,2012,Mabee Center,Away,TEXAS-TECH,oral-roberts,56,72
10,2012,United Spirit Arena,Home,TEXAS-TECH,cal-state-bakersfield,74,58
11,2012,United Spirit Arena,Home,TEXAS-TECH,southeastern-louisiana,62,54
12,2012,Gallagher-Iba Arena,Away,TEXAS-TECH,oklahoma-state,59,67
13,2012,United Spirit Arena,Home,TEXAS-TECH,baylor,60,73
14,2012,United Spirit Arena,Home,TEXAS-TECH,kansas,46,81
15,2012,Reed Arena,Away,TEXAS-TECH,texas-am,54,67
16,2012,Lloyd Noble Center,Away,TEXAS-TECH,oklahoma,55,64
17,2012,United Spirit Arena,Home,TEXAS-TECH,iowa-state,52,76
18,2012,United Spirit Arena,Home,TEXAS-TECH,kansas-state,47,69
19,2012,Mizzou Arena,Away,TEXAS-TECH,missouri,50,63
20,2012,United Spirit Arena,Home,TEXAS-TECH,oklahoma-state,63,80
21,2012,Frank Erwin Center,Away,TEXAS-TECH,texas,57,74
22,2012,Bramlage Coliseum,Away,TEXAS-TECH,kansas-state,46,65
23,2012,United Spirit Arena,Home,TEXAS-TECH,oklahoma,65,47
24,2012,United Spirit Arena,Home,TEXAS-TECH,texas-am,38,47
25,2012,Allen Fieldhouse,Away,TEXAS-TECH,kansas,50,83
26,2012,James H. Hilton Coliseum,Away,TEXAS-TECH,iowa-state,54,72
27,2012,United Spirit Arena,Home,TEXAS-TECH,texas,67,71
28,2012,Ferrell Center,Away,TEXAS-TECH,baylor,48,77
29,2012,United Spirit Arena,Home,TEXAS-TECH,missouri,59,81
30,2012,,Neutral,TEXAS-TECH,oklahoma-state,60,76
