,year,arena,location,team,opponent,team_points,opponent_points
0,2012,Kohl Center,Home,WISCONSIN,kennesaw-state,85,31
1,2012,Kohl Center,Home,WISCONSIN,colgate,68,41
2,2012,Kohl Center,Home,WISCONSIN,wofford,69,33
3,2012,Kohl Center,Home,WISCONSIN,missouri-kansas-city,77,31
4,2012,Sears Centre,Neutral,WISCONSIN,bradley,66,43
5,2012,Sears Centre,Neutral,WISCONSIN,brigham-young,73,56
6,2012,Dean Smith Center,Away,WISCONSIN,north-carolina,57,60
7,2012,Kohl Center,Home,WISCONSIN,marquette,54,61
8,2012,Kohl Center,Home,WISCONSIN,green-bay,70,42
9,2012,Kohl Center,Home,WISCONSIN,nevada-las-vegas,62,51
10,2012,U.S. Cellular Arena,Away,WISCONSIN,milwaukee,60,54
11,2012,Kohl Center,Home,WISCONSIN,savannah-state,66,33
12,2012,Kohl Center,Home,WISCONSIN,mississippi-valley-state,79,45
13,2012,Bob Devaney Sports Center,Away,WISCONSIN,nebraska,64,40
14,2012,Kohl Center,Home,WISCONSIN,iowa,65,72
15,2012,Kohl Center,Home,WISCONSIN,michigan-state,60,63
16,2012,Crisler Arena,Away,WISCONSIN,michigan,41,59
17,2012,Mackey Arena,Away,WISCONSIN,purdue,67,62
18,2012,Kohl Center,Home,WISCONSIN,nebraska,50,45
19,2012,Kohl Center,Home,WISCONSIN,northwestern,77,57
20,2012,Assembly Hall,Away,WISCONSIN,illinois,67,63
21,2012,Kohl Center,Home,WISCONSIN,indiana,57,50
22,2012,Bryce Jordan Center,Away,WISCONSIN,penn-state,52,46
23,2012,Kohl Center,Home,WISCONSIN,ohio-state,52,58
24,2012,Williams Arena,Away,WISCONSIN,minnesota,68,61
25,2012,Breslin Events Center,Away,WISCONSIN,michigan-state,55,69
26,2012,Kohl Center,Home,WISCONSIN,penn-state,65,55
27,2012,Carver-Hawkeye Arena,Away,WISCONSIN,iowa,66,67
28,2012,Value City Arena,Away,WISCONSIN,ohio-state,63,60
29,2012,Kohl Center,Home,WISCONSIN,minnesota,52,45
30,2012,Kohl Center,Home,WISCONSIN,illinois,70,56
31,2012,Conseco Fieldhouse,Neutral,WISCONSIN,indiana,79,71
32,2012,,Neutral,WISCONSIN,michigan-state,52,65
33,2012,The Pit/Bob King Court,Neutral,WISCONSIN,montana,73,49
34,2012,The Pit/Bob King Court,Neutral,WISCONSIN,vanderbilt,60,57
35,2012,,Neutral,WISCONSIN,syracuse,63,64
