,year,arena,location,team,opponent,team_points,opponent_points
0,2013,Alumni Arena,Home,BUFFALO,princeton,53,57
1,2013,Donald L. Tucker Center,Away,BUFFALO,florida-state,68,95
2,2013,Ford Center,Away,BUFFALO,evansville,56,50
3,2013,Ford Center,Neutral,BUFFALO,western-illinois,58,67
4,2013,,Neutral,BUFFALO,yale,59,63
5,2013,Koessler Athletic Center,Away,BUFFALO,canisius,64,71
6,2013,Alumni Arena,Home,BUFFALO,Mansfield,76,57
7,2013,Alumni Arena,Home,BUFFALO,temple,39,54
8,2013,Reilly Center,Away,BUFFALO,st-bonaventure,79,82
9,2013,Klotsche Center,Away,BUFFALO,milwaukee,72,52
10,2013,Alumni Arena,Home,BUFFALO,niagara,77,67
11,2013,KeyArena,Neutral,BUFFALO,washington-state,54,65
12,2013,Alumni Arena,Home,BUFFALO,Notre Dame (OH),84,64
13,2013,Donald W. Reynolds Center,Away,BUFFALO,tulsa,57,63
14,2013,Convocation Center,Away,BUFFALO,ohio,68,86
15,2013,Alumni Arena,Home,BUFFALO,miami-oh,57,58
16,2013,Alumni Arena,Home,BUFFALO,kent-state,68,80
17,2013,Alumni Arena,Home,BUFFALO,bowling-green-state,68,65
18,2013,Worthen Arena,Away,BUFFALO,ball-state,66,63
19,2013,James A. Rhodes Arena,Away,BUFFALO,akron,64,68
20,2013,Alumni Arena,Home,BUFFALO,central-michigan,91,73
21,2013,University Arena,Away,BUFFALO,western-michigan,60,71
22,2013,Convocation Center,Away,BUFFALO,eastern-michigan,46,65
23,2013,Alumni Arena,Home,BUFFALO,northern-illinois,59,54
24,2013,Alumni Arena,Home,BUFFALO,toledo,75,60
25,2013,Millett Hall,Away,BUFFALO,miami-oh,79,71
26,2013,Alumni Arena,Home,BUFFALO,manhattan,64,65
27,2013,Memorial Athletic & Convocation Center,Away,BUFFALO,kent-state,81,83
28,2013,Alumni Arena,Home,BUFFALO,akron,81,67
29,2013,Alumni Arena,Home,BUFFALO,ohio,69,72
30,2013,Stroh Center,Away,BUFFALO,bowling-green-state,65,76
31,2013,Alumni Arena,Home,BUFFALO,central-michigan,74,72
32,2013,Worthen Arena,Neutral,BUFFALO,ball-state,76,61
33,2013,Quicken Loans Arena,Neutral,BUFFALO,kent-state,68,70
