,year,arena,location,team,opponent,team_points,opponent_points
0,2013,Carolina First Arena,Home,COLLEGE-OF-CHARLESTON,towson,75,58
1,2013,Carolina First Arena,Home,COLLEGE-OF-CHARLESTON,st-johns-ny,53,64
2,2013,,Neutral,COLLEGE-OF-CHARLESTON,auburn,51,55
3,2013,,Neutral,COLLEGE-OF-CHARLESTON,boston-college,71,67
4,2013,Ferrell Center,Away,COLLEGE-OF-CHARLESTON,baylor,63,59
5,2013,CSU Fieldhouse,Away,COLLEGE-OF-CHARLESTON,charleston-southern,72,67
6,2013,Alumni Gym,Away,COLLEGE-OF-CHARLESTON,elon,56,54
7,2013,Carolina First Arena,Home,COLLEGE-OF-CHARLESTON,louisville,38,80
8,2013,Carolina First Arena,Home,COLLEGE-OF-CHARLESTON,Anderson (SC),49,65
9,2013,Carolina First Arena,Home,COLLEGE-OF-CHARLESTON,old-dominion,76,65
10,2013,Carolina First Arena,Home,COLLEGE-OF-CHARLESTON,coastal-carolina,60,51
11,2013,Roy L. Patrick Gymnasium,Away,COLLEGE-OF-CHARLESTON,vermont,62,50
12,2013,McCann Recreation Center,Away,COLLEGE-OF-CHARLESTON,marist,85,75
13,2013,Carolina First Arena,Home,COLLEGE-OF-CHARLESTON,furman,60,56
14,2013,Carolina First Arena,Home,COLLEGE-OF-CHARLESTON,samford,57,62
15,2013,Carolina First Arena,Home,COLLEGE-OF-CHARLESTON,chattanooga,86,59
16,2013,McAlister Field House,Away,COLLEGE-OF-CHARLESTON,citadel,73,69
17,2013,Hanner Fieldhouse,Away,COLLEGE-OF-CHARLESTON,georgia-southern,47,51
18,2013,Belk Arena,Away,COLLEGE-OF-CHARLESTON,davidson,68,77
19,2013,,Home,COLLEGE-OF-CHARLESTON,citadel,69,54
20,2013,Benjamin Johnson Arena,Away,COLLEGE-OF-CHARLESTON,wofford,79,50
21,2013,Carolina First Arena,Home,COLLEGE-OF-CHARLESTON,appalachian-state,72,59
22,2013,Carolina First Arena,Home,COLLEGE-OF-CHARLESTON,north-carolina-greensboro,81,59
23,2013,Pete Hanna Center,Away,COLLEGE-OF-CHARLESTON,samford,69,65
24,2013,The McKenzie Arena,Away,COLLEGE-OF-CHARLESTON,chattanooga,71,68
25,2013,Carolina First Arena,Home,COLLEGE-OF-CHARLESTON,davidson,59,75
26,2013,Carolina First Arena,Home,COLLEGE-OF-CHARLESTON,georgia-southern,69,60
27,2013,Ramsey Center,Away,COLLEGE-OF-CHARLESTON,western-carolina,67,65
28,2013,Carolina First Arena,Home,COLLEGE-OF-CHARLESTON,gardner-webb,52,55
29,2013,Carolina First Arena,Home,COLLEGE-OF-CHARLESTON,wofford,55,50
30,2013,Timmons Arena,Away,COLLEGE-OF-CHARLESTON,furman,74,50
31,2013,,Neutral,COLLEGE-OF-CHARLESTON,western-carolina,78,70
32,2013,,Neutral,COLLEGE-OF-CHARLESTON,elon,68,60
33,2013,Asheville Civic Center,Neutral,COLLEGE-OF-CHARLESTON,davidson,55,74
34,2013,Carolina First Arena,Home,COLLEGE-OF-CHARLESTON,george-mason,77,78
