,year,arena,location,team,opponent,team_points,opponent_points
0,2013,Memorial Athletic & Convocation Center,Away,DREXEL,kent-state,62,66
1,2013,Daskalakis Athletic Center,Home,DREXEL,illinois-state,84,86
2,2013,The Palestra,Away,DREXEL,pennsylvania,61,59
3,2013,,Neutral,DREXEL,saint-marys-ca,64,76
4,2013,Anaheim Convention Center,Neutral,DREXEL,xavier,65,69
5,2013,,Neutral,DREXEL,rice,55,47
6,2013,Daskalakis Athletic Center,Home,DREXEL,rider,66,75
7,2013,Gentry Center Complex,Away,DREXEL,tennessee-state,66,76
8,2013,Jadwin Gymnasium,Away,DREXEL,princeton,64,57
9,2013,,Away,DREXEL,fairfield,58,69
10,2013,Daskalakis Athletic Center,Home,DREXEL,davidson,69,58
11,2013,Daskalakis Athletic Center,Home,DREXEL,saint-josephs,49,63
12,2013,GSU Sports Arena,Away,DREXEL,georgia-state,77,60
13,2013,Daskalakis Athletic Center,Home,DREXEL,towson,66,69
14,2013,Daskalakis Athletic Center,Home,DREXEL,northeastern,58,63
15,2013,JMU Convocation Center,Away,DREXEL,james-madison,43,51
16,2013,Kaplan Arena at William and Mary Hall,Away,DREXEL,william-mary,59,48
17,2013,Mack Sports Complex,Away,DREXEL,hofstra,55,52
18,2013,Daskalakis Athletic Center,Home,DREXEL,georgia-state,68,57
19,2013,Daskalakis Athletic Center,Home,DREXEL,delaware,64,66
20,2013,Patriot Center,Away,DREXEL,george-mason,58,54
21,2013,Matthews Arena,Away,DREXEL,northeastern,52,59
22,2013,Daskalakis Athletic Center,Home,DREXEL,old-dominion,66,78
23,2013,Daskalakis Athletic Center,Home,DREXEL,james-madison,60,48
24,2013,Daskalakis Athletic Center,Home,DREXEL,george-mason,62,68
25,2013,Daskalakis Athletic Center,Home,DREXEL,hofstra,63,54
26,2013,Bob Carpenter Center,Away,DREXEL,delaware,71,73
27,2013,Towson Center,Away,DREXEL,towson,71,72
28,2013,Ted Constant Convocation Ctr.,Away,DREXEL,old-dominion,81,77
29,2013,Daskalakis Athletic Center,Home,DREXEL,north-carolina-wilmington,62,46
30,2013,Richmond Coliseum,Neutral,DREXEL,george-mason,54,60
