,year,arena,location,team,opponent,team_points,opponent_points
0,2013,Convocation Center,Home,EASTERN-MICHIGAN,Rochester (MI),66,52
1,2013,Pete Mathews Coliseum,Away,EASTERN-MICHIGAN,jacksonville-state,54,61
2,2013,Convocation Center,Home,EASTERN-MICHIGAN,eastern-illinois,60,52
3,2013,Convocation Center,Home,EASTERN-MICHIGAN,ipfw,60,47
4,2013,Convocation Center,Home,EASTERN-MICHIGAN,texas-pan-american,57,47
5,2013,Convocation Center,Home,EASTERN-MICHIGAN,Madonna,75,57
6,2013,Carrier Dome,Away,EASTERN-MICHIGAN,syracuse,48,84
7,2013,Convocation Center,Home,EASTERN-MICHIGAN,purdue,47,44
8,2013,UIC Pavilion,Away,EASTERN-MICHIGAN,illinois-chicago,48,74
9,2013,Crisler Arena,Away,EASTERN-MICHIGAN,michigan,54,93
10,2013,Convocation Center,Home,EASTERN-MICHIGAN,oakland,57,59
11,2013,Convocation Center,Home,EASTERN-MICHIGAN,Siena Heights,87,49
12,2013,Rupp Arena,Away,EASTERN-MICHIGAN,kentucky,38,90
13,2013,Mullins Center,Away,EASTERN-MICHIGAN,massachusetts,61,75
14,2013,Convocation Center,Home,EASTERN-MICHIGAN,ball-state,58,60
15,2013,Stroh Center,Away,EASTERN-MICHIGAN,bowling-green-state,44,46
16,2013,Convocation Center,Home,EASTERN-MICHIGAN,central-michigan,58,52
17,2013,Convocation Center,Home,EASTERN-MICHIGAN,miami-oh,65,58
18,2013,University Arena,Away,EASTERN-MICHIGAN,western-michigan,59,63
19,2013,Convocation Center,Home,EASTERN-MICHIGAN,northern-illinois,42,25
20,2013,Memorial Athletic & Convocation Center,Away,EASTERN-MICHIGAN,kent-state,62,77
21,2013,Convocation Center,Home,EASTERN-MICHIGAN,buffalo,65,46
22,2013,John F. Savage Hall,Away,EASTERN-MICHIGAN,toledo,52,60
23,2013,Convocation Center,Home,EASTERN-MICHIGAN,akron,62,70
24,2013,Worthen Arena,Away,EASTERN-MICHIGAN,ball-state,56,50
25,2013,Convocation Center,Away,EASTERN-MICHIGAN,ohio,50,73
26,2013,Convocation Center,Home,EASTERN-MICHIGAN,missouri-state,54,57
27,2013,Convocation Center,Away,EASTERN-MICHIGAN,northern-illinois,53,41
28,2013,Convocation Center,Home,EASTERN-MICHIGAN,western-michigan,50,49
29,2013,Rose Arena,Away,EASTERN-MICHIGAN,central-michigan,59,61
30,2013,Convocation Center,Home,EASTERN-MICHIGAN,toledo,67,78
31,2013,Convocation Center,Home,EASTERN-MICHIGAN,northern-illinois,45,44
32,2013,Convocation Center,Neutral,EASTERN-MICHIGAN,miami-oh,58,47
33,2013,Quicken Loans Arena,Neutral,EASTERN-MICHIGAN,western-michigan,55,70
