,year,arena,location,team,opponent,team_points,opponent_points
0,2013,Dee Glen Smith Spectrum,Away,IDAHO-STATE,utah-state,48,56
1,2013,Chiles Center,Away,IDAHO-STATE,portland,48,51
2,2013,Jon M. Huntsman Center,Away,IDAHO-STATE,utah,46,57
3,2013,Holt Arena,Neutral,IDAHO-STATE,wright-state,45,60
4,2013,Rose Arena,Neutral,IDAHO-STATE,central-michigan,52,54
5,2013,Holt Arena,Home,IDAHO-STATE,Montana Western,70,52
6,2013,Matthew Knight Arena,Away,IDAHO-STATE,oregon,35,87
7,2013,Titan Gym,Away,IDAHO-STATE,cal-state-fullerton,53,66
8,2013,Peter W. Stott Center,Away,IDAHO-STATE,portland-state,49,63
9,2013,Reese Court,Away,IDAHO-STATE,eastern-washington,54,57
10,2013,,Neutral,IDAHO-STATE,washington-state,39,74
11,2013,Holt Arena,Home,IDAHO-STATE,north-dakota,53,66
12,2013,Holt Arena,Home,IDAHO-STATE,northern-colorado,86,63
13,2013,Centrum,Away,IDAHO-STATE,southern-utah,54,53
14,2013,Holt Arena,Home,IDAHO-STATE,weber-state,54,70
15,2013,Holt Arena,Home,IDAHO-STATE,sacramento-state,60,59
16,2013,Holt Arena,Home,IDAHO-STATE,northern-arizona,55,60
17,2013,Adams Center/Dahlberg Arena,Away,IDAHO-STATE,montana,51,70
18,2013,Worthington Arena,Away,IDAHO-STATE,montana-state,59,61
19,2013,Butler Hancock Sports Pavilion,Away,IDAHO-STATE,northern-colorado,63,78
20,2013,Betty Engelstad Sioux Center,Away,IDAHO-STATE,north-dakota,52,69
21,2013,Holt Arena,Home,IDAHO-STATE,southern-utah,79,81
22,2013,Dee Events Center,Away,IDAHO-STATE,weber-state,40,56
23,2013,Holt Arena,Home,IDAHO-STATE,montana-state,87,51
24,2013,Holt Arena,Home,IDAHO-STATE,montana,54,61
25,2013,Holt Arena,Home,IDAHO-STATE,idaho,69,75
26,2013,Walkup Skydome,Away,IDAHO-STATE,northern-arizona,58,67
27,2013,Hornets Nest,Away,IDAHO-STATE,sacramento-state,52,53
28,2013,Holt Arena,Home,IDAHO-STATE,eastern-washington,73,87
29,2013,Holt Arena,Home,IDAHO-STATE,portland-state,72,71
