,year,arena,location,team,opponent,team_points,opponent_points
0,2013,Auburn Arena,Away,IPFW,auburn,50,61
1,2013,Allen County War Memorial Coliseum,Home,IPFW,Rochester (MI),73,56
2,2013,Allen County War Memorial Coliseum,Neutral,IPFW,texas-pan-american,97,94
3,2013,Convocation Center,Away,IPFW,eastern-michigan,47,60
4,2013,Lantz Arena,Neutral,IPFW,eastern-illinois,67,68
5,2013,Allen County War Memorial Coliseum,Home,IPFW,Judson,92,22
6,2013,Leede Arena,Away,IPFW,dartmouth,70,66
7,2013,Alumni Hall,Away,IPFW,navy,49,54
8,2013,Allen County War Memorial Coliseum,Home,IPFW,miami-oh,57,56
9,2013,Athletics-Recreation Center,Away,IPFW,valparaiso,52,63
10,2013,Knapp Center,Away,IPFW,drake,64,74
11,2013,Purcell Pavilion at the Joyce Center,Away,IPFW,notre-dame,62,74
12,2013,Allen County War Memorial Coliseum,Home,IPFW,kennesaw-state,70,47
13,2013,,Neutral,IPFW,iupui,74,88
14,2013,Western Hall,Away,IPFW,western-illinois,50,62
15,2013,Allen County War Memorial Coliseum,Home,IPFW,navy,68,63
16,2013,Allen County War Memorial Coliseum,Home,IPFW,nebraska-omaha,96,78
17,2013,Bison Sports Arena,Away,IPFW,north-dakota-state,55,67
18,2013,Frost Arena,Away,IPFW,south-dakota-state,57,83
19,2013,Allen County War Memorial Coliseum,Home,IPFW,south-dakota,62,60
20,2013,Allen County War Memorial Coliseum,Home,IPFW,missouri-kansas-city,59,63
21,2013,Allen County War Memorial Coliseum,Home,IPFW,western-illinois,40,43
22,2013,Allen County War Memorial Coliseum,Home,IPFW,iupui,80,79
23,2013,Ralston Arena,Away,IPFW,nebraska-omaha,79,86
24,2013,Allen County War Memorial Coliseum,Home,IPFW,south-dakota-state,74,80
25,2013,Allen County War Memorial Coliseum,Home,IPFW,north-dakota-state,54,58
26,2013,Swinney Recreation Center,Away,IPFW,missouri-kansas-city,65,60
27,2013,DakotaDome,Away,IPFW,south-dakota,64,51
28,2013,Allen County War Memorial Coliseum,Home,IPFW,oakland,77,71
29,2013,Allen County War Memorial Coliseum,Home,IPFW,bowling-green-state,88,75
30,2013,Athletics Center O'rena,Away,IPFW,oakland,74,72
31,2013,,Neutral,IPFW,oakland,91,72
32,2013,,Neutral,IPFW,south-dakota-state,56,72
