,year,arena,location,team,opponent,team_points,opponent_points
0,2013,Pete Mathews Coliseum,Home,JACKSONVILLE-STATE,Reinhardt,93,63
1,2013,Pete Mathews Coliseum,Home,JACKSONVILLE-STATE,eastern-michigan,61,54
2,2013,Pete Mathews Coliseum,Home,JACKSONVILLE-STATE,alabama-am,79,61
3,2013,Thomas & Mack Center,Away,JACKSONVILLE-STATE,nevada-las-vegas,58,77
4,2013,Matthew Knight Arena,Away,JACKSONVILLE-STATE,oregon,45,67
5,2013,,Neutral,JACKSONVILLE-STATE,northern-arizona,50,48
6,2013,,Neutral,JACKSONVILLE-STATE,north-carolina-at,54,50
7,2013,Davey L. Whitney Complex,Away,JACKSONVILLE-STATE,alcorn-state,56,52
8,2013,Pete Mathews Coliseum,Home,JACKSONVILLE-STATE,Martin Methodist,79,64
9,2013,Ross E.Templeton Center,Away,JACKSONVILLE-STATE,presbyterian,66,59
10,2013,Bob Devaney Sports Center,Away,JACKSONVILLE-STATE,nebraska,55,59
11,2013,Pete Mathews Coliseum,Home,JACKSONVILLE-STATE,tennessee-tech,83,62
12,2013,Skyhawk Arena,Away,JACKSONVILLE-STATE,tennessee-martin,64,54
13,2013,Pete Mathews Coliseum,Home,JACKSONVILLE-STATE,belmont,62,73
14,2013,Pete Mathews Coliseum,Home,JACKSONVILLE-STATE,tennessee-state,57,66
15,2013,Sam Vadalabene Center,Away,JACKSONVILLE-STATE,southern-illinois-edwardsville,75,62
16,2013,Lantz Arena,Away,JACKSONVILLE-STATE,eastern-illinois,61,55
17,2013,Gentry Center Complex,Away,JACKSONVILLE-STATE,tennessee-state,60,66
18,2013,Pete Mathews Coliseum,Home,JACKSONVILLE-STATE,eastern-kentucky,62,73
19,2013,Pete Mathews Coliseum,Home,JACKSONVILLE-STATE,austin-peay,81,74
20,2013,Pete Mathews Coliseum,Home,JACKSONVILLE-STATE,murray-state,65,64
21,2013,Pete Mathews Coliseum,Home,JACKSONVILLE-STATE,morehead-state,70,59
22,2013,Eblen Center,Away,JACKSONVILLE-STATE,tennessee-tech,64,78
23,2013,Ellis T. Johnson Arena,Away,JACKSONVILLE-STATE,morehead-state,81,85
24,2013,,Away,JACKSONVILLE-STATE,eastern-kentucky,67,80
25,2013,Pete Mathews Coliseum,Home,JACKSONVILLE-STATE,southeast-missouri-state,67,65
26,2013,Kimmel Arena,Away,JACKSONVILLE-STATE,north-carolina-asheville,71,69
27,2013,Curb Event Center,Away,JACKSONVILLE-STATE,belmont,71,78
