,year,arena,location,team,opponent,team_points,opponent_points
0,2013,RBC Center,Away,MIAMI-OH,north-carolina-state,59,97
1,2013,Millett Hall,Home,MIAMI-OH,grambling,80,54
2,2013,KFC Yum! Center,Away,MIAMI-OH,louisville,39,80
3,2013,Kaplan Arena at William and Mary Hall,Away,MIAMI-OH,william-mary,72,59
4,2013,Millett Hall,Home,MIAMI-OH,james-madison,76,58
5,2013,Allen County War Memorial Coliseum,Away,MIAMI-OH,ipfw,56,57
6,2013,Ford Center,Away,MIAMI-OH,evansville,68,94
7,2013,University of Dayton Arena,Away,MIAMI-OH,dayton,61,83
8,2013,Ervin J. Nutter Center,Away,MIAMI-OH,wright-state,59,67
9,2013,Millett Hall,Home,MIAMI-OH,illinois-chicago,82,70
10,2013,Millett Hall,Home,MIAMI-OH,Wilmington (OH),84,67
11,2013,Millett Hall,Home,MIAMI-OH,massachusetts,69,70
12,2013,Millett Hall,Home,MIAMI-OH,northern-illinois,61,72
13,2013,Alumni Arena,Away,MIAMI-OH,buffalo,58,57
14,2013,Millett Hall,Home,MIAMI-OH,bowling-green-state,63,60
15,2013,Convocation Center,Away,MIAMI-OH,eastern-michigan,58,65
16,2013,Millett Hall,Home,MIAMI-OH,ohio,62,74
17,2013,Millett Hall,Home,MIAMI-OH,ball-state,62,82
18,2013,Millett Hall,Home,MIAMI-OH,western-michigan,68,72
19,2013,Rose Arena,Away,MIAMI-OH,central-michigan,70,61
20,2013,John F. Savage Hall,Away,MIAMI-OH,toledo,64,65
21,2013,Millett Hall,Home,MIAMI-OH,akron,50,54
22,2013,Memorial Athletic & Convocation Center,Away,MIAMI-OH,kent-state,70,87
23,2013,Millett Hall,Home,MIAMI-OH,buffalo,71,79
24,2013,The SIU Arena,Away,MIAMI-OH,southern-illinois,68,74
25,2013,Stroh Center,Away,MIAMI-OH,bowling-green-state,44,52
26,2013,Millett Hall,Home,MIAMI-OH,kent-state,58,78
27,2013,James A. Rhodes Arena,Away,MIAMI-OH,akron,58,72
28,2013,Convocation Center,Away,MIAMI-OH,ohio,54,58
29,2013,Stroh Center,Away,MIAMI-OH,bowling-green-state,63,52
30,2013,Convocation Center,Neutral,MIAMI-OH,eastern-michigan,47,58
