,year,arena,location,team,opponent,team_points,opponent_points
0,2013,KeyArena,Away,MONTANA-STATE,seattle,72,87
1,2013,Worthington Arena,Home,MONTANA-STATE,portland,83,64
2,2013,Clune Arena,Away,MONTANA-STATE,air-force,72,86
3,2013,Gill Coliseum,Away,MONTANA-STATE,oregon-state,65,78
4,2013,Worthington Arena,Home,MONTANA-STATE,pepperdine,66,76
5,2013,Worthington Arena,Home,MONTANA-STATE,san-jose-state,74,82
6,2013,Worthington Arena,Home,MONTANA-STATE,Montana Tech,78,54
7,2013,Walkup Skydome,Away,MONTANA-STATE,northern-arizona,80,87
8,2013,Hornets Nest,Away,MONTANA-STATE,sacramento-state,57,62
9,2013,Worthington Arena,Home,MONTANA-STATE,Northwest Indian College,101,70
10,2013,Worthington Arena,Home,MONTANA-STATE,portland-state,62,59
11,2013,Worthington Arena,Home,MONTANA-STATE,eastern-washington,70,68
12,2013,Butler Hancock Sports Pavilion,Away,MONTANA-STATE,northern-colorado,69,66
13,2013,Betty Engelstad Sioux Center,Away,MONTANA-STATE,north-dakota,73,86
14,2013,Adams Center/Dahlberg Arena,Away,MONTANA-STATE,montana,71,76
15,2013,Worthington Arena,Home,MONTANA-STATE,southern-utah,76,68
16,2013,Worthington Arena,Home,MONTANA-STATE,weber-state,79,74
17,2013,Worthington Arena,Home,MONTANA-STATE,idaho-state,61,59
18,2013,Reese Court,Away,MONTANA-STATE,eastern-washington,68,72
19,2013,Peter W. Stott Center,Away,MONTANA-STATE,portland-state,70,64
20,2013,Worthington Arena,Home,MONTANA-STATE,north-dakota,73,82
21,2013,Worthington Arena,Home,MONTANA-STATE,northern-colorado,72,85
22,2013,Holt Arena,Away,MONTANA-STATE,idaho-state,51,87
23,2013,Dee Events Center,Away,MONTANA-STATE,weber-state,61,69
24,2013,Worthington Arena,Home,MONTANA-STATE,south-dakota,74,85
25,2013,Centrum,Away,MONTANA-STATE,southern-utah,62,61
26,2013,Worthington Arena,Home,MONTANA-STATE,montana,68,71
27,2013,Worthington Arena,Home,MONTANA-STATE,northern-arizona,83,79
28,2013,Worthington Arena,Home,MONTANA-STATE,sacramento-state,71,55
29,2013,Worthington Arena,Neutral,MONTANA-STATE,northern-colorado,56,69
