,year,arena,location,team,opponent,team_points,opponent_points
0,2013,Trask Coliseum,Home,NORTH-CAROLINA-WILMINGTON,north-carolina-asheville,67,59
1,2013,Robins Center,Away,NORTH-CAROLINA-WILMINGTON,richmond,58,101
2,2013,Convocation Center,Away,NORTH-CAROLINA-WILMINGTON,ohio,47,85
3,2013,Mackey Arena,Away,NORTH-CAROLINA-WILMINGTON,purdue,40,66
4,2013,Trask Coliseum,Home,NORTH-CAROLINA-WILMINGTON,wofford,49,37
5,2013,Trask Coliseum,Home,NORTH-CAROLINA-WILMINGTON,hampton,61,60
6,2013,Henderson Center,Away,NORTH-CAROLINA-WILMINGTON,marshall,58,61
7,2013,Trask Coliseum,Home,NORTH-CAROLINA-WILMINGTON,Coker,62,47
8,2013,McCamish Pavilion,Away,NORTH-CAROLINA-WILMINGTON,georgia-tech,66,73
9,2013,Belk Arena,Away,NORTH-CAROLINA-WILMINGTON,davidson,61,77
10,2013,Trask Coliseum,Home,NORTH-CAROLINA-WILMINGTON,north-carolina-greensboro,87,73
11,2013,John W. Pope Jr. Convocation Center,Away,NORTH-CAROLINA-WILMINGTON,campbell,60,72
12,2013,Trask Coliseum,Home,NORTH-CAROLINA-WILMINGTON,towson,74,79
13,2013,Matthews Arena,Away,NORTH-CAROLINA-WILMINGTON,northeastern,64,68
14,2013,JMU Convocation Center,Away,NORTH-CAROLINA-WILMINGTON,james-madison,50,78
15,2013,Trask Coliseum,Home,NORTH-CAROLINA-WILMINGTON,george-mason,82,74
16,2013,Trask Coliseum,Home,NORTH-CAROLINA-WILMINGTON,old-dominion,65,60
17,2013,GSU Sports Arena,Away,NORTH-CAROLINA-WILMINGTON,georgia-state,63,81
18,2013,Mack Sports Complex,Away,NORTH-CAROLINA-WILMINGTON,hofstra,57,51
19,2013,,Home,NORTH-CAROLINA-WILMINGTON,james-madison,56,63
20,2013,Bob Carpenter Center,Away,NORTH-CAROLINA-WILMINGTON,delaware,56,71
21,2013,Towson Center,Away,NORTH-CAROLINA-WILMINGTON,towson,68,81
22,2013,Trask Coliseum,Home,NORTH-CAROLINA-WILMINGTON,georgia-state,76,72
23,2013,Trask Coliseum,Home,NORTH-CAROLINA-WILMINGTON,hofstra,56,65
24,2013,Kaplan Arena at William and Mary Hall,Away,NORTH-CAROLINA-WILMINGTON,william-mary,86,92
25,2013,Trask Coliseum,Home,NORTH-CAROLINA-WILMINGTON,northeastern,73,67
26,2013,Ted Constant Convocation Ctr.,Away,NORTH-CAROLINA-WILMINGTON,old-dominion,61,84
27,2013,Trask Coliseum,Home,NORTH-CAROLINA-WILMINGTON,delaware,78,79
28,2013,Trask Coliseum,Home,NORTH-CAROLINA-WILMINGTON,william-mary,72,73
29,2013,Daskalakis Athletic Center,Away,NORTH-CAROLINA-WILMINGTON,drexel,46,62
