,year,arena,location,team,opponent,team_points,opponent_points
0,2013,Matthew Knight Arena,Away,NORTHERN-ARIZONA,oregon,73,83
1,2013,Thomas & Mack Center,Away,NORTHERN-ARIZONA,nevada-las-vegas,54,92
2,2013,The Pavilion,Away,NORTHERN-ARIZONA,california-davis,85,82
3,2013,,Neutral,NORTHERN-ARIZONA,jacksonville-state,48,50
4,2013,Thomas & Mack Center,Neutral,NORTHERN-ARIZONA,campbell,70,62
5,2013,McKale Center,Away,NORTHERN-ARIZONA,arizona,50,93
6,2013,Walkup Skydome,Home,NORTHERN-ARIZONA,sam-houston-state,77,60
7,2013,Walkup Skydome,Home,NORTHERN-ARIZONA,loyola-marymount,86,92
8,2013,Walkup Skydome,Home,NORTHERN-ARIZONA,montana-state,87,80
9,2013,Walkup Skydome,Home,NORTHERN-ARIZONA,montana,56,62
10,2013,Coors Events/Conference Center,Away,NORTHERN-ARIZONA,colorado,51,98
11,2013,Marriott Center,Away,NORTHERN-ARIZONA,brigham-young,54,84
12,2013,Walkup Skydome,Home,NORTHERN-ARIZONA,sacramento-state,57,50
13,2013,Walkup Skydome,Home,NORTHERN-ARIZONA,southern-utah,77,90
14,2013,Reese Court,Away,NORTHERN-ARIZONA,eastern-washington,59,82
15,2013,Peter W. Stott Center,Away,NORTHERN-ARIZONA,portland-state,74,79
16,2013,Dee Events Center,Away,NORTHERN-ARIZONA,weber-state,70,83
17,2013,Holt Arena,Away,NORTHERN-ARIZONA,idaho-state,60,55
18,2013,Walkup Skydome,Home,NORTHERN-ARIZONA,northern-colorado,67,65
19,2013,Walkup Skydome,Home,NORTHERN-ARIZONA,north-dakota,79,81
20,2013,Centrum,Away,NORTHERN-ARIZONA,southern-utah,67,78
21,2013,Hornets Nest,Away,NORTHERN-ARIZONA,sacramento-state,62,61
22,2013,Walkup Skydome,Home,NORTHERN-ARIZONA,portland-state,79,72
23,2013,Walkup Skydome,Home,NORTHERN-ARIZONA,eastern-washington,74,77
24,2013,Butler Hancock Sports Pavilion,Away,NORTHERN-ARIZONA,northern-colorado,68,76
25,2013,Betty Engelstad Sioux Center,Away,NORTHERN-ARIZONA,north-dakota,74,72
26,2013,Stan Sheriff Center,Away,NORTHERN-ARIZONA,hawaii,50,84
27,2013,Walkup Skydome,Home,NORTHERN-ARIZONA,idaho-state,67,58
28,2013,Walkup Skydome,Home,NORTHERN-ARIZONA,weber-state,78,80
29,2013,Worthington Arena,Away,NORTHERN-ARIZONA,montana-state,79,83
30,2013,Adams Center/Dahlberg Arena,Away,NORTHERN-ARIZONA,montana,50,63
31,2013,,Neutral,NORTHERN-ARIZONA,weber-state,58,84
