,year,arena,location,team,opponent,team_points,opponent_points
0,2013,Value City Arena,Home,OHIO-STATE,albany-ny,82,60
1,2013,,Neutral,OHIO-STATE,rhode-island,69,58
2,2013,,Neutral,OHIO-STATE,washington,77,66
3,2013,Value City Arena,Home,OHIO-STATE,missouri-kansas-city,91,45
4,2013,Cameron Indoor Stadium,Away,OHIO-STATE,duke,68,73
5,2013,Value City Arena,Home,OHIO-STATE,northern-kentucky,70,43
6,2013,Value City Arena,Home,OHIO-STATE,long-beach-state,89,55
7,2013,Value City Arena,Home,OHIO-STATE,savannah-state,85,45
8,2013,Value City Arena,Home,OHIO-STATE,north-carolina-asheville,90,72
9,2013,Value City Arena,Home,OHIO-STATE,winthrop,65,55
10,2013,Value City Arena,Home,OHIO-STATE,kansas,66,74
11,2013,Value City Arena,Home,OHIO-STATE,chicago-state,87,44
12,2013,Value City Arena,Home,OHIO-STATE,nebraska,70,44
13,2013,Assembly Hall,Away,OHIO-STATE,illinois,55,74
14,2013,Mackey Arena,Away,OHIO-STATE,purdue,74,64
15,2013,Value City Arena,Home,OHIO-STATE,michigan,56,53
16,2013,Breslin Events Center,Away,OHIO-STATE,michigan-state,56,59
17,2013,Value City Arena,Home,OHIO-STATE,iowa,72,63
18,2013,Bryce Jordan Center,Away,OHIO-STATE,penn-state,65,51
19,2013,Value City Arena,Home,OHIO-STATE,wisconsin,58,49
20,2013,Bob Devaney Sports Center,Away,OHIO-STATE,nebraska,63,56
21,2013,Crisler Arena,Away,OHIO-STATE,michigan,74,76
22,2013,Value City Arena,Home,OHIO-STATE,indiana,68,81
23,2013,Value City Arena,Home,OHIO-STATE,northwestern,69,59
24,2013,Kohl Center,Away,OHIO-STATE,wisconsin,49,71
25,2013,Value City Arena,Home,OHIO-STATE,minnesota,71,45
26,2013,Value City Arena,Home,OHIO-STATE,michigan-state,68,60
27,2013,Welsh-Ryan Arena,Away,OHIO-STATE,northwestern,63,53
28,2013,Assembly Hall,Away,OHIO-STATE,indiana,67,58
29,2013,Value City Arena,Home,OHIO-STATE,illinois,68,55
30,2013,United Center,Neutral,OHIO-STATE,nebraska,71,50
31,2013,United Center,Neutral,OHIO-STATE,michigan-state,61,58
32,2013,,Neutral,OHIO-STATE,wisconsin,50,43
33,2013,,Neutral,OHIO-STATE,iona,95,70
34,2013,,Neutral,OHIO-STATE,iowa-state,78,75
35,2013,Staples Center,Neutral,OHIO-STATE,arizona,73,70
36,2013,Staples Center,Neutral,OHIO-STATE,wichita-state,66,70
