,year,arena,location,team,opponent,team_points,opponent_points
0,2013,Gill Coliseum,Home,OREGON-STATE,niagara,102,83
1,2013,Gill Coliseum,Home,OREGON-STATE,new-mexico-state,71,62
2,2013,,Neutral,OREGON-STATE,alabama,62,65
3,2013,,Neutral,OREGON-STATE,purdue,66,58
4,2013,Gill Coliseum,Home,OREGON-STATE,montana-state,78,65
5,2013,Sprint Center,Neutral,OREGON-STATE,kansas,78,84
6,2013,Gill Coliseum,Home,OREGON-STATE,grambling,85,54
7,2013,,Away,OREGON-STATE,portland-state,79,74
8,2013,Gill Coliseum,Home,OREGON-STATE,chicago-state,87,77
9,2013,Gill Coliseum,Home,OREGON-STATE,howard,69,53
10,2013,MGM Grand Garden Arena,Neutral,OREGON-STATE,san-diego,86,79
11,2013,Gill Coliseum,Home,OREGON-STATE,towson,66,67
12,2013,Gill Coliseum,Home,OREGON-STATE,texas-pan-american,84,59
13,2013,Gill Coliseum,Home,OREGON-STATE,oregon,66,79
14,2013,Gill Coliseum,Home,OREGON-STATE,arizona-state,62,72
15,2013,Gill Coliseum,Home,OREGON-STATE,arizona,70,80
16,2013,Pauley Pavilion,Away,OREGON-STATE,ucla,64,74
17,2013,Galen Center,Away,OREGON-STATE,southern-california,68,69
18,2013,Gill Coliseum,Home,OREGON-STATE,washington,74,66
19,2013,Gill Coliseum,Home,OREGON-STATE,washington-state,68,71
20,2013,Haas Pavilion,Away,OREGON-STATE,california,68,71
21,2013,Maples Pavilion,Away,OREGON-STATE,stanford,73,81
22,2013,Gill Coliseum,Home,OREGON-STATE,utah,82,64
23,2013,Gill Coliseum,Home,OREGON-STATE,colorado,68,72
24,2013,Friel Court,Away,OREGON-STATE,washington-state,67,66
25,2013,Bank of America Arena,Away,OREGON-STATE,washington,62,72
26,2013,Gill Coliseum,Home,OREGON-STATE,stanford,72,82
27,2013,Gill Coliseum,Home,OREGON-STATE,california,59,60
28,2013,Matthew Knight Arena,Away,OREGON-STATE,oregon,75,85
29,2013,Jon M. Huntsman Center,Away,OREGON-STATE,utah,61,72
30,2013,Coors Events/Conference Center,Away,OREGON-STATE,colorado,64,58
31,2013,,Neutral,OREGON-STATE,colorado,68,74
