,year,arena,location,team,opponent,team_points,opponent_points
0,2013,Bryce Jordan Center,Home,PENN-STATE,saint-francis-pa,65,58
1,2013,,Neutral,PENN-STATE,north-carolina-state,55,72
2,2013,,Neutral,PENN-STATE,providence,55,52
3,2013,,Neutral,PENN-STATE,akron,60,85
4,2013,Bryce Jordan Center,Home,PENN-STATE,bucknell,60,57
5,2013,Bryce Jordan Center,Home,PENN-STATE,boston-college,61,73
6,2013,Bryce Jordan Center,Home,PENN-STATE,pennsylvania,58,47
7,2013,,Away,PENN-STATE,la-salle,57,82
8,2013,Bryce Jordan Center,Home,PENN-STATE,army,78,70
9,2013,Bryce Jordan Center,Home,PENN-STATE,delaware-state,80,76
10,2013,Bryce Jordan Center,Home,PENN-STATE,new-hampshire,72,45
11,2013,Bryce Jordan Center,Home,PENN-STATE,duquesne,84,74
12,2013,Kohl Center,Away,PENN-STATE,wisconsin,51,60
13,2013,Bryce Jordan Center,Home,PENN-STATE,indiana,51,74
14,2013,Bryce Jordan Center,Home,PENN-STATE,northwestern,54,70
15,2013,Mackey Arena,Away,PENN-STATE,purdue,42,60
16,2013,Bryce Jordan Center,Home,PENN-STATE,michigan-state,72,81
17,2013,Bryce Jordan Center,Home,PENN-STATE,nebraska,64,68
18,2013,Assembly Hall,Away,PENN-STATE,indiana,49,72
19,2013,Bryce Jordan Center,Home,PENN-STATE,ohio-state,51,65
20,2013,Carver-Hawkeye Arena,Away,PENN-STATE,iowa,67,76
21,2013,Bryce Jordan Center,Home,PENN-STATE,purdue,49,58
22,2013,Bob Devaney Sports Center,Away,PENN-STATE,nebraska,53,67
23,2013,Bryce Jordan Center,Home,PENN-STATE,iowa,72,74
24,2013,Crisler Arena,Away,PENN-STATE,michigan,71,79
25,2013,Assembly Hall,Away,PENN-STATE,illinois,59,64
26,2013,Bryce Jordan Center,Home,PENN-STATE,michigan,84,78
27,2013,Williams Arena,Away,PENN-STATE,minnesota,44,73
28,2013,Welsh-Ryan Arena,Away,PENN-STATE,northwestern,66,59
29,2013,Bryce Jordan Center,Home,PENN-STATE,wisconsin,60,63
30,2013,,Neutral,PENN-STATE,michigan,66,83
