,year,arena,location,team,opponent,team_points,opponent_points
0,2013,Alumni Arena,Away,PRINCETON,buffalo,57,53
1,2013,Jadwin Gymnasium,Home,PRINCETON,northeastern,66,67
2,2013,Jadwin Gymnasium,Home,PRINCETON,rutgers,52,58
3,2013,Carrier Dome,Away,PRINCETON,syracuse,53,73
4,2013,Kirby Sports Center,Away,PRINCETON,lafayette,72,53
5,2013,Spiro Sports Center,Away,PRINCETON,wagner,42,48
6,2013,Memorial Athletic & Convocation Center,Away,PRINCETON,kent-state,62,50
7,2013,Jadwin Gymnasium,Home,PRINCETON,drexel,57,64
8,2013,Rose Hill Gym,Neutral,PRINCETON,fordham,60,63
9,2013,Jadwin Gymnasium,Home,PRINCETON,rider,62,45
10,2013,Jadwin Gymnasium,Home,PRINCETON,bucknell,79,67
11,2013,James A. Rhodes Arena,Away,PRINCETON,akron,58,62
12,2013,Alumni Gym,Away,PRINCETON,elon,74,64
13,2013,Jadwin Gymnasium,Home,PRINCETON,pennsylvania,65,53
14,2013,Jadwin Gymnasium,Home,PRINCETON,College of New Jersey,71,33
15,2013,Jadwin Gymnasium,Home,PRINCETON,cornell,76,59
16,2013,Jadwin Gymnasium,Home,PRINCETON,columbia,72,66
17,2013,Jadwin Gymnasium,Home,PRINCETON,brown,63,46
18,2013,Jadwin Gymnasium,Home,PRINCETON,yale,65,69
19,2013,Leede Arena,Away,PRINCETON,dartmouth,73,55
20,2013,Lavietes Pavilion,Away,PRINCETON,harvard,57,69
21,2013,Levien Gym,Away,PRINCETON,columbia,65,40
22,2013,Newman Arena,Away,PRINCETON,cornell,72,53
23,2013,Jadwin Gymnasium,Home,PRINCETON,harvard,58,53
24,2013,Jadwin Gymnasium,Home,PRINCETON,dartmouth,68,63
25,2013,John J. Lee Ampitheater,Away,PRINCETON,yale,66,71
26,2013,Pizzitola Sports Center,Away,PRINCETON,brown,67,80
27,2013,The Palestra,Away,PRINCETON,pennsylvania,71,58
